Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2022;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;188
2022;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;180
2022;StB 0 Altstadt;02 Johannstadt;männlich;132
2022;StB 0 Altstadt;02 Johannstadt;weiblich;121
2022;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;235
2022;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;214
2022;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;87
2022;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;89
2022;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;130
2022;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;124
2022;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;124
2022;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;132
2022;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;88
2022;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;82
2022;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;98
2022;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;90
2022;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;247
2022;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;241
2022;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;133
2022;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;142
2022;StB 6 Leuben;10 StB Leuben;männlich;128
2022;StB 6 Leuben;10 StB Leuben;weiblich;101
2022;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;112
2022;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;82
2022;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;114
2022;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;116
2022;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;127
2022;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;128
2022;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;96
2022;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;83
2022;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;234
2022;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;221
2022;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;90
2022;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;80
2022;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;72
2022;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;62
