Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl Einwohner
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Jahre;345
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Jahre;350
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Jahre;299
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 Jahre;306
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;4 Jahre;269
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;5 Jahre;260
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;6 Jahre;244
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;7 Jahre;221
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;8 Jahre;218
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;9 Jahre;219
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;10 Jahre;185
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;11 Jahre;178
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;12 Jahre;198
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;13 Jahre;149
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;14 Jahre;168
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;15 Jahre;124
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;16 Jahre;164
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;17 Jahre;196
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;18 Jahre;283
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;19 Jahre;554
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;20 Jahre;734
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;21 Jahre;842
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;22 Jahre;854
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;23 Jahre;939
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;24 Jahre;994
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 Jahre;874
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;26 Jahre;895
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;27 Jahre;829
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;28 Jahre;852
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;29 Jahre;810
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;30 Jahre;960
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;31 Jahre;934
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;32 Jahre;818
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;33 Jahre;737
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;34 Jahre;670
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;35 Jahre;643
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;36 Jahre;535
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;37 Jahre;517
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;38 Jahre;492
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;39 Jahre;434
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;40 Jahre;456
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;41 Jahre;393
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;42 Jahre;350
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;43 Jahre;325
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;44 Jahre;269
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 Jahre;264
2020;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;46 Jahre;204
