Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2019;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;22684;4437
2019;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;138149;6230
2019;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;173408;3758
2019;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;386198;4539
2019;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;728916;4247
2019;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;2448220;4942
2019;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;12576;3009
2019;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;54604;2506
2019;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;40580;899
2019;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;49861;586
2019;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;64963;384
2019;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;7894;28
2019;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;9977;1985
2019;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;78466;3436
2019;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;115521;2451
2019;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;318654;3651
2019;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;797712;4564
2019;02 Johannstadt;Deutsche;20 Jahre und mehr;2437899;5300
2019;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;3969;862
2019;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;26518;1140
2019;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;25426;558
2019;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;39779;453
2019;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;43962;274
2019;02 Johannstadt;Ausländer;20 Jahre und mehr;12500;37
2019;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;00 bis unter 1 Jahr;24110;4501
2019;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;01 bis unter 3 Jahre;166514;7347
2019;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;03 bis unter 5 Jahre;234887;5046
2019;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;05 bis unter 10 Jahre;664043;7587
2019;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;10 bis unter 20 Jahre;1161321;6813
2019;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;20 Jahre und mehr;1120064;3068
2019;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;00 bis unter 1 Jahr;6479;1293
2019;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;01 bis unter 3 Jahre;29576;1311
2019;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;03 bis unter 5 Jahre;28426;628
2019;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;05 bis unter 10 Jahre;40945;488
2019;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;10 bis unter 20 Jahre;60057;364
2019;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;20 Jahre und mehr;10254;34
2019;04 Leipziger Vorstadt, Pieschen;Deutsche;00 bis unter 1 Jahr;23536;4421
2019;04 Leipziger Vorstadt, Pieschen;Deutsche;01 bis unter 3 Jahre;172695;7584
2019;04 Leipziger Vorstadt, Pieschen;Deutsche;03 bis unter 5 Jahre;237597;5137
2019;04 Leipziger Vorstadt, Pieschen;Deutsche;05 bis unter 10 Jahre;662256;7608
2019;04 Leipziger Vorstadt, Pieschen;Deutsche;10 bis unter 20 Jahre;1206291;7111
2019;04 Leipziger Vorstadt, Pieschen;Deutsche;20 Jahre und mehr;1341427;3492
2019;04 Leipziger Vorstadt, Pieschen;Ausländer;00 bis unter 1 Jahr;3354;700
2019;04 Leipziger Vorstadt, Pieschen;Ausländer;01 bis unter 3 Jahre;17162;777
2019;04 Leipziger Vorstadt, Pieschen;Ausländer;03 bis unter 5 Jahre;17182;382
2019;04 Leipziger Vorstadt, Pieschen;Ausländer;05 bis unter 10 Jahre;31348;366
2019;04 Leipziger Vorstadt, Pieschen;Ausländer;10 bis unter 20 Jahre;46781;272
2019;04 Leipziger Vorstadt, Pieschen;Ausländer;20 Jahre und mehr;6375;24
2019;05 Mickten, Kaditz, Trachau;Deutsche;00 bis unter 1 Jahr;13946;2473
2019;05 Mickten, Kaditz, Trachau;Deutsche;01 bis unter 3 Jahre;95743;4209
2019;05 Mickten, Kaditz, Trachau;Deutsche;03 bis unter 5 Jahre;145840;3091
2019;05 Mickten, Kaditz, Trachau;Deutsche;05 bis unter 10 Jahre;515282;5874
2019;05 Mickten, Kaditz, Trachau;Deutsche;10 bis unter 20 Jahre;1145471;6537
2019;05 Mickten, Kaditz, Trachau;Deutsche;20 Jahre und mehr;2264737;5514
2019;05 Mickten, Kaditz, Trachau;Ausländer;00 bis unter 1 Jahr;1295;266
2019;05 Mickten, Kaditz, Trachau;Ausländer;01 bis unter 3 Jahre;7284;333
2019;05 Mickten, Kaditz, Trachau;Ausländer;03 bis unter 5 Jahre;7256;159
2019;05 Mickten, Kaditz, Trachau;Ausländer;05 bis unter 10 Jahre;14131;167
2019;05 Mickten, Kaditz, Trachau;Ausländer;10 bis unter 20 Jahre;20460;123
2019;05 Mickten, Kaditz, Trachau;Ausländer;20 Jahre und mehr;8047;24
2019;06 StB Klotzsche und nördliche OS;Deutsche;00 bis unter 1 Jahr;10427;1901
2019;06 StB Klotzsche und nördliche OS;Deutsche;01 bis unter 3 Jahre;91911;3870
2019;06 StB Klotzsche und nördliche OS;Deutsche;03 bis unter 5 Jahre;143398;3057
2019;06 StB Klotzsche und nördliche OS;Deutsche;05 bis unter 10 Jahre;469553;5365
2019;06 StB Klotzsche und nördliche OS;Deutsche;10 bis unter 20 Jahre;1265075;7192
2019;06 StB Klotzsche und nördliche OS;Deutsche;20 Jahre und mehr;3920469;9223
2019;06 StB Klotzsche und nördliche OS;Ausländer;00 bis unter 1 Jahr;860;190
2019;06 StB Klotzsche und nördliche OS;Ausländer;01 bis unter 3 Jahre;4158;184
2019;06 StB Klotzsche und nördliche OS;Ausländer;03 bis unter 5 Jahre;4364;97
2019;06 StB Klotzsche und nördliche OS;Ausländer;05 bis unter 10 Jahre;11033;138
2019;06 StB Klotzsche und nördliche OS;Ausländer;10 bis unter 20 Jahre;19718;124
2019;06 StB Klotzsche und nördliche OS;Ausländer;20 Jahre und mehr;8197;24
2019;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;00 bis unter 1 Jahr;11791;2213
2019;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;01 bis unter 3 Jahre;90418;4015
2019;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;03 bis unter 5 Jahre;154506;3273
2019;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;05 bis unter 10 Jahre;541552;6169
