Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2017;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;23101;0;17764
2017;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3532;1310;1310
2017;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;2385;1244;622
2017;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;998;629;187
2017;StB 0 Altstadt;02 Johannstadt;0 Kinder;16462;0;11887
2017;StB 0 Altstadt;02 Johannstadt;1 Kind;2961;1073;1073
2017;StB 0 Altstadt;02 Johannstadt;2 Kinder;2678;1384;692
2017;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;1099;695;212
2017;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;21990;0;17356
2017;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;6330;2309;2309
2017;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;6314;3268;1634
2017;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;2268;1417;443
2017;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;7482;0;6039
2017;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;2177;818;818
2017;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;2078;1080;540
2017;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;598;378;119
2017;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;14419;0;11169
2017;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;4717;1741;1741
2017;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;3990;2080;1040
2017;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;1492;954;293
2017;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;17510;0;12498
2017;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5316;1942;1942
2017;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;4400;2280;1140
2017;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;1432;900;282
2017;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;18227;0;11261
2017;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;5117;1739;1739
2017;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;5637;2856;1428
2017;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1975;1214;379
2017;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;19290;0;11818
2017;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5488;1850;1850
2017;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;6249;3152;1576
