Jahresquartal;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-;Geschlecht;Anzahl Einwohner
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;06 - 09 Jahre;weiblich;327
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;10 - 14 Jahre;männlich;455
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;10 - 14 Jahre;weiblich;402
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;15 - 17 Jahre;männlich;359
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;15 - 17 Jahre;weiblich;336
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 24 Jahre;männlich;1730
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 24 Jahre;weiblich;1923
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;25 - 29 Jahre;männlich;1981
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;25 - 29 Jahre;weiblich;1962
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;30 - 44 Jahre;männlich;4720
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;30 - 44 Jahre;weiblich;3436
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;45 - 59 Jahre;männlich;1712
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;45 - 59 Jahre;weiblich;1670
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;60 - 64 Jahre;männlich;573
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;60 - 64 Jahre;weiblich;581
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 - 74 Jahre;männlich;721
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 - 74 Jahre;weiblich;932
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;75 - 84 Jahre;männlich;273
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;75 - 84 Jahre;weiblich;731
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;85 Jahre u.älter;männlich;58
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;85 Jahre u.älter;weiblich;282
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 02 Jahre;männlich;159
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 02 Jahre;weiblich;159
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;03 - 05 Jahre;männlich;127
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;03 - 05 Jahre;weiblich;111
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;06 - 09 Jahre;männlich;91
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;06 - 09 Jahre;weiblich;103
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;10 - 14 Jahre;männlich;153
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;10 - 14 Jahre;weiblich;125
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;15 - 17 Jahre;männlich;142
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;15 - 17 Jahre;weiblich;115
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 24 Jahre;männlich;710
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 24 Jahre;weiblich;745
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;25 - 29 Jahre;männlich;736
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;25 - 29 Jahre;weiblich;698
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;30 - 44 Jahre;männlich;1371
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;30 - 44 Jahre;weiblich;997
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;45 - 59 Jahre;männlich;581
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;45 - 59 Jahre;weiblich;491
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;60 - 64 Jahre;männlich;154
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;60 - 64 Jahre;weiblich;174
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 - 74 Jahre;männlich;214
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 - 74 Jahre;weiblich;228
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;75 - 84 Jahre;männlich;90
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;75 - 84 Jahre;weiblich;231
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;85 Jahre u.älter;männlich;21
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;85 Jahre u.älter;weiblich;62
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 02 Jahre;männlich;344
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 02 Jahre;weiblich;374
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;03 - 05 Jahre;männlich;285
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;03 - 05 Jahre;weiblich;238
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;06 - 09 Jahre;männlich;220
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;06 - 09 Jahre;weiblich;238
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;10 - 14 Jahre;männlich;347
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;10 - 14 Jahre;weiblich;332
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;15 - 17 Jahre;männlich;262
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;15 - 17 Jahre;weiblich;313
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;18 - 24 Jahre;männlich;1206
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;18 - 24 Jahre;weiblich;1310
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;25 - 29 Jahre;männlich;1134
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;25 - 29 Jahre;weiblich;1134
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;30 - 44 Jahre;männlich;2730
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;30 - 44 Jahre;weiblich;2104
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;45 - 59 Jahre;männlich;1366
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;45 - 59 Jahre;weiblich;1318
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;60 - 64 Jahre;männlich;465
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;60 - 64 Jahre;weiblich;455
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;65 - 74 Jahre;männlich;549
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;65 - 74 Jahre;weiblich;742
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;75 - 84 Jahre;männlich;272
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;75 - 84 Jahre;weiblich;696
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;85 Jahre u.älter;männlich;70
20041;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;85 Jahre u.älter;weiblich;284
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;00 - 02 Jahre;männlich;385
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;00 - 02 Jahre;weiblich;376
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;03 - 05 Jahre;männlich;379
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;03 - 05 Jahre;weiblich;345
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;06 - 09 Jahre;männlich;306
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;06 - 09 Jahre;weiblich;332
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;10 - 14 Jahre;männlich;456
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;10 - 14 Jahre;weiblich;449
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;15 - 17 Jahre;männlich;466
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;15 - 17 Jahre;weiblich;422
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;18 - 24 Jahre;männlich;1143
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;18 - 24 Jahre;weiblich;1254
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;25 - 29 Jahre;männlich;925
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;25 - 29 Jahre;weiblich;988
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;30 - 44 Jahre;männlich;3192
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;30 - 44 Jahre;weiblich;2863
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;45 - 59 Jahre;männlich;2124
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;45 - 59 Jahre;weiblich;2228
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;60 - 64 Jahre;männlich;835
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;60 - 64 Jahre;weiblich;954
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;65 - 74 Jahre;männlich;1275
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;65 - 74 Jahre;weiblich;1516
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;75 - 84 Jahre;männlich;548
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;75 - 84 Jahre;weiblich;1220
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;85 Jahre u.älter;männlich;101
20041;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;85 Jahre u.älter;weiblich;326
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;00 - 02 Jahre;männlich;384
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;00 - 02 Jahre;weiblich;373
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;03 - 05 Jahre;männlich;401
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;03 - 05 Jahre;weiblich;392
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;06 - 09 Jahre;männlich;429
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;06 - 09 Jahre;weiblich;423
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;10 - 14 Jahre;männlich;627
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;10 - 14 Jahre;weiblich;623
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;15 - 17 Jahre;männlich;646
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;15 - 17 Jahre;weiblich;624
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;18 - 24 Jahre;männlich;1307
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;18 - 24 Jahre;weiblich;1204
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;25 - 29 Jahre;männlich;755
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;25 - 29 Jahre;weiblich;701
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;30 - 44 Jahre;männlich;3539
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;30 - 44 Jahre;weiblich;3342
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;45 - 59 Jahre;männlich;3029
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;45 - 59 Jahre;weiblich;2991
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;60 - 64 Jahre;männlich;1180
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;60 - 64 Jahre;weiblich;1181
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;65 - 74 Jahre;männlich;1506
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;65 - 74 Jahre;weiblich;1696
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;75 - 84 Jahre;männlich;610
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;75 - 84 Jahre;weiblich;1165
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;85 Jahre u.älter;männlich;120
20041;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;85 Jahre u.älter;weiblich;380
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;00 - 02 Jahre;männlich;457
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;00 - 02 Jahre;weiblich;430
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;03 - 05 Jahre;männlich;405
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;03 - 05 Jahre;weiblich;402
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;06 - 09 Jahre;männlich;454
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;06 - 09 Jahre;weiblich;472
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;10 - 14 Jahre;männlich;678
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;10 - 14 Jahre;weiblich;692
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;15 - 17 Jahre;männlich;583
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;15 - 17 Jahre;weiblich;540
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;18 - 24 Jahre;männlich;1317
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;18 - 24 Jahre;weiblich;1188
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;25 - 29 Jahre;männlich;877
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;25 - 29 Jahre;weiblich;829
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;30 - 44 Jahre;männlich;3639
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;30 - 44 Jahre;weiblich;3455
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;45 - 59 Jahre;männlich;2921
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;45 - 59 Jahre;weiblich;3074
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;60 - 64 Jahre;männlich;1196
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;60 - 64 Jahre;weiblich;1292
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;65 - 74 Jahre;männlich;1668
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;65 - 74 Jahre;weiblich;1769
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;75 - 84 Jahre;männlich;697
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;75 - 84 Jahre;weiblich;1323
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;85 Jahre u.älter;männlich;135
20041;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;85 Jahre u.älter;weiblich;480
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;00 - 02 Jahre;männlich;755
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;00 - 02 Jahre;weiblich;729
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;03 - 05 Jahre;männlich;668
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;03 - 05 Jahre;weiblich;608
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;06 - 09 Jahre;männlich;566
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;06 - 09 Jahre;weiblich;542
