Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Anzahl Einwohner;Anzahl Haushalte
1999;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;336;141
1999;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;225;97
1999;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;466;196
1999;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;287;121
1999;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;652;282
1999;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;585;247
1999;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;608;257
1999;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;365;159
1999;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;598;243
1999;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;442;187
1999;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;986;381
1999;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;439;194
1999;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;87;39
2000;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;70;28
2000;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;284;119
2000;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;215;94
2000;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;344;147
2000;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;361;147
2000;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;636;256
2000;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;580;251
2000;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1123;472
