Jahr;Stadtraum;Wegezweck;Anteil Weg nur zu Fuß;Anteil Weg mit Fahrrad;Anteil Weg mit Straßenbahn;Anteil Weg mit Bus (Stadtverk.);Anteil Weg mit Bus (Regionalverk.);Anteil Weg mit S-Bahn/Bahn AG;Anteil Weg mit Motorrad etc.;Anteil Weg als Pkw-Mitfahrer;Anteil Weg als Pkw-Selbstfahrer;Anteil Weg mit sonstigem Verkehrsmittel
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zum Einkaufen;7,1;11,7;22,8;8,9;0,5;0,3;0,5;9,9;36,7;1,7
2010;16 Gorbitz;Weg zur Arbeit;2,4;8,8;24,8;8,7;2,2;2,7;0,6;7,9;41,8;0
2010;16 Gorbitz;Weg zum Einkaufen;18,9;8,2;20,2;13,2;2,9;0,1;0,7;9,7;25,4;0,6
2010;17 Briesnitz und westliche OS;Weg zur Arbeit;1;14;10,4;8;0,6;3,7;4,5;3,2;53;1,6
2010;17 Briesnitz und westliche OS;Weg zum Einkaufen;1,2;13,5;11,2;7,3;0,5;0,2;1,1;11,4;53,4;0
2010;18 Dresden gesamt;Weg zur Arbeit;3,7;19;17,3;10,2;1;3,2;2,2;3,7;38,6;1,2
2010;18 Dresden gesamt;Weg zum Einkaufen;8,8;16,2;15,9;10,6;1,1;0,8;0,8;8,6;36,2;1
2012;01 StB Altstadt ohne Johannstadt;Weg zur Arbeit;9,3;15,7;35,8;18,3;0;10,8;0,7;1,4;8;0
2012;01 StB Altstadt ohne Johannstadt;Weg zum Einkaufen;29;9,2;25,7;12,7;0;2,3;0,8;3,1;17,2;0
2012;02 Johannstadt;Weg zur Arbeit;1,4;21,6;26,7;19,7;0;2,8;0;1,7;24,9;1,2
2012;02 Johannstadt;Weg zum Einkaufen;25,3;10,9;16,5;12,2;0;1,3;0;11,5;21,9;0,4
2012;03 StB Neustadt ohne Leipziger Vorstadt;Weg zur Arbeit;7,5;38,3;14,4;4,2;0;5,4;1,2;3,7;22,6;2,6
2012;03 StB Neustadt ohne Leipziger Vorstadt;Weg zum Einkaufen;27,3;27,3;10,7;4;0;1,7;0;2,6;25,8;0,6
2012;04 Leipziger Vorstadt, Pieschen;Weg zur Arbeit;5,4;20,8;23,9;14;0;6;0,8;1,7;27,4;0
2012;04 Leipziger Vorstadt, Pieschen;Weg zum Einkaufen;15,5;20;17,2;11,5;0;0,6;0,4;1,7;32,5;0,6
2012;05 Mickten, Kaditz, Trachau;Weg zur Arbeit;1,6;18,1;18,4;9,2;0;3;2,7;0,7;45,8;0,6
2012;05 Mickten, Kaditz, Trachau;Weg zum Einkaufen;6;15;18,2;9,1;0;3,3;0,9;7;39;1,5
2012;06 StB Klotzsche und nördliche OS;Weg zur Arbeit;4,1;17;15,4;10;0;13,4;3;3,8;32,5;0,8
2012;06 StB Klotzsche und nördliche OS;Weg zum Einkaufen;8,5;10,7;5,3;9,5;0;2,8;0;11,3;50,6;1,3
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zur Arbeit;3,8;13,5;13,8;14;0;0,9;3;1,7;45,7;3,7
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zum Einkaufen;4,1;10,9;10;14,9;0;0;0;6;54,1;0
2012;08 Blasewitz, Striesen;Weg zur Arbeit;6,1;29;17,4;12,5;0;2,7;1,5;0,8;28;2
2012;08 Blasewitz, Striesen;Weg zum Einkaufen;13,3;20,3;18,8;11,1;0;0,2;0,7;4,3;29,6;1,9
2012;09 Tolkewitz, Seidnitz, Gruna;Weg zur Arbeit;5,2;22,5;25,4;11,8;0;2,8;3,7;1,8;26,9;0
2012;09 Tolkewitz, Seidnitz, Gruna;Weg zum Einkaufen;12,6;15,1;19,4;12,7;0;1,2;1,1;7,5;29,7;0,7
2012;10 StB Leuben;Weg zur Arbeit;4,1;15,4;19;17,5;0;8,5;1,5;4,3;29,6;0
2012;10 StB Leuben;Weg zum Einkaufen;12;14,4;16;10,1;0;3,3;0,3;8;34,1;1,7
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zur Arbeit;4;15,6;21,5;20,3;0;10,1;0;1,9;26,6;0
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;17,7;9,4;25,8;12,7;0;3,1;0;6,7;24,6;0
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zur Arbeit;1,5;11,2;14,4;16;0;5,7;4,9;2,3;42,9;1
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;9,3;13,7;12,1;11;0;1,1;1;7,4;41,9;2,4
2012;13 Südvorstadt, Zschertnitz;Weg zur Arbeit;11,9;23,1;14,4;20,9;0;7,8;0;1,6;18,7;1,6
2012;13 Südvorstadt, Zschertnitz;Weg zum Einkaufen;19;17,1;18,2;11,2;0;2,2;0,6;2,5;26,6;2,5
2012;14 Mockritz, Coschütz, Plauen;Weg zur Arbeit;11,2;23,4;14,5;9,2;0;3,1;4;2,5;28,7;3,3
2012;14 Mockritz, Coschütz, Plauen;Weg zum Einkaufen;9,2;12,3;14,2;15,6;0;0,6;1,3;7,7;37,8;1,4
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zur Arbeit;3,4;14,7;24,3;22,4;0;4;1,8;2,6;25,8;1
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zum Einkaufen;14;12,6;17,4;12,5;0;0,3;0,4;7,5;35,3;0
2012;16 Gorbitz;Weg zur Arbeit;0,8;2,2;39,8;17;0;10,3;0;1;26,4;2,4
2012;16 Gorbitz;Weg zum Einkaufen;10,2;4,8;29,4;17;0;2,8;0;6,7;27,2;2
2012;17 Briesnitz und westliche OS;Weg zur Arbeit;4,6;5,3;11,6;10,6;0;5,1;1,6;0,7;56;4,6
2012;17 Briesnitz und westliche OS;Weg zum Einkaufen;5,2;6,4;9,5;7,9;0;2,4;0;8,8;57;2,7
2012;18 Dresden gesamt;Weg zur Arbeit;5,2;19,3;20,4;14,4;0;5,8;1,8;2,1;29,5;1,5
2012;18 Dresden gesamt;Weg zum Einkaufen;14,4;14,5;16,7;11,3;0;1,6;0,5;6,2;33,9;1,1
2014;01 StB Altstadt ohne Johannstadt;Weg zur Arbeit;7,2;21,5;32,2;16,1;0;9,7;0,7;1,5;9,4;1,7
2014;01 StB Altstadt ohne Johannstadt;Weg zum Einkaufen;25,9;16,8;26,1;10,2;0;1,6;0;4,1;14,1;1,3
2014;02 Johannstadt;Weg zur Arbeit;3,9;18,7;26,1;18;0;1,7;1,7;2,6;26,1;1,2
2014;02 Johannstadt;Weg zum Einkaufen;22,4;9,8;16,6;13,1;0;2;0;8;26,1;2,1
2014;03 StB Neustadt ohne Leipziger Vorstadt;Weg zur Arbeit;7,2;34,6;23,3;6;0;6;1,1;3,3;17,5;1,1
2014;03 StB Neustadt ohne Leipziger Vorstadt;Weg zum Einkaufen;31,7;25,7;10,8;1,7;0;0;1,1;5,1;21,9;1,9
2014;04 Leipziger Vorstadt, Pieschen;Weg zur Arbeit;3,2;26,2;20,8;10,1;0;6,1;0,3;2,8;29,8;0,8
2014;04 Leipziger Vorstadt, Pieschen;Weg zum Einkaufen;21,1;28,3;10,3;4,3;0;0;0;4,7;31,3;0
2014;05 Mickten, Kaditz, Trachau;Weg zur Arbeit;3,5;19;19,4;11,4;0;1;0,7;1,5;41,9;1,6
2014;05 Mickten, Kaditz, Trachau;Weg zum Einkaufen;12,2;15,6;12,5;9,6;0;1,7;0;10,5;36,2;1,8
2014;06 StB Klotzsche und nördliche OS;Weg zur Arbeit;4,5;9,3;17,6;9,6;0;9,5;2,9;4,8;39,8;2
2014;06 StB Klotzsche und nördliche OS;Weg zum Einkaufen;9;11;12;7,2;0;3,3;0,9;9,8;44,5;2,4
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zur Arbeit;4,1;10,4;11,8;16,1;0;0,9;0,5;0;54;2,2
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zum Einkaufen;10,3;9,4;8,8;12,2;0;0;0;6,2;52,6;0,6
2014;08 Blasewitz, Striesen;Weg zur Arbeit;2,3;29;17,4;14,5;0;2,2;2;2,5;29;1,2
2014;08 Blasewitz, Striesen;Weg zum Einkaufen;15,9;20;14,9;8,1;0;0,6;0;5,3;34,8;0,2
2014;09 Tolkewitz, Seidnitz, Gruna;Weg zur Arbeit;2,1;20,2;16,9;9,7;0;6;0,6;3,9;38,3;2,2
2014;09 Tolkewitz, Seidnitz, Gruna;Weg zum Einkaufen;13,5;15,1;16,7;10,7;0;2,4;0;6,2;35,2;0,3
2014;10 StB Leuben;Weg zur Arbeit;2,6;14,5;14,7;14,6;0;6,8;2,4;2,7;41,6;0
2014;10 StB Leuben;Weg zum Einkaufen;14,1;10,3;11,7;8,3;0;0,3;1;11,9;41,6;0,8
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zur Arbeit;0;12,4;23,8;17,6;0;11,5;1,1;5,3;28,3;0
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;9,9;11,1;19,5;12,2;0;4;0;8,2;35,1;0
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zur Arbeit;5,6;12,1;11,1;18,5;0;4;2,4;2,4;43,9;0
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;16,2;8,4;8,8;9,5;0;1,3;1,9;11,2;42,2;0,6
2014;13 Südvorstadt, Zschertnitz;Weg zur Arbeit;10,5;19,7;21,1;18,6;0;9,4;0,8;0,7;18;1,3
2014;13 Südvorstadt, Zschertnitz;Weg zum Einkaufen;15,3;14,5;18,6;17,8;0;3,5;0;8,1;22,2;0
2014;14 Mockritz, Coschütz, Plauen;Weg zur Arbeit;3,9;17,7;19,8;16,9;0;6,4;0;2,6;32,6;0
2014;14 Mockritz, Coschütz, Plauen;Weg zum Einkaufen;12,4;14,7;14,2;8,1;0;1,6;0,6;7,8;40,7;0
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zur Arbeit;1,9;19,2;24;15,8;0;4,8;0,3;1,7;30,2;2,1
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zum Einkaufen;12,8;11,3;17,2;10,4;0;1;0,3;6,3;40,5;0
2014;16 Gorbitz;Weg zur Arbeit;4,1;7,8;32,3;19,2;0;5,9;0;0,8;29,9;0
2014;16 Gorbitz;Weg zum Einkaufen;18,9;9;22,8;11;0;2,8;0;6,5;28,4;0,6
2014;17 Briesnitz und westliche OS;Weg zur Arbeit;4,5;3,1;16,6;14,5;0;5;2,3;5,2;48,8;0
2014;17 Briesnitz und westliche OS;Weg zum Einkaufen;3,4;4,7;9,2;5;0;1,9;1,4;11,3;62,6;0,5
2014;18 Dresden gesamt;Weg zur Arbeit;4,3;19,3;20,4;13,9;0;5,6;1,1;2,5;31,8;1,1
2014;18 Dresden gesamt;Weg zum Einkaufen;16,1;14,8;14,6;9,3;0;1,5;0,4;7,5;35,1;0,7
