Jahr;Stadtraum;Wegezweck;Anteil Weg nur zu Fuß;Anteil Weg mit Fahrrad;Anteil Weg mit Straßenbahn;Anteil Weg mit Bus (Stadtverk.);Anteil Weg mit Bus (Regionalverk.);Anteil Weg mit S-Bahn/Bahn AG;Anteil Weg mit Motorrad etc.;Anteil Weg als Pkw-Mitfahrer;Anteil Weg als Pkw-Selbstfahrer;Anteil Weg mit sonstigem Verkehrsmittel
1996;01 StB Altstadt ohne Johannstadt;Weg zur Arbeit;12;4,6;26,5;7,6;1;2,8;0,5;4;41,2;0
1996;01 StB Altstadt ohne Johannstadt;Weg zum Einkaufen;9;4,8;34,4;9,2;0,8;1,2;0,2;6,5;33,2;0,7
1996;02 Johannstadt;Weg zur Arbeit;6,6;15,7;26,4;7,6;0;1;0;5,8;36;0,9
1996;02 Johannstadt;Weg zum Einkaufen;8,5;8,9;30;15,9;0,9;0,4;0;7,5;26,5;1,4
1996;03 StB Neustadt ohne Leipziger Vorstadt;Weg zur Arbeit;1,7;9,9;31,8;5,2;0,8;3,1;0,3;4,8;42,1;0,4
1996;03 StB Neustadt ohne Leipziger Vorstadt;Weg zum Einkaufen;7,3;9,8;28,9;5,7;0,5;0,2;0,2;10,8;35,6;1
1996;04 Leipziger Vorstadt, Pieschen;Weg zur Arbeit;4,1;13,2;28,4;4,4;0,8;2,7;0,3;2,3;43,1;0,6
1996;04 Leipziger Vorstadt, Pieschen;Weg zum Einkaufen;8,4;11,2;21;7,7;0,8;0,5;0;10,9;39,2;0,3
1996;05 Mickten, Kaditz, Trachau;Weg zur Arbeit;9;10,5;25,8;8,2;0,2;4,7;0,4;2,4;37,5;1,4
1996;05 Mickten, Kaditz, Trachau;Weg zum Einkaufen;3,3;7,5;21,6;13,9;0,5;2,3;0,4;12,1;37,9;0,4
1996;06 StB Klotzsche und nördliche OS;Weg zur Arbeit;6,6;9,5;13;8,8;0;5;1,9;2,1;52,7;0,4
1996;06 StB Klotzsche und nördliche OS;Weg zum Einkaufen;4,1;13,7;15,1;10,7;1,2;1;1,5;10,5;41;1,2
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zur Arbeit;4;11,1;11,3;15,8;0;1,7;3,1;0,8;51,1;1,1
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zum Einkaufen;2,4;8,7;17,4;15;1,8;0,4;1,5;7;45,3;0,6
1996;08 Blasewitz, Striesen;Weg zur Arbeit;3,4;13,7;26,7;10;0;1,4;0,3;2,2;41,4;0,9
1996;08 Blasewitz, Striesen;Weg zum Einkaufen;6,6;11,4;23,9;10;0;0,2;0,1;8,2;38,7;0,9
1996;09 Tolkewitz, Seidnitz, Gruna;Weg zur Arbeit;1,8;10,3;30,1;11,8;0,4;2,3;0;3,6;39;0,6
1996;09 Tolkewitz, Seidnitz, Gruna;Weg zum Einkaufen;4,4;9,6;24,2;15,4;1,2;0,4;0;10,3;33,7;0,9
1996;10 StB Leuben;Weg zur Arbeit;4;10,9;20,2;4,6;0,2;6,1;0,4;3,5;48,9;1,1
1996;10 StB Leuben;Weg zum Einkaufen;4,7;13,5;18,9;5,2;0,4;1,1;0;8,9;46;1,3
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zur Arbeit;4,7;7,1;26,2;15,1;1,1;2,3;0,4;4,5;38,2;0,4
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;7,1;4,2;20,3;15;1,2;0,7;0,1;11,7;38;1,6
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zur Arbeit;6;5,8;12,9;15,7;0,7;4,2;0,7;5;48,7;0,3
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;3,2;7,5;13,3;13,5;0,8;0,7;0;10,7;50,3;0
1996;13 Südvorstadt, Zschertnitz;Weg zur Arbeit;14,2;12,9;19,6;18;0,3;1,4;0,2;0,9;32,2;0,4
1996;13 Südvorstadt, Zschertnitz;Weg zum Einkaufen;5,3;7,2;26;15,6;0,1;1,5;0,1;10,8;33;0,2
1996;14 Mockritz, Coschütz, Plauen;Weg zur Arbeit;5,8;6,1;17,9;14,1;1,7;2,3;0;3,4;48,4;0,3
1996;14 Mockritz, Coschütz, Plauen;Weg zum Einkaufen;3,5;6,8;17,6;14;1,1;1,2;0;11,6;43,7;0,6
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zur Arbeit;2,7;7,8;25,5;8,9;1,8;1,7;1,1;2,3;47,2;0,9
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zum Einkaufen;5,7;4,6;24,8;9,7;0,2;0,3;0,3;11;42,1;1,4
1996;16 Gorbitz;Weg zur Arbeit;3,4;2,8;28,7;7,8;0;1;0,2;3,4;52,7;0
1996;16 Gorbitz;Weg zum Einkaufen;4,9;2,9;28,7;9,5;0,5;0,3;0;9,2;43,8;0,2
1996;17 Briesnitz und westliche OS;Weg zur Arbeit;0;1,1;24,1;13;0;0;0;6;53,5;2,4
1996;17 Briesnitz und westliche OS;Weg zum Einkaufen;1,1;5,8;18;12;1,3;0,6;0;10,6;50,6;0
1996;18 Dresden gesamt;Weg zur Arbeit;5,3;9,3;23,8;10,3;0,6;2,7;0,5;3,3;43,8;0,6
1996;18 Dresden gesamt;Weg zum Einkaufen;5,5;8,2;23,1;11,5;0,7;0,8;0,2;9,9;39,3;0,8
2002;01 StB Altstadt ohne Johannstadt;Weg zur Arbeit;7,3;8,2;28,7;12,8;0;5,8;0;1,1;36,1;0
2002;01 StB Altstadt ohne Johannstadt;Weg zum Einkaufen;15,6;6,1;23,1;9,6;1;1,3;0;6,3;35;1,8
2002;02 Johannstadt;Weg zur Arbeit;7,8;9,2;32,8;13,2;0,6;1,7;0;5,2;29,5;0
2002;02 Johannstadt;Weg zum Einkaufen;11,6;6,5;21,3;11,3;0,9;0,6;0,2;12,1;35;0,5
