Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
1999;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1402;878;268
1999;StB 8 Plauen;13 Südvorstadt, Zschertnitz;0 Kinder;17525;0;10674
1999;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;3859;1280;1280
1999;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;2856;1468;734
1999;StB 8 Plauen;13 Südvorstadt, Zschertnitz;3 u.m. Kinder;740;473;144
1999;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;0 Kinder;13328;0;7800
1999;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1 Kind;4719;1514;1514
1999;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;2 Kinder;3169;1592;796
1999;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;3 u.m. Kinder;722;449;140
1999;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;0 Kinder;19346;0;12780
1999;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1 Kind;6542;2269;2269
1999;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;2 Kinder;4260;2192;1096
1999;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;3 u.m. Kinder;980;619;191
1999;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;0 Kinder;13929;0;9001
1999;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1 Kind;6363;2083;2083
1999;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;2 Kinder;4501;2334;1167
1999;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;3 u.m. Kinder;1118;728;218
1999;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;0 Kinder;11682;0;6526
1999;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1 Kind;4856;1543;1543
1999;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;2 Kinder;3684;1826;913
1999;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;3 u.m. Kinder;767;467;146
2000;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;19927;0;13596
2000;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3367;1191;1191
2000;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;2003;1034;517
2000;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;701;461;130
2000;StB 0 Altstadt;02 Johannstadt;0 Kinder;16185;0;10064
2000;StB 0 Altstadt;02 Johannstadt;1 Kind;3382;1168;1168
2000;StB 0 Altstadt;02 Johannstadt;2 Kinder;2109;1098;549
2000;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;621;404;118
2000;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;17291;0;12443
2000;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;4786;1701;1701
2000;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;3201;1664;832
2000;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;1144;724;221
2000;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;5386;0;3857
2000;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;1585;557;557
2000;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;912;472;236
2000;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;283;178;54
2000;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;11420;0;7818
2000;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;3622;1285;1285
2000;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;2350;1220;610
2000;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;698;454;132
2000;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;15942;0;9955
2000;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5183;1763;1763
2000;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;3238;1666;833
2000;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;949;595;179
2000;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;16972;0;9310
2000;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;6216;1966;1966
2000;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;5187;2590;1295
2000;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1288;798;247
2000;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;18145;0;9900
2000;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5866;1850;1850
2000;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;4571;2262;1131
2000;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;1638;1008;308
2000;StB 5 Blasewitz;08 Blasewitz, Striesen;0 Kinder;25061;0;16005
2000;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;8136;2783;2783
2000;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;5349;2738;1369
2000;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;1254;791;242
2000;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;0 Kinder;24658;0;15145
2000;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;6445;2230;2230
2000;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;4202;2164;1082
2000;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;905;565;172
2000;StB 6 Leuben;10 StB Leuben;0 Kinder;24642;0;14842
2000;StB 6 Leuben;10 StB Leuben;1 Kind;6885;2338;2338
2000;StB 6 Leuben;10 StB Leuben;2 Kinder;4649;2378;1189
2000;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;1151;725;221
2000;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);0 Kinder;16034;0;10159
2000;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;4607;1574;1574
2000;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;2999;1576;788
2000;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1230;804;239
2000;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);0 Kinder;19896;0;11473
2000;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;6889;2250;2250
2000;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;5037;2546;1273
2000;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1346;837;256
2000;StB 8 Plauen;13 Südvorstadt, Zschertnitz;0 Kinder;17549;0;10783
2000;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;3644;1217;1217
2000;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;2592;1328;664
2000;StB 8 Plauen;13 Südvorstadt, Zschertnitz;3 u.m. Kinder;729;468;140
2000;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;0 Kinder;14236;0;8398
2000;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1 Kind;4630;1493;1493
2000;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;2 Kinder;3090;1562;781
2000;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;3 u.m. Kinder;770;477;149
2000;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;0 Kinder;20011;0;13229
2000;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1 Kind;6661;2315;2315
2000;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;2 Kinder;4209;2178;1089
2000;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;3 u.m. Kinder;1021;644;200
2000;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;0 Kinder;13702;0;8766
2000;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1 Kind;5686;1873;1873
2000;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;2 Kinder;3486;1818;909
2000;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;3 u.m. Kinder;1038;678;200
2000;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;0 Kinder;11984;0;6607
2000;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1 Kind;4942;1570;1570
2000;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;2 Kinder;3577;1782;891
2000;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;3 u.m. Kinder;722;442;137
2001;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;19676;0;13416
2001;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3179;1125;1125
2001;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;1732;904;452
2001;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;555;364;103
2001;StB 0 Altstadt;02 Johannstadt;0 Kinder;16278;0;10162
2001;StB 0 Altstadt;02 Johannstadt;1 Kind;3322;1152;1152
2001;StB 0 Altstadt;02 Johannstadt;2 Kinder;1900;996;498
2001;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;561;360;109
2001;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;18022;0;13119
2001;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;4771;1715;1715
2001;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;3191;1654;827
2001;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;1075;683;207
2001;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;5814;0;4208
2001;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;1586;560;560
2001;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;948;494;247
2001;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;312;200;60
2001;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;11620;0;8044
2001;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;3816;1360;1360
2001;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;2196;1154;577
2001;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;686;437;132
2001;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;16340;0;10292
2001;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5348;1820;1820
2001;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;3177;1628;814
2001;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;959;599;182
2001;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;17457;0;9550
2001;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;6282;1980;1980
2001;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;4893;2448;1224
2001;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1268;787;243
2001;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;18716;0;10222
2001;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5990;1913;1913
2001;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;4540;2250;1125
2001;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;1670;1029;313
2001;StB 5 Blasewitz;08 Blasewitz, Striesen;0 Kinder;26267;0;16832
2001;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;8102;2793;2793
2001;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;5601;2868;1434
2001;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;1214;757;238
2001;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;0 Kinder;24649;0;15206
2001;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;6370;2217;2217
2001;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;3965;2056;1028
2001;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;864;540;164
2001;StB 6 Leuben;10 StB Leuben;0 Kinder;24671;0;14891
2001;StB 6 Leuben;10 StB Leuben;1 Kind;6831;2324;2324
2001;StB 6 Leuben;10 StB Leuben;2 Kinder;4495;2312;1156
2001;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;1223;772;237
2001;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);0 Kinder;15636;0;9979
