Jahr;Fortzug / Zuzug;Wanderungstyp;Wanderungsgebiet;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Anzahl Einwohner
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;10
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;23
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;23
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;44
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;25
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;17
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;63
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;16
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;24
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;66
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;47
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;32
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;28
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;4
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;7
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;51
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;27
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;4
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2
2023;Fortzug;Außenwanderung;unbekannt, unzutreffend;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1
