Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;AltK_05D__-24-44-59-64-;Geschlecht;Anzahl Einwohner
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;männlich;71
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;weiblich;88
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;männlich;218
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;weiblich;114
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;männlich;62
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;weiblich;37
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;männlich;18
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;weiblich;13
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;männlich;42
2017;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;weiblich;154
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;männlich;243
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;weiblich;238
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;männlich;656
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;weiblich;335
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;männlich;225
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;weiblich;164
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;männlich;53
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;weiblich;52
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;männlich;177
2017;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;weiblich;571
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;männlich;237
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;weiblich;104
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;männlich;628
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;weiblich;255
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;männlich;273
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;weiblich;203
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;männlich;74
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;weiblich;69
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;männlich;202
2017;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;weiblich;649
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;männlich;221
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;weiblich;164
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;männlich;675
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;weiblich;389
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;männlich;293
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;weiblich;218
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;männlich;88
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;weiblich;109
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;männlich;294
2017;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;weiblich;963
2017;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;männlich;457
2017;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;weiblich;395
2017;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;männlich;1103
2017;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;weiblich;453
