Jahr;Herkunftsland_37Auspr;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2001;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;370;826
2001;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;339;671
2001;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;541;1111
2001;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;1677;4322
2001;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;1865;3839
2001;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;1512;3069
2002;Deutschland;Deutschland;Deutschland;Deutschland;838693;1808253
2002;Belgien;Belgien;Europa ohne Deutschland;Ausland;3649;6650
2002;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;3180;5771
2002;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;969;1686
2002;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;6416;13507
2002;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;582;1231
2002;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;459;1332
2002;Italien;Italien;Europa ohne Deutschland;Ausland;8381;13582
2002;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;440;939
2002;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;7064;16680
2002;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;945;1663
2002;Österreich;Österreich;Europa ohne Deutschland;Ausland;8736;18468
2002;Polen;Polen;Europa ohne Deutschland;Ausland;2581;4153
2002;Schweden;Schweden;Europa ohne Deutschland;Ausland;4107;5531
2002;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;11828;30604
2002;Russland;Russland;Europa ohne Deutschland;Ausland;4044;9443
2002;Spanien;Spanien;Europa ohne Deutschland;Ausland;2813;5540
2002;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;2679;9127
2002;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1127;2168
2002;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;11391;25204
2002;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;4233;11303
2002;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;623;1493
2002;USA;USA;Amerika;Ausland;18020;46218
2002;Kanada;Kanada;Amerika;Ausland;1472;3072
2002;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;868;1635
2002;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;722;1643
2002;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;1210;2629
2002;China;China;Asien;Ausland;881;2260
2002;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;1177;2794
2002;Japan;Japan;Asien;Ausland;16616;27957
2002;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;1572;2288
2002;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;504;1113
2002;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;366;1642
2002;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;1747;3665
2002;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;1693;3357
2002;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;2785;5420
2003;Deutschland;Deutschland;Deutschland;Deutschland;932908;2004824
2003;Belgien;Belgien;Europa ohne Deutschland;Ausland;4184;8003
2003;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;4425;6991
2003;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1221;2368
2003;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;8374;16665
2003;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1543;2889
2003;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;601;1605
2003;Italien;Italien;Europa ohne Deutschland;Ausland;14568;24926
2003;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;601;1444
2003;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;9741;22405
2003;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1253;2256
2003;Österreich;Österreich;Europa ohne Deutschland;Ausland;11110;24081
2003;Polen;Polen;Europa ohne Deutschland;Ausland;3074;5250
2003;Schweden;Schweden;Europa ohne Deutschland;Ausland;5593;7521
2003;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;15031;37321
2003;Russland;Russland;Europa ohne Deutschland;Ausland;3412;8657
2003;Spanien;Spanien;Europa ohne Deutschland;Ausland;4566;9173
2003;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;2951;7530
2003;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1413;2693
2003;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;11989;25910
2003;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;5612;12568
2003;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;866;2232
2003;USA;USA;Amerika;Ausland;19565;45354
2003;Kanada;Kanada;Amerika;Ausland;1783;3700
2003;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;945;1747
2003;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;875;1672
2003;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;931;1855
2003;China;China;Asien;Ausland;1026;2400
2003;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;1425;3993
2003;Japan;Japan;Asien;Ausland;22977;36242
2003;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;2390;2861
2003;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;535;985
2003;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;284;750
2003;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;1839;3956
2003;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;2302;4221
2003;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;1624;2934
2004;Deutschland;Deutschland;Deutschland;Deutschland;1040991;2248533
2004;Belgien;Belgien;Europa ohne Deutschland;Ausland;4869;9304
2004;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;4820;10146
