Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
0001;07015;"1.Steinweg                         ";"1   ";"19  ";"2   ";"4   ";"Loschwitz           ";"Loschwitz                ";413  Oberloschwitz;Nord;01326;159;"  ";"  "
0002;07015;"1.Steinweg                         ";"U   ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
0003;07016;"2.Steinweg                         ";"1   ";"5   ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";413  Oberloschwitz;Nord;01326;159;"  ";"  "
0004;07016;"2.Steinweg                         ";"    ";"    ";"2   ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
0005;03056;"Aachener Straße                    ";"1   ";"11b ";"    ";"    ";"Pieschen            ";"Trachau                  ";246  Trachau(Industriestr);Nord;01129;159;"  ";"  "
0006;03056;"Aachener Straße                    ";"    ";"    ";"2   ";"10  ";"Pieschen            ";"Trachau                  ";241  Trachau(Cottbuser Str);Nord;01129;159;"  ";"  "
0007;03056;"Aachener Straße                    ";"13  ";"33  ";"    ";"    ";"Pieschen            ";"Trachau                  ";245  Trachau(Trobischstr);Nord;01129;159;"  ";"  "
0008;03056;"Aachener Straße                    ";"    ";"    ";"20  ";"50  ";"Pieschen            ";"Trachau                  ";243  Trachau(Stephanstr);Nord;01129;159;"  ";"  "
0009;03076;"Abbestraße                         ";"    ";"    ";"    ";"    ";"Pieschen            ";"Trachau                  ";247  Trachau(Richard-Rösch-Str);Nord;01129;159;"  ";"  "
0010;12089;"Achtbeeteweg                       ";"1   ";"35  ";"4   ";"18  ";"Plauen              ";"Coschütz                 ";851  Coschütz-Ost;"Süd ";01189;158;"  ";"  "
0011;12089;"Achtbeeteweg                       ";"43  ";"51a ";"    ";"    ";"Plauen              ";"Coschütz                 ";852  Coschütz-West;"Süd ";01189;158;"  ";"  "
0012;12089;"Achtbeeteweg                       ";"U   ";"    ";"    ";"    ";"Plauen              ";"Kaitz                    ";844  Kaitz;"Süd ";01217;158;"  ";"  "
0013;11021;"Ackermannstraße                    ";"    ";"    ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";824  Südvs.-Ost(Ackermannstr);"Süd ";01217;158;"  ";"  "
0014;14158;"Adalbert-Stifter-Weg               ";"    ";"    ";"    ";"    ";"Cotta               ";"Omsewitz                 ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
0015;14018;"Adlergasse                         ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Friedrichstadt   ";052  Friedrichst.(Schäferstr);"Süd ";01067;158;"  ";"  "
0016;02020;"Adolfstraße                        ";"1   ";"9   ";"    ";"    ";"Pieschen            ";"Kaditz                   ";231  Kaditz(Wächterstr);Nord;01139;159;"  ";"  "
0017;02020;"Adolfstraße                        ";"    ";"    ";"2   ";"8   ";"Pieschen            ";"Kaditz                   ";232  Kaditz(Peschelstr);Nord;01139;159;"  ";"  "
0018;07102;"Agneshöhe                          ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Wachwitz                 ";414  Wachwitz;Nord;01326;159;"  ";"  "
0019;12045;"Agnes-Smedley-Straße               ";"    ";"    ";"    ";"    ";"Cotta               ";"Plauen                   ";933  Löbtau-Süd(Altfrankener Str);"Süd ";01187;159;"  ";"  "
0020;05192;"Ahlbecker Straße                   ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";312  Klotzsche(Lubminer Str);Nord;01109;159;"  ";"  "
0021;05018;"Ahornstraße                        ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";118  Äußere Neust.(Tannenstr);Nord;01097;159;"  ";"  "
0022;07431;"Ahornweg                           ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Pappritz                 ";463  Pappritz-Ost;Nord;01328;159;"  ";"  "
0023;00166;"Akademiestraße                     ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";011  Innere Altstadt-Ost;"Süd ";01069;158;"  ";"  "
0024;14427;"Akazienweg                         ";"    ";"    ";"    ";"    ";"Gompitz             ";"Ockerwitz                ";992  Ockerwitz;"Süd ";01156;159;"  ";"  "
0025;06032;"Alaunplatz                         ";"1   ";"1c  ";"2   ";"2e  ";"Neustadt            ";"Dresden-Neustadt         ";121  Radeberger Vs.(Jägerstr);Nord;01099;159;"  ";"  "
0026;06032;"Alaunplatz                         ";"3b  ";"3c  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";152  Albertstadt-West;Nord;01099;159;"  ";"  "
0027;06032;"Alaunplatz                         ";"    ";"    ";"4   ";"6   ";"Neustadt            ";"Dresden-Neustadt         ";118  Äußere Neust.(Tannenstr);Nord;01099;159;"  ";"  "
0028;06051;"Alaunstraße                        ";"1   ";"57  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";113  Äußere Neust.(Katharinenstr);Nord;01099;159;"  ";"  "
0029;06051;"Alaunstraße                        ";"    ";"    ";"2   ";"48  ";"Neustadt            ";"Dresden-Neustadt         ";114  Äußere Neust.(Böhmische Str);Nord;01099;159;"  ";"  "
0030;06051;"Alaunstraße                        ";"    ";"    ";"54  ";"88  ";"Neustadt            ";"Dresden-Neustadt         ";115  Äußere Neust.(Görlitzer Str);Nord;01099;159;"  ";"  "
0031;06051;"Alaunstraße                        ";"61  ";"95  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";112  Äußere Neust.(Timäusstr);Nord;01099;159;"  ";"  "
0032;06051;"Alaunstraße                        ";"    ";"    ";"90  ";"104 ";"Neustadt            ";"Dresden-Neustadt         ";117  Äußere Neust.(Frühlingstr);Nord;01099;159;"  ";"  "
0033;00013;"Albertbrücke                       ";"U   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";025  Pirnaische Vs.(Steinstr);"Süd ";01069;158;"  ";"  "
0034;00013;"Albertbrücke                       ";"U   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";069  Elbwiesen Johannstadt;"Süd ";01307;158;"  ";"  "
0035;00013;"Albertbrücke                       ";"U   ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";133  Innere Neust.(Wigardstr);Nord;01097;159;"  ";"  "
0036;00013;"Albertbrücke                       ";"U   ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";134  Äußere Neust.(Hoyerswerd. Str);Nord;01099;159;"  ";"  "
0037;05245;"Albert-Fromme-Weg                  ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";152  Albertstadt-West;Nord;01099;159;"  ";"  "
0038;04027;"Albert-Hensel-Straße               ";"    ";"    ";"    ";"    ";"Pieschen            ";"Trachenberge             ";257  Trachenberge;Nord;01129;159;"  ";"  "
0039;00017;"Albertplatz                        ";"U   ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";133  Innere Neust.(Wigardstr);Nord;01097;159;"  ";"  "
0040;00017;"Albertplatz                        ";"U   ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";131  Innere Neust.(Königstr);Nord;01097;159;"  ";"  "
0041;14308;"Albertplatz (CB)                   ";"    ";"    ";"    ";"    ";"Cossebaude          ";"Cossebaude               ";902  Cossebaude-Süd;"Süd ";01156;159;"  ";"  "
0042;06500;"Albert-Richter-Straße              ";"    ";"    ";"    ";"    ";"Langebrück          ";"Langebrück               ";362  Langebrück-Süd;Nord;01465;159;"  ";"  "
0043;12081;"Albert-Schweitzer-Straße           ";"    ";"    ";"    ";"    ";"Plauen              ";"Plauen                   ";868  Plauen(Hohenplauen);"Süd ";01187;158;"  ";"  "
0044;00018;"Albertstraße                       ";"    ";"    ";"10  ";"34  ";"Neustadt            ";"Dresden-Neustadt         ";133  Innere Neust.(Wigardstr);Nord;01097;159;"  ";"  "
0045;00018;"Albertstraße                       ";"13  ";"29  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";132  Innere Neust.(Sarrasanistr);Nord;01097;159;"  ";"  "
0046;07032;"Albert-Venus-Weg                   ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";413  Oberloschwitz;Nord;01326;159;"  ";"  "
0047;10270;"Albert-Wolf-Platz                  ";"1   ";"    ";"2   ";"    ";"Prohlis             ";"Prohlis                  ";721  Prohlis-Süd(Spremberger Str);"Süd ";01239;158;"  ";"  "
0048;10270;"Albert-Wolf-Platz                  ";"    ";"    ";"4   ";"    ";"Prohlis             ";"Prohlis                  ";714  Prohlis-Nord(Albert-Wolf-Pl);"Süd ";01239;158;"  ";"  "
0049;14307;"Albrechtshöhe                      ";"9   ";"25  ";"10  ";"36  ";"Cossebaude          ";"Cossebaude               ";902  Cossebaude-Süd;"Süd ";01156;159;"  ";"  "
0050;14307;"Albrechtshöhe                      ";"U   ";"    ";"    ";"    ";"Mobschatz           ";"Leuteritz                ";907  Alt-Leuteritz/Brabschütz;"Süd ";01156;159;"  ";"  "
0051;08092;"Alemannenstraße                    ";"1   ";"9   ";"2   ";"10  ";"Blasewitz           ";"Blasewitz                ";511  Blasewitz(Händelallee);"Süd ";01309;158;"  ";"  "
0052;08092;"Alemannenstraße                    ";"11  ";"39  ";"12  ";"48  ";"Blasewitz           ";"Striesen                 ";545  Striesen-West(Alemannenstr);"Süd ";01309;158;"  ";"  "
0053;08092;"Alemannenstraße                    ";"43  ";"47  ";"50  ";"    ";"Blasewitz           ";"Striesen                 ";546  Striesen-West(Altstriesen);"Süd ";01309;158;"  ";"  "
0054;05155;"Alexander-Herzen-Straße            ";"1   ";"33  ";"2   ";"28  ";"Klotzsche           ";"Klotzsche                ";316  Klotzsche(Königswald-Nord);Nord;01109;159;"  ";"  "
0055;05155;"Alexander-Herzen-Straße            ";"35  ";"57  ";"30  ";"66  ";"Klotzsche           ";"Klotzsche                ";318  Klotzsche(Binzer Weg);Nord;01109;159;"  ";"  "
0056;03096;"Alexander-Puschkin-Platz           ";"1   ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";141  Leipziger Vs.(Eisenbahnstr);Nord;01127;159;"  ";"  "
0057;03096;"Alexander-Puschkin-Platz           ";"    ";"    ";"2   ";"    ";"Pieschen            ";"Dresden-Neustadt         ";211  Leipziger Vs.(Weimarische Str);Nord;01127;159;"  ";"  "
0058;06141;"Alexanderstraße                    ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";423  Loschwitz-NO(Am Weißen Adler);Nord;01324;159;"  ";"  "
0059;00131;"Alfred-Althus-Straße               ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";042  Wilsdruffer Vs.(Ermischstr);"Süd ";01067;158;"  ";"  "
0060;13147;"Alfred-Darre-Weg                   ";"    ";"    ";"    ";"    ";"Cotta               ";"Dölzschen                ";945  Dölzschen;"Süd ";01187;159;"  ";"  "
0061;13042;"Alfred-Schmieder-Straße            ";"    ";"    ";"    ";"    ";"Cotta               ";"Dölzschen                ";945  Dölzschen;"Süd ";01159;159;"  ";"  "
0062;08051;"Alfred-Schrapel-Straße             ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 2       ";065  Johannst.-Nord(Th.-Müntzer-Pl);"Süd ";01307;158;"  ";"  "
0063;13038;"Alfred-Thiele-Straße               ";"    ";"    ";"    ";"    ";"Cotta               ";"Naußlitz                 ";944  Naußlitz-Süd;"Süd ";01159;159;"  ";"  "
0064;11153;"Alnpeckstraße                      ";"    ";"    ";"    ";"    ";"Prohlis             ";"Nickern                  ";743  Nickern;"Süd ";01239;158;"  ";"  "
0065;06110;"Alojs-Andricki-Straße              ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Weißer Hirsch            ";421  Weißer Hirsch;Nord;01324;159;"  ";"  "
0066;07028;"Alpenstraße                        ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";413  Oberloschwitz;Nord;01326;159;"  ";"  "
0067;14171;"Alsenstraße                        ";"    ";"    ";"    ";"    ";"Cotta               ";"Stetzsch                 ";981  Stetzsch;"Süd ";01157;159;"  ";"  "
0068;14089;"Altbriesnitz                       ";"    ";"    ";"2   ";"4d  ";"Cotta               ";"Briesnitz                ";984  Briesnitz-Süd;"Süd ";01157;159;"  ";"  "
0069;14089;"Altbriesnitz                       ";"3   ";"17  ";"10  ";"14  ";"Cotta               ";"Briesnitz                ";983  Briesnitz-Nord;"Süd ";01157;159;"  ";"  "
0070;14159;"Altburgstädtel                     ";"    ";"    ";"    ";"    ";"Cotta               ";"Omsewitz                 ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
0071;12110;"Altcoschütz                        ";"    ";"    ";"    ";"    ";"Plauen              ";"Coschütz                 ";852  Coschütz-West;"Süd ";01189;158;"  ";"  "
0072;14134;"Altcotta                           ";"    ";"    ";"6   ";"8   ";"Cotta               ";"Cotta                    ";911  Cotta(Cossebauder Str);"Süd ";01157;159;"  ";"  "
0073;14134;"Altcotta                           ";"U   ";"    ";"    ";"    ";"Cotta               ";"Cotta                    ";912  Cotta(Grillparzerplatz);"Süd ";01157;159;"  ";"  "
0074;10085;"Altdobritz                         ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Dobritz                  ";564  Dobritz(Altdobritz/Basedowstr);"Süd ";01237;158;"  ";"  "
0075;13055;"Altdölzschen                       ";"    ";"    ";"    ";"    ";"Cotta               ";"Dölzschen                ";945  Dölzschen;"Süd ";01187;159;"  ";"  "
0076;07341;"Alte Dorfstraße                    ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Gönnsdorf                ";461  Gönnsdorf;Nord;01328;159;"  ";"  "
0077;06404;"Alte Dresdner Straße               ";"    ";"    ";"    ";"    ";"Weixdorf            ";"Lausa                    ";353  Lausa (Alte Dr. Str./Schönburg;Nord;01108;159;"  ";"  "
0078;07212;"Alte Kirschplantage                ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
0079;11195;"Alte Landstraße                    ";"U   ";"    ";"    ";"    ";"Prohlis             ";"Kleinluga                ";741  Luga;"Süd ";01259;158;"  ";"  "
0080;11195;"Alte Landstraße                    ";"U   ";"    ";"    ";"    ";"Prohlis             ";"Lockwitz                 ";742  Lockwitz;"Süd ";01259;158;"  ";"  "
0081;14005;"Alte Meißner Landstraße            ";"19  ";"43  ";"14  ";"28  ";"Cotta               ";"Briesnitz                ";984  Briesnitz-Süd;"Süd ";01157;159;"  ";"  "
0082;14005;"Alte Meißner Landstraße            ";"45  ";"67  ";"28c ";"38  ";"Cotta               ";"Briesnitz                ";983  Briesnitz-Nord;"Süd ";01157;159;"  ";"  "
0083;05331;"Alte Moritzburger Straße           ";"1   ";"13  ";"2   ";"14  ";"Weixdorf            ";"Lausa                    ";354  Alt-Lausa/Friedersdorf;Nord;01108;159;"  ";"  "
0084;05331;"Alte Moritzburger Straße           ";"15  ";"81  ";"16  ";"40  ";"Weixdorf            ";"Gomlitz                  ";355  Gomlitz;Nord;01108;159;"  ";"  "
0085;05331;"Alte Moritzburger Straße           ";"    ";"    ";"40a ";"    ";"Weixdorf            ";"Gompitz                  ";355  Gomlitz;Nord;01108;159;"  ";"  "
0086;05331;"Alte Moritzburger Straße           ";"    ";"    ";"40b ";"60a ";"Weixdorf            ";"Gomlitz                  ";355  Gomlitz;Nord;01108;159;"  ";"  "
0087;05331;"Alte Moritzburger Straße           ";"U   ";"    ";"    ";"    ";"Weixdorf            ";"Marsdorf                 ";356  Marsdorf;Nord;01108;159;"  ";"  "
0088;14400;"Alte Poststraße                    ";"    ";"    ";"    ";"    ";"Gompitz             ";"Steinbach                ";995  Steinbach;"Süd ";01156;159;"  ";"  "
0089;10109;"Alte Straße                        ";"1   ";"7   ";"    ";"    ";"Leuben              ";"Großzschachwitz          ";641  Großzschachwitz(Alte Str);"Süd ";01259;158;"  ";"  "
0090;10109;"Alte Straße                        ";"U   ";"    ";"    ";"    ";"Leuben              ";"Großzschachwitz          ";644  Großzschachwitz(Rathener-Süd);"Süd ";01259;158;"  ";"  "
0091;10109;"Alte Straße                        ";"U   ";"    ";"    ";"    ";"Leuben              ";"Großzschachwitz          ";642  Großzschachwitz(Rathener-Nord);"Süd ";01259;158;"  ";"  "
0092;09085;"Altenberger Platz                  ";"1   ";"15  ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";558  Seidnitz-Nord(Schlottwtzr.Str);"Süd ";01277;158;"  ";"  "
0093;09085;"Altenberger Platz                  ";"    ";"    ";"2   ";"14  ";"Blasewitz           ";"Seidnitz                 ";557  Seidnitz-Nord(Schmiedebgr.Str);"Süd ";01277;158;"  ";"  "
0094;09085;"Altenberger Platz                  ";"    ";"    ";"18  ";"22  ";"Blasewitz           ";"Seidnitz                 ";556  Seidnitz-Nord(Altenberger Str);"Süd ";01277;158;"  ";"  "
0095;09084;"Altenberger Straße                 ";"1   ";"49  ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";517  Neugruna(Polenzstr);"Süd ";01277;158;"  ";"  "
0096;09084;"Altenberger Straße                 ";"    ";"    ";"2   ";"28  ";"Blasewitz           ";"Striesen                 ";526  Striesen-Ost(Voglerstr);"Süd ";01277;158;"  ";"  "
0097;09084;"Altenberger Straße                 ";"    ";"    ";"30  ";"50  ";"Blasewitz           ";"Striesen                 ";527  Striesen-Ost(Bärensteiner Str);"Süd ";01277;158;"  ";"  "
0098;09084;"Altenberger Straße                 ";"51  ";"81  ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";558  Seidnitz-Nord(Schlottwtzr.Str);"Süd ";01277;158;"  ";"  "
0099;09084;"Altenberger Straße                 ";"    ";"    ";"52  ";"    ";"Blasewitz           ";"Seidnitz                 ";557  Seidnitz-Nord(Schmiedebgr.Str);"Süd ";01277;158;"  ";"  "
0100;09084;"Altenberger Straße                 ";"    ";"    ";"54  ";"94  ";"Blasewitz           ";"Seidnitz                 ";556  Seidnitz-Nord(Altenberger Str);"Süd ";01277;158;"  ";"  "
0101;09084;"Altenberger Straße                 ";"83  ";"    ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";555  Seidnitz-Nord(Johnsbacher Weg);"Süd ";01277;158;"  ";"  "
0102;09084;"Altenberger Straße                 ";"87  ";"    ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";555  Seidnitz-Nord(Johnsbacher Weg);"Süd ";01279;158;"  ";"  "
0103;09084;"Altenberger Straße                 ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";567  Seidnitz(Alter Elbarm);"Süd ";01277;158;"  ";"  "
0104;12033;"Altenzeller Straße                 ";"1   ";"17a ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";811  Südvs.-West(Feldschlößchenstr);"Süd ";01069;158;"  ";"  "
0105;12033;"Altenzeller Straße                 ";"    ";"    ";"2   ";"14  ";"Plauen              ";"Dresden-Altstadt 2       ";814  Südvs.-West(Eisenstuckst-West);"Süd ";01069;158;"  ";"  "
0106;12033;"Altenzeller Straße                 ";"    ";"    ";"16  ";"38  ";"Plauen              ";"Dresden-Altstadt 2       ";815  Südvs.-West(Eisenstuckst-Mitt);"Süd ";01069;158;"  ";"  "
0107;12033;"Altenzeller Straße                 ";"21  ";"31  ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";813  Südvs.-West(Bayrische Str);"Süd ";01069;158;"  ";"  "
0108;12033;"Altenzeller Straße                 ";"33  ";"41  ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";816  Südvs.-West(Schnorrstr-West);"Süd ";01069;158;"  ";"  "
0109;12033;"Altenzeller Straße                 ";"    ";"    ";"42  ";"50  ";"Plauen              ";"Dresden-Altstadt 2       ";817  Südvs.-West(Nürnberger Pl/TU);"Süd ";01069;158;"  ";"  "
0110;07547;"Alter Bahndamm                     ";"101 ";"105 ";"80  ";"    ";"Schönfeld-Weißig    ";"Schönfeld                ";471  Schönfeld;Nord;01328;159;"  ";"  "
0111;07547;"Alter Bahndamm                     ";"U   ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Weißig                   ";454  Weißig (Hauptstr.);Nord;01328;159;"  ";"  "
0112;07547;"Alter Bahndamm                     ";"U   ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Schullwitz               ";472  Schullwitz;Nord;01328;159;"  ";"  "
0113;07547;"Alter Bahndamm                     ";"U   ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Eschdorf                 ";474  Eschdorf;Nord;01328;159;"  ";"  "
0114;07547;"Alter Bahndamm                     ";"U   ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Cunnersdorf              ";464  Cunnersdorf;Nord;01328;159;"  ";"  "
0115;07361;"Alter Eichbuscher Weg              ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Cunnersdorf              ";464  Cunnersdorf;Nord;01328;159;"  ";"  "
0116;05252;"Alter Jagdweg                      ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";314  Klotzsche(Am Trobischberg);Nord;01109;159;"  ";"  "
0117;11162;"Alter Postweg                      ";"    ";"    ";"    ";"    ";"Prohlis             ";"Nickern                  ";743  Nickern;"Süd ";01239;158;"  ";"  "
0118;07493;"Alter Rossendorfer Weg             ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Rossendorf               ";475  Rossendorf;Nord;01328;159;"  ";"  "
0119;13129;"Altfrankener Dorfstraße            ";"    ";"    ";"    ";"    ";"Altfranken          ";"Altfranken               ";998  Altfranken;"Süd ";01156;159;"  ";"  "
0120;13141;"Altfrankener Höhe                  ";"    ";"    ";"    ";"    ";"Altfranken          ";"Altfranken               ";998  Altfranken;"Süd ";01156;159;"  ";"  "
0121;13029;"Altfrankener Straße                ";"    ";"    ";"    ";"    ";"Cotta               ";"Löbtau                   ";933  Löbtau-Süd(Altfrankener Str);"Süd ";01159;159;"  ";"  "
0122;06422;"Altfriedersdorf                    ";"    ";"    ";"    ";"    ";"Weixdorf            ";"Lausa                    ";354  Alt-Lausa/Friedersdorf;Nord;01108;159;"  ";"  "
0123;05307;"Altgomlitz                         ";"    ";"    ";"    ";"    ";"Weixdorf            ";"Gomlitz                  ";355  Gomlitz;Nord;01108;159;"  ";"  "
0124;14413;"Altgompitz                         ";"    ";"    ";"    ";"    ";"Gompitz             ";"Gompitz                  ";991  Gompitz;"Süd ";01156;159;"  ";"  "
0125;13099;"Altgorbitz                         ";"    ";"    ";"    ";"    ";"Cotta               ";"Gorbitz                  ";946  Niedergorbitz/Roßthal;"Süd ";01169;159;"  ";"  "
0126;14231;"Altgorbitzer Ring                  ";"1   ";"    ";"    ";"    ";"Cotta               ";"Gorbitz                  ";956  Gorbitz-Süd(Wilsdr. Ring-Ost);"Süd ";01169;159;"  ";"  "
0127;14231;"Altgorbitzer Ring                  ";"1a  ";"    ";"    ";"    ";"Cotta               ";"Gorbitz                  ";957  Gorbitz-Süd(Wilsdr. Ring-West);"Süd ";01169;159;"  ";"  "
0128;14231;"Altgorbitzer Ring                  ";"    ";"    ";"2   ";"48  ";"Cotta               ";"Gorbitz                  ";955  Gorbitz-Süd(Altgorb.Ring-Mitt);"Süd ";01169;159;"  ";"  "
0129;14231;"Altgorbitzer Ring                  ";"3   ";"9   ";"    ";"    ";"Cotta               ";"Gorbitz                  ";956  Gorbitz-Süd(Wilsdr. Ring-Ost);"Süd ";01169;159;"  ";"  "
0130;14231;"Altgorbitzer Ring                  ";"69  ";"81  ";"50  ";"78  ";"Cotta               ";"Gorbitz                  ";954  Gorbitz-Süd(Altgorb. Ring-Ost);"Süd ";01169;159;"  ";"  "
0131;14231;"Altgorbitzer Ring                  ";"    ";"    ";"80  ";"82  ";"Cotta               ";"Gorbitz                  ";955  Gorbitz-Süd(Altgorb.Ring-Mitt);"Süd ";01169;159;"  ";"  "
0132;11124;"Altgostritz                        ";"    ";"    ";"    ";"    ";"Plauen              ";"Gostritz                 ";846  Gostritz;"Süd ";01217;158;"  ";"  "
0133;09289;"Altgruna                           ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Gruna                    ";576  Gruna(Papstdorfer Str);"Süd ";01277;158;"  ";"  "
0134;01023;"Altkaditz                          ";"    ";"    ";"    ";"    ";"Pieschen            ";"Kaditz                   ";233  Kaditz(Altkaditz);Nord;01139;159;"  ";"  "
0135;11067;"Altkaitz                           ";"    ";"    ";"    ";"    ";"Plauen              ";"Kaitz                    ";844  Kaitz;"Süd ";01217;158;"  ";"  "
0136;09193;"Altkleinzschachwitz                ";"    ";"    ";"    ";"    ";"Leuben              ";"Kleinzschachwitz         ";632  Kleinzschachwitz-Süd;"Süd ";01259;158;"  ";"  "
0137;05204;"Altklotzsche                       ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";311  Klotzsche(Altklotzsche);Nord;01109;159;"  ";"  "
0138;09140;"Altlaubegast                       ";"    ";"    ";"    ";"    ";"Leuben              ";"Laubegast                ";624  Laubegast(Altlaubegast);"Süd ";01279;158;"  ";"  "
0139;10094;"Altleuben                          ";"3   ";"7b  ";"2   ";"6   ";"Leuben              ";"Leuben                   ";615  Leuben(Altleuben);"Süd ";01257;158;"  ";"  "
0140;10094;"Altleuben                          ";"9   ";"15  ";"8   ";"14  ";"Leuben              ";"Leuben                   ";611  Leuben(Altleuben);"Süd ";01257;158;"  ";"  "
0141;11115;"Altleubnitz                        ";"1   ";"37  ";"2   ";"50  ";"Prohlis             ";"Leubnitz-Neuostra        ";755  Leubnitz(Altleubnitz);"Süd ";01219;158;"  ";"  "
0142;11115;"Altleubnitz                        ";"U   ";"    ";"    ";"    ";"Prohlis             ";"Leubnitz-Neuostra        ";752  Leubnitz(Leubnitzer Höhe);"Süd ";01219;158;"  ";"  "
0143;14500;"Alt-Leuteritzer Ring               ";"    ";"    ";"    ";"    ";"Mobschatz           ";"Leuteritz                ";907  Alt-Leuteritz/Brabschütz;"Süd ";01156;159;"  ";"  "
0144;14152;"Altleutewitz                       ";"    ";"    ";"    ";"    ";"Cotta               ";"Leutewitz                ";986  Leutewitz;"Süd ";01157;159;"  ";"  "
0145;14049;"Altlöbtau                          ";"    ";"    ";"    ";"    ";"Cotta               ";"Löbtau                   ";922  Löbtau-Nord(Altlöbtau);"Süd ";01159;159;"  ";"  "
0146;11191;"Altlockwitz                        ";"    ";"    ";"    ";"    ";"Prohlis             ";"Lockwitz                 ";742  Lockwitz;"Süd ";01257;158;"  ";"  "
0147;00181;"Altmarkt                           ";"1   ";"7   ";"4   ";"10d ";"Altstadt            ";"Dresden-Altstadt 1       ";011  Innere Altstadt-Ost;"Süd ";01067;158;"  ";"  "
0148;00181;"Altmarkt                           ";"21  ";"25  ";"22  ";"24  ";"Altstadt            ";"Dresden-Altstadt 1       ";012  Innere Altstadt-West;"Süd ";01067;158;"  ";"  "
0149;01006;"Altmickten                         ";"    ";"    ";"    ";"    ";"Pieschen            ";"Mickten                  ";226  Mickten(Altmickten);Nord;01139;159;"  ";"  "
0150;14512;"Altmobschatz                       ";"    ";"    ";"    ";"    ";"Mobschatz           ";"Mobschatz                ";906  Mobschatz;"Süd ";01156;159;"  ";"  "
0151;11071;"Altmockritz                        ";"    ";"    ";"    ";"    ";"Plauen              ";"Mockritz                 ";845  Altmockritz/Altpestitz;"Süd ";01217;158;"  ";"  "
