Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
3145;13086;"Leßkestraße                        ";"    ";"    ";"    ";"    ";"Cotta               ";"Gorbitz                  ";946  Niedergorbitz/Roßthal;"Süd ";01169;159;"  ";"  "
3146;09120;"Leubener Straße                    ";"1   ";"25  ";"    ";"    ";"Leuben              ";"Laubegast                ";624  Laubegast(Altlaubegast);"Süd ";01279;158;"  ";"  "
3147;09120;"Leubener Straße                    ";"    ";"    ";"2   ";"96  ";"Leuben              ";"Laubegast                ";626  Laubegast(Kärntner Weg);"Süd ";01279;158;"  ";"  "
3148;09120;"Leubener Straße                    ";"27  ";"61  ";"    ";"    ";"Leuben              ";"Laubegast                ";625  Laubegast(Gasteiner Str);"Süd ";01279;158;"  ";"  "
3149;09120;"Leubener Straße                    ";"    ";"    ";"134 ";136b;"Leuben              ";"Leuben                   ";618  Leuben(Rottwerndorfer Str);"Süd ";01257;158;"  ";"  "
3150;09120;"Leubener Straße                    ";"U   ";"    ";"    ";"    ";"Leuben              ";"Leuben                   ";611  Leuben(Altleuben);"Süd ";01257;158;"  ";"  "
3151;09254;"Leubener Weg                       ";"U   ";"    ";"    ";"    ";"Leuben              ";"Leuben                   ";611  Leuben(Altleuben);"Süd ";01257;158;"  ";"  "
3152;09254;"Leubener Weg                       ";"U   ";"    ";"    ";"    ";"Leuben              ";"Leuben                   ";612  Leuben(Stephensonstr);"Süd ";01257;158;"  ";"  "
3153;11128;"Leubnitzer Höhe                    ";"    ";"    ";"    ";"    ";"Prohlis             ";"Leubnitz-Neuostra        ";752  Leubnitz(Leubnitzer Höhe);"Süd ";01219;158;"  ";"  "
3154;12031;"Leubnitzer Straße                  ";"1   ";"3   ";"4   ";"12a ";"Plauen              ";"Dresden-Altstadt 2       ";811  Südvs.-West(Feldschlößchenstr);"Süd ";01069;158;"  ";"  "
3155;12031;"Leubnitzer Straße                  ";"7   ";"15  ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";812  Südvs.-West(Schweizer Str);"Süd ";01069;158;"  ";"  "
3156;12031;"Leubnitzer Straße                  ";"15a ";"17c ";"14  ";"28  ";"Plauen              ";"Dresden-Altstadt 2       ";813  Südvs.-West(Bayrische Str);"Süd ";01069;158;"  ";"  "
3157;12031;"Leubnitzer Straße                  ";"23  ";"25a ";"28a ";"32b ";"Plauen              ";"Dresden-Altstadt 2       ";816  Südvs.-West(Schnorrstr-West);"Süd ";01069;158;"  ";"  "
3158;02019;"Leuckartstraße                     ";"    ";"    ";"    ";"    ";"Pieschen            ";"Kaditz                   ";231  Kaditz(Wächterstr);Nord;01139;159;"  ";"  "
3159;13007;"Leumerstraße                       ";"    ";"    ";"    ";"    ";"Cotta               ";"Löbtau                   ";931  Löbtau-Süd(Schillingstr);"Süd ";01159;159;"  ";"  "
