Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;22320;0;16973
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3037;1152;1152
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;1920;1000;500
2014;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;727;458;137
2014;StB 0 Altstadt;02 Johannstadt;0 Kinder;16801;0;11889
2014;StB 0 Altstadt;02 Johannstadt;1 Kind;2580;936;936
2014;StB 0 Altstadt;02 Johannstadt;2 Kinder;2340;1210;605
2014;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;779;487;152
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;22153;0;17538
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;5842;2140;2140
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;5544;2876;1438
2014;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;1968;1228;389
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;7635;0;6132
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;2098;774;774
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;1770;922;461
2014;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;533;337;106
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;14618;0;11237
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;4737;1746;1746
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;3434;1800;900
2014;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;1250;804;245
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;17897;0;12536
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5200;1907;1907
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;4264;2216;1108
2014;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;1353;861;268
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;18337;0;11075
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;4693;1616;1616
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;5365;2700;1350
2014;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1867;1149;361
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;19497;0;11728
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5278;1796;1796
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;5935;2994;1497
2014;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;2171;1333;418
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;0 Kinder;29095;0;20548
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;8356;2999;2999
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;7851;4026;2013
2014;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;2475;1539;480
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;0 Kinder;25674;0;17692
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;6069;2231;2231
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;4759;2494;1247
2014;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;1308;826;252
2014;StB 6 Leuben;10 StB Leuben;0 Kinder;25532;0;17031
2014;StB 6 Leuben;10 StB Leuben;1 Kind;6224;2285;2285
2014;StB 6 Leuben;10 StB Leuben;2 Kinder;5181;2690;1345
2014;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;1636;1032;317
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);0 Kinder;16198;0;11522
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;2966;1124;1124
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;2396;1288;644
2014;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1308;873;256
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);0 Kinder;21147;0;13384
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;5325;1868;1868
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;5064;2594;1297
2014;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1571;976;303
2014;StB 8 Plauen;13 Südvorstadt, Zschertnitz;0 Kinder;19715;0;13890
2014;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;3452;1238;1238
2014;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;2822;1458;729
2014;StB 8 Plauen;13 Südvorstadt, Zschertnitz;3 u.m. Kinder;1073;672;206
2014;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;0 Kinder;15798;0;10628
2014;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1 Kind;3876;1339;1339
2014;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;2 Kinder;3815;1950;975
2014;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;3 u.m. Kinder;1240;756;238
2014;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;0 Kinder;26099;0;19066
2014;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1 Kind;6799;2476;2476
2014;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;2 Kinder;5522;2850;1425
2014;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;3 u.m. Kinder;1454;907;288
2014;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;0 Kinder;14676;0;10695
2014;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1 Kind;2661;1036;1036
2014;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;2 Kinder;2066;1130;565
2014;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;3 u.m. Kinder;1139;756;222
2014;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;0 Kinder;14114;0;8567
2014;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;1 Kind;3879;1333;1333
2014;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;2 Kinder;3792;1910;955
2014;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;3 u.m. Kinder;1036;638;200
