Jahr;Wahlbezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Wahl-Form;Wahlberechtigte;Wahlberechtigte mit WS;Wähler;Wähler mit WS;Stimmen gültig;Stimmen CDU;Stimmen SPD;Stimmen Die Linke;Stimmen Grüne;Stimmen FDP;Stimmen Rechte Parteien;Stimmen AfD;Stimmen Piraten;Stimmen sonstiger Parteien;Stimmen ungültig
1999;06102;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;775;88;467;0;461;239;46;121;11;5;19;0;0;20;6
1999;06200;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;634;68;360;1;356;176;38;100;20;3;6;0;0;13;4
1999;06301;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;759;87;399;0;387;187;44;135;9;0;4;0;0;8;12
1999;06302;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;914;108;478;0;473;227;45;163;6;0;9;0;0;23;5
1999;06400;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1194;149;652;1;640;338;56;190;23;6;6;0;0;21;12
1999;06500;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;795;92;423;0;420;212;46;88;51;3;8;0;0;12;3
1999;06601;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;753;89;453;0;442;224;45;138;9;0;9;0;0;17;11
1999;06602;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;807;120;380;0;378;210;41;74;34;5;3;0;0;11;2
1999;06700;06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1169;114;484;0;472;217;63;111;50;3;10;0;0;18;12
1999;07001;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;850;850;844;469;61;266;10;11;5;0;0;22;6
1999;07002;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Brief;0;0;793;793;790;378;67;280;32;8;7;0;0;18;3
1999;07101;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;854;107;398;0;387;169;33;158;8;5;5;0;0;9;11
1999;07102;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;769;157;476;0;475;268;47;128;11;2;6;0;0;13;1
1999;07200;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1130;171;669;2;658;385;59;152;20;6;12;0;0;24;11
1999;07300;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1403;214;760;0;747;448;72;169;17;4;6;0;0;31;13
1999;07401;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;687;89;424;0;417;217;49;124;7;2;5;0;0;13;7
1999;07402;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;948;140;536;0;529;318;41;142;9;3;4;0;0;12;7
1999;07500;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1326;203;773;0;762;363;69;266;16;4;16;0;0;28;11
1999;07600;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1054;179;585;0;580;286;47;204;10;8;11;0;0;14;5
