Jahr;Beschäftigtengrößenklassen_4;SV-pflichtig Beschäftigte;Anzahl Niederlassungen
2019;0-9 svB;32865,8;21563
2019;10-49 svB;55473;2659
2019;50-249 svB;71291,1;717
2019;250 u.m.;87157,4;118
2020;0-9 svB;33193,5;20236
2020;10-49 svB;54776,4;2620
2020;50-249 svB;72019,8;731
2020;250 u.m.;88443;118
