Jahr;Quartal;Jahresquartal;Alter;Geschlecht;Anzahl Einwohner
2025;4. Quartal;20254;" 57 Jahre";weiblich;3
2018;2. Quartal;20182;" 48 Jahre";männlich;4
2019;3. Quartal;20193;" 31 Jahre";männlich;1
2021;1. Quartal;20211;" 47 Jahre";weiblich;1
2022;4. Quartal;20224;" 77 Jahre";weiblich;6
2023;2. Quartal;20232;" 91 Jahre";männlich;17
2022;3. Quartal;20223;" 91 Jahre";männlich;12
2024;1. Quartal;20241;" 60 Jahre";weiblich;3
2017;4. Quartal;20174;" 48 Jahre";männlich;2
2024;1. Quartal;20241;" 18 Jahre";männlich;1
2016;4. Quartal;20164;" 85 Jahre";männlich;21
2016;2. Quartal;20162;" 47 Jahre";männlich;2
2017;3. Quartal;20173;" 80 Jahre";männlich;16
2022;3. Quartal;20223;" 69 Jahre";weiblich;9
2025;1. Quartal;20251;" 88 Jahre";männlich;33
2024;2. Quartal;20242;" 68 Jahre";männlich;10
2016;2. Quartal;20162;" 75 Jahre";weiblich;15
2017;4. Quartal;20174;" 77 Jahre";männlich;28
2018;4. Quartal;20184;"  0 Jahre";weiblich;1
2020;4. Quartal;20204;" 93 Jahre";weiblich;35
2024;1. Quartal;20241;" 86 Jahre";männlich;44
2018;1. Quartal;20181;" 86 Jahre";weiblich;36
2022;4. Quartal;20224;" 83 Jahre";männlich;32
2020;2. Quartal;20202;" 72 Jahre";männlich;15
2025;3. Quartal;20253;" 68 Jahre";weiblich;7
2022;1. Quartal;20221;" 87 Jahre";männlich;27
2022;2. Quartal;20222;" 79 Jahre";männlich;24
2025;4. Quartal;20254;" 71 Jahre";männlich;13
2021;1. Quartal;20211;" 65 Jahre";männlich;15
2017;2. Quartal;20172;" 70 Jahre";männlich;6
2016;3. Quartal;20163;105 Jahre;weiblich;2
2017;1. Quartal;20171;" 54 Jahre";weiblich;6
2020;2. Quartal;20202;" 90 Jahre";männlich;22
2025;1. Quartal;20251;" 39 Jahre";weiblich;1
2021;2. Quartal;20212;" 89 Jahre";weiblich;30
2018;1. Quartal;20181;" 81 Jahre";männlich;27
2019;4. Quartal;20194;" 96 Jahre";männlich;4
2024;3. Quartal;20243;" 49 Jahre";männlich;2
2025;4. Quartal;20254;" 61 Jahre";weiblich;5
2018;1. Quartal;20181;" 53 Jahre";männlich;3
2018;3. Quartal;20183;" 79 Jahre";weiblich;17
2019;4. Quartal;20194;" 88 Jahre";weiblich;23
2025;3. Quartal;20253;" 99 Jahre";weiblich;10
2023;3. Quartal;20233;" 76 Jahre";weiblich;10
2024;3. Quartal;20243;" 37 Jahre";weiblich;1
2017;4. Quartal;20174;" 36 Jahre";weiblich;1
2023;4. Quartal;20234;" 85 Jahre";männlich;27
2024;4. Quartal;20244;" 55 Jahre";männlich;5
2020;2. Quartal;20202;" 47 Jahre";männlich;2
2021;1. Quartal;20211;" 64 Jahre";männlich;13
2026;2. Quartal;20262;" 95 Jahre";männlich;12
2017;1. Quartal;20171;" 67 Jahre";männlich;11
2018;4. Quartal;20184;" 80 Jahre";weiblich;17
2022;2. Quartal;20222;" 38 Jahre";männlich;1
2024;3. Quartal;20243;" 74 Jahre";weiblich;13
2026;1. Quartal;20261;" 81 Jahre";männlich;25
2018;3. Quartal;20183;" 34 Jahre";weiblich;1
2020;3. Quartal;20203;" 29 Jahre";männlich;2
2021;2. Quartal;20212;" 84 Jahre";weiblich;32
2021;2. Quartal;20212;" 57 Jahre";weiblich;7
2016;3. Quartal;20163;" 44 Jahre";männlich;1
2026;2. Quartal;20262;" 59 Jahre";männlich;6
2020;4. Quartal;20204;" 32 Jahre";weiblich;1
2021;4. Quartal;20214;" 83 Jahre";weiblich;46
2025;4. Quartal;20254;" 51 Jahre";weiblich;2
2025;1. Quartal;20251;" 71 Jahre";weiblich;11
2021;2. Quartal;20212;" 53 Jahre";männlich;4
2023;4. Quartal;20234;" 75 Jahre";weiblich;9
2021;3. Quartal;20213;" 53 Jahre";männlich;3
2022;2. Quartal;20222;" 66 Jahre";weiblich;4
2017;1. Quartal;20171;" 63 Jahre";weiblich;6
2026;2. Quartal;20262;" 69 Jahre";männlich;16
2026;1. Quartal;20261;" 45 Jahre";weiblich;1
2017;3. Quartal;20173;" 46 Jahre";weiblich;1
2016;2. Quartal;20162;" 44 Jahre";männlich;1
2024;3. Quartal;20243;" 19 Jahre";männlich;1
2020;4. Quartal;20204;" 74 Jahre";männlich;14
2018;3. Quartal;20183;" 73 Jahre";männlich;14
2023;1. Quartal;20231;" 28 Jahre";weiblich;1
2016;1. Quartal;20161;" 92 Jahre";weiblich;34
2017;1. Quartal;20171;" 59 Jahre";männlich;4
2023;2. Quartal;20232;" 57 Jahre";männlich;6
2021;2. Quartal;20212;" 88 Jahre";männlich;21
2021;3. Quartal;20213;" 57 Jahre";weiblich;1
2024;1. Quartal;20241;" 73 Jahre";weiblich;11
2020;1. Quartal;20201;" 52 Jahre";männlich;3
2021;2. Quartal;20212;" 28 Jahre";männlich;1
2019;1. Quartal;20191;" 71 Jahre";weiblich;8
2024;2. Quartal;20242;" 56 Jahre";weiblich;2
2026;2. Quartal;20262;105 Jahre;weiblich;1
2021;4. Quartal;20214;" 39 Jahre";männlich;1
2025;3. Quartal;20253;" 72 Jahre";männlich;10
2020;2. Quartal;20202;" 68 Jahre";weiblich;5
2019;4. Quartal;20194;" 41 Jahre";weiblich;1
2016;1. Quartal;20161;" 96 Jahre";männlich;9
2017;1. Quartal;20171;" 96 Jahre";weiblich;30
2018;2. Quartal;20182;" 70 Jahre";weiblich;2
2023;1. Quartal;20231;" 53 Jahre";weiblich;2
2026;2. Quartal;20262;" 86 Jahre";weiblich;46
2017;3. Quartal;20173;" 19 Jahre";weiblich;1
2017;4. Quartal;20174;" 67 Jahre";weiblich;10
2018;4. Quartal;20184;102 Jahre;weiblich;1
2021;2. Quartal;20212;" 98 Jahre";weiblich;10
2019;3. Quartal;20193;" 87 Jahre";männlich;20
2016;3. Quartal;20163;" 72 Jahre";männlich;22
2021;1. Quartal;20211;" 85 Jahre";weiblich;47
2022;3. Quartal;20223;" 29 Jahre";weiblich;1
2019;2. Quartal;20192;" 83 Jahre";männlich;35
2025;2. Quartal;20252;" 41 Jahre";weiblich;1
2018;2. Quartal;20182;" 73 Jahre";männlich;9
2018;4. Quartal;20184;" 39 Jahre";weiblich;1
2019;1. Quartal;20191;" 75 Jahre";männlich;25
2016;2. Quartal;20162;" 83 Jahre";männlich;19
2020;3. Quartal;20203;" 47 Jahre";weiblich;1
2025;2. Quartal;20252;" 67 Jahre";männlich;15
2018;1. Quartal;20181;" 89 Jahre";weiblich;43
2023;3. Quartal;20233;" 81 Jahre";männlich;26
2017;3. Quartal;20173;" 53 Jahre";männlich;4
2017;4. Quartal;20174;" 31 Jahre";männlich;1
2018;2. Quartal;20182;" 60 Jahre";männlich;13
2024;4. Quartal;20244;" 59 Jahre";weiblich;4
2025;4. Quartal;20254;" 91 Jahre";weiblich;32
2016;1. Quartal;20161;" 63 Jahre";männlich;4
2019;2. Quartal;20192;" 49 Jahre";männlich;1
2025;1. Quartal;20251;" 44 Jahre";männlich;4
2024;1. Quartal;20241;103 Jahre;weiblich;2
2026;1. Quartal;20261;" 71 Jahre";weiblich;17
2021;3. Quartal;20213;" 98 Jahre";weiblich;9
2025;3. Quartal;20253;"  1 Jahre";männlich;1
2024;4. Quartal;20244;" 83 Jahre";männlich;36
2025;3. Quartal;20253;" 69 Jahre";weiblich;11
2018;4. Quartal;20184;" 74 Jahre";männlich;19
2024;2. Quartal;20242;" 84 Jahre";weiblich;46
2020;4. Quartal;20204;" 42 Jahre";männlich;2
2020;1. Quartal;20201;" 87 Jahre";männlich;21
2017;2. Quartal;20172;" 99 Jahre";weiblich;4
2025;4. Quartal;20254;" 78 Jahre";weiblich;13
2016;4. Quartal;20164;" 74 Jahre";weiblich;12
2017;1. Quartal;20171;" 73 Jahre";männlich;14
2018;1. Quartal;20181;" 49 Jahre";männlich;1
2023;3. Quartal;20233;102 Jahre;männlich;1
2022;4. Quartal;20224;" 74 Jahre";männlich;9
2019;4. Quartal;20194;" 44 Jahre";weiblich;1
2023;3. Quartal;20233;" 89 Jahre";weiblich;28
2023;4. Quartal;20234;" 81 Jahre";weiblich;22
2017;4. Quartal;20174;" 54 Jahre";weiblich;1
2024;1. Quartal;20241;"  0 Jahre";männlich;3
2017;4. Quartal;20174;" 57 Jahre";weiblich;2
2023;1. Quartal;20231;" 67 Jahre";männlich;12
2024;2. Quartal;20242;103 Jahre;männlich;1
2022;2. Quartal;20222;" 41 Jahre";männlich;2
2026;1. Quartal;20261;" 89 Jahre";weiblich;62
2016;2. Quartal;20162;" 66 Jahre";weiblich;3
2023;1. Quartal;20231;" 50 Jahre";männlich;4
2026;1. Quartal;20261;" 39 Jahre";männlich;2
2024;1. Quartal;20241;" 48 Jahre";männlich;1
2016;4. Quartal;20164;" 66 Jahre";weiblich;5
2023;4. Quartal;20234;" 90 Jahre";männlich;21
2018;1. Quartal;20181;" 77 Jahre";weiblich;21
2021;3. Quartal;20213;" 76 Jahre";männlich;15
2019;1. Quartal;20191;" 56 Jahre";weiblich;2
2022;1. Quartal;20221;" 50 Jahre";weiblich;2
2022;2. Quartal;20222;" 70 Jahre";männlich;10
2018;4. Quartal;20184;" 71 Jahre";weiblich;10
2019;3. Quartal;20193;" 76 Jahre";männlich;22
2016;4. Quartal;20164;" 48 Jahre";männlich;1
2019;1. Quartal;20191;" 52 Jahre";männlich;5
2022;1. Quartal;20221;" 36 Jahre";männlich;1
2021;4. Quartal;20214;" 28 Jahre";männlich;1
2016;2. Quartal;20162;" 56 Jahre";männlich;5
2023;1. Quartal;20231;" 39 Jahre";weiblich;2
2021;1. Quartal;20211;" 50 Jahre";weiblich;3
2025;4. Quartal;20254;" 82 Jahre";weiblich;17
2017;4. Quartal;20174;" 78 Jahre";weiblich;19
2022;3. Quartal;20223;" 97 Jahre";weiblich;12
2019;1. Quartal;20191;" 87 Jahre";weiblich;26
2023;3. Quartal;20233;" 55 Jahre";weiblich;2
2017;2. Quartal;20172;" 98 Jahre";männlich;1
2019;1. Quartal;20191;102 Jahre;weiblich;2
2019;2. Quartal;20192;" 95 Jahre";weiblich;12
2025;4. Quartal;20254;107 Jahre;weiblich;1
2021;3. Quartal;20213;" 72 Jahre";weiblich;13
2019;3. Quartal;20193;100 Jahre;männlich;1
2020;3. Quartal;20203;" 80 Jahre";weiblich;16
2024;2. Quartal;20242;" 45 Jahre";männlich;1
2019;2. Quartal;20192;" 69 Jahre";weiblich;5
2023;3. Quartal;20233;" 62 Jahre";weiblich;7
2018;2. Quartal;20182;" 32 Jahre";weiblich;1
2023;2. Quartal;20232;" 36 Jahre";männlich;1
2025;4. Quartal;20254;" 97 Jahre";männlich;6
2022;2. Quartal;20222;" 47 Jahre";männlich;1
2024;4. Quartal;20244;" 72 Jahre";männlich;11
2017;3. Quartal;20173;" 61 Jahre";weiblich;3
