Jahr;Quartal;Jahresquartal;Alter;Geschlecht;Anzahl Einwohner
2018;1. Quartal;20181;" 54 Jahre";weiblich;1
2023;1. Quartal;20231;" 95 Jahre";weiblich;10
2018;2. Quartal;20182;" 65 Jahre";männlich;16
2022;1. Quartal;20221;" 78 Jahre";männlich;33
2025;2. Quartal;20252;" 57 Jahre";männlich;1
2025;4. Quartal;20254;" 86 Jahre";männlich;27
2017;2. Quartal;20172;" 94 Jahre";weiblich;26
2020;4. Quartal;20204;" 69 Jahre";männlich;24
2019;2. Quartal;20192;" 41 Jahre";männlich;1
2023;3. Quartal;20233;" 40 Jahre";männlich;1
2025;1. Quartal;20251;" 37 Jahre";männlich;2
2019;2. Quartal;20192;104 Jahre;männlich;1
2021;3. Quartal;20213;" 20 Jahre";männlich;1
2018;3. Quartal;20183;" 82 Jahre";männlich;23
2024;1. Quartal;20241;" 98 Jahre";weiblich;13
2021;3. Quartal;20213;" 70 Jahre";weiblich;5
2023;3. Quartal;20233;" 26 Jahre";männlich;1
2016;4. Quartal;20164;" 72 Jahre";männlich;15
2017;4. Quartal;20174;" 19 Jahre";männlich;1
2022;4. Quartal;20224;" 75 Jahre";männlich;14
2018;2. Quartal;20182;" 98 Jahre";männlich;3
2025;1. Quartal;20251;" 66 Jahre";männlich;17
2025;4. Quartal;20254;" 48 Jahre";männlich;1
2019;4. Quartal;20194;" 54 Jahre";männlich;3
2026;1. Quartal;20261;" 59 Jahre";männlich;11
2020;3. Quartal;20203;" 99 Jahre";männlich;1
2021;4. Quartal;20214;" 79 Jahre";männlich;34
2025;3. Quartal;20253;" 82 Jahre";männlich;33
2018;4. Quartal;20184;" 95 Jahre";weiblich;13
2018;1. Quartal;20181;" 97 Jahre";weiblich;23
2018;4. Quartal;20184;" 60 Jahre";weiblich;3
2023;4. Quartal;20234;" 63 Jahre";männlich;10
2024;2. Quartal;20242;" 82 Jahre";weiblich;24
2016;3. Quartal;20163;" 78 Jahre";männlich;26
2017;3. Quartal;20173;" 55 Jahre";männlich;5
2020;1. Quartal;20201;100 Jahre;männlich;3
2026;1. Quartal;20261;" 69 Jahre";männlich;13
2016;4. Quartal;20164;" 70 Jahre";männlich;11
2019;2. Quartal;20192;" 10 Jahre";männlich;1
2022;4. Quartal;20224;" 69 Jahre";weiblich;7
2021;2. Quartal;20212;" 96 Jahre";weiblich;11
2023;1. Quartal;20231;" 59 Jahre";weiblich;5
2024;1. Quartal;20241;" 68 Jahre";männlich;11
2017;4. Quartal;20174;" 53 Jahre";männlich;6
2020;1. Quartal;20201;" 72 Jahre";männlich;12
2023;4. Quartal;20234;" 39 Jahre";männlich;1
2020;1. Quartal;20201;" 44 Jahre";weiblich;1
2020;3. Quartal;20203;" 61 Jahre";männlich;8
2017;1. Quartal;20171;" 39 Jahre";männlich;2
2022;3. Quartal;20223;" 68 Jahre";weiblich;10
2025;4. Quartal;20254;" 31 Jahre";weiblich;1
2025;1. Quartal;20251;" 50 Jahre";weiblich;2
2022;2. Quartal;20222;" 90 Jahre";männlich;19
2019;3. Quartal;20193;" 70 Jahre";weiblich;4
2017;2. Quartal;20172;" 66 Jahre";männlich;9
2019;4. Quartal;20194;" 98 Jahre";männlich;3
2023;3. Quartal;20233;" 66 Jahre";männlich;12
2021;4. Quartal;20214;" 91 Jahre";weiblich;38
2023;1. Quartal;20231;" 30 Jahre";männlich;1
2023;2. Quartal;20232;" 64 Jahre";weiblich;7
2024;4. Quartal;20244;" 29 Jahre";männlich;1
2019;1. Quartal;20191;" 68 Jahre";männlich;15
2021;2. Quartal;20212;" 77 Jahre";männlich;22
2019;3. Quartal;20193;" 85 Jahre";weiblich;14
2017;3. Quartal;20173;" 89 Jahre";männlich;14
2017;4. Quartal;20174;" 33 Jahre";weiblich;1
2024;2. Quartal;20242;" 60 Jahre";männlich;7
2020;4. Quartal;20204;" 68 Jahre";männlich;14
2021;3. Quartal;20213;" 85 Jahre";weiblich;34
2022;2. Quartal;20222;" 68 Jahre";weiblich;6
2025;3. Quartal;20253;" 74 Jahre";männlich;12
2026;2. Quartal;20262;" 97 Jahre";männlich;6
2016;2. Quartal;20162;103 Jahre;weiblich;3
2021;1. Quartal;20211;" 55 Jahre";weiblich;2
2016;3. Quartal;20163;" 96 Jahre";männlich;1
2019;4. Quartal;20194;" 91 Jahre";männlich;14
2017;1. Quartal;20171;" 71 Jahre";männlich;11
2018;3. Quartal;20183;" 87 Jahre";männlich;25
2020;3. Quartal;20203;" 86 Jahre";weiblich;33
2018;4. Quartal;20184;" 48 Jahre";männlich;1
2023;2. Quartal;20232;" 35 Jahre";weiblich;2
2021;1. Quartal;20211;" 98 Jahre";männlich;3
2025;3. Quartal;20253;" 62 Jahre";weiblich;3
2022;1. Quartal;20221;" 56 Jahre";weiblich;2
2019;4. Quartal;20194;" 81 Jahre";männlich;34
2022;2. Quartal;20222;" 72 Jahre";männlich;19
2022;4. Quartal;20224;" 95 Jahre";weiblich;15
2024;4. Quartal;20244;102 Jahre;weiblich;1
2023;1. Quartal;20231;" 83 Jahre";weiblich;37
2023;3. Quartal;20233;" 69 Jahre";männlich;8
2019;1. Quartal;20191;" 26 Jahre";männlich;1
2024;4. Quartal;20244;" 53 Jahre";männlich;2
2016;3. Quartal;20163;" 50 Jahre";männlich;2
2024;4. Quartal;20244;" 63 Jahre";männlich;13
2016;2. Quartal;20162;" 74 Jahre";weiblich;16
2017;4. Quartal;20174;" 82 Jahre";männlich;32
2026;2. Quartal;20262;" 53 Jahre";männlich;4
2016;1. Quartal;20161;" 94 Jahre";weiblich;39
2018;1. Quartal;20181;" 52 Jahre";weiblich;1
2017;1. Quartal;20171;" 72 Jahre";männlich;20
2021;1. Quartal;20211;" 91 Jahre";männlich;38
2025;2. Quartal;20252;" 37 Jahre";weiblich;1
2020;3. Quartal;20203;" 74 Jahre";weiblich;5
2022;2. Quartal;20222;102 Jahre;weiblich;2
2023;3. Quartal;20233;" 82 Jahre";weiblich;31
2022;3. Quartal;20223;" 50 Jahre";weiblich;1
2016;3. Quartal;20163;" 53 Jahre";männlich;3
2024;4. Quartal;20244;" 23 Jahre";weiblich;1
2018;4. Quartal;20184;" 53 Jahre";weiblich;3
2019;4. Quartal;20194;" 82 Jahre";männlich;25
2018;3. Quartal;20183;" 77 Jahre";männlich;25
2016;2. Quartal;20162;"  0 Jahre";weiblich;1
2026;2. Quartal;20262;" 51 Jahre";männlich;3
2019;2. Quartal;20192;" 45 Jahre";männlich;1
2023;4. Quartal;20234;" 86 Jahre";weiblich;27
2018;4. Quartal;20184;" 33 Jahre";männlich;1
2017;1. Quartal;20171;" 92 Jahre";weiblich;39
2021;3. Quartal;20213;" 60 Jahre";männlich;10
2022;2. Quartal;20222;" 77 Jahre";weiblich;13
2018;2. Quartal;20182;" 93 Jahre";weiblich;30
2017;3. Quartal;20173;" 81 Jahre";männlich;25
2017;2. Quartal;20172;" 63 Jahre";weiblich;4
2016;2. Quartal;20162;" 53 Jahre";männlich;4
2018;3. Quartal;20183;" 25 Jahre";männlich;1
2024;3. Quartal;20243;" 83 Jahre";männlich;30
2016;3. Quartal;20163;"  0 Jahre";weiblich;1
2016;4. Quartal;20164;" 48 Jahre";weiblich;1
2017;3. Quartal;20173;100 Jahre;weiblich;2
2020;4. Quartal;20204;" 80 Jahre";weiblich;44
2025;4. Quartal;20254;" 46 Jahre";männlich;1
2022;4. Quartal;20224;" 58 Jahre";männlich;4
2019;1. Quartal;20191;" 68 Jahre";weiblich;4
2023;2. Quartal;20232;" 62 Jahre";männlich;5
2020;1. Quartal;20201;" 79 Jahre";weiblich;29
2018;4. Quartal;20184;" 76 Jahre";weiblich;12
2025;3. Quartal;20253;" 37 Jahre";weiblich;2
2025;3. Quartal;20253;" 67 Jahre";männlich;11
2024;4. Quartal;20244;" 21 Jahre";männlich;1
2022;4. Quartal;20224;" 94 Jahre";weiblich;30
2025;1. Quartal;20251;" 45 Jahre";weiblich;1
2016;4. Quartal;20164;" 66 Jahre";männlich;15
2017;4. Quartal;20174;" 72 Jahre";weiblich;6
2018;2. Quartal;20182;" 98 Jahre";weiblich;18
2016;2. Quartal;20162;" 24 Jahre";männlich;1
2022;2. Quartal;20222;" 60 Jahre";weiblich;4
2016;3. Quartal;20163;" 81 Jahre";männlich;34
2018;4. Quartal;20184;" 73 Jahre";weiblich;11
2017;1. Quartal;20171;" 90 Jahre";männlich;14
2020;2. Quartal;20202;" 45 Jahre";weiblich;1
2023;3. Quartal;20233;" 65 Jahre";männlich;10
2020;2. Quartal;20202;" 93 Jahre";männlich;9
2021;4. Quartal;20214;" 89 Jahre";männlich;20
2024;2. Quartal;20242;" 57 Jahre";männlich;2
2020;1. Quartal;20201;" 59 Jahre";weiblich;3
2025;1. Quartal;20251;" 97 Jahre";weiblich;22
2020;3. Quartal;20203;" 54 Jahre";weiblich;3
2026;2. Quartal;20262;" 82 Jahre";weiblich;30
2022;4. Quartal;20224;" 55 Jahre";männlich;4
2021;2. Quartal;20212;" 42 Jahre";männlich;3
2020;3. Quartal;20203;" 19 Jahre";männlich;1
2018;2. Quartal;20182;" 77 Jahre";männlich;35
2017;4. Quartal;20174;" 93 Jahre";weiblich;16
2017;1. Quartal;20171;" 79 Jahre";männlich;31
2020;1. Quartal;20201;" 78 Jahre";weiblich;22
2026;1. Quartal;20261;" 37 Jahre";weiblich;1
2018;1. Quartal;20181;" 62 Jahre";männlich;13
2025;2. Quartal;20252;" 83 Jahre";weiblich;34
2017;1. Quartal;20171;" 21 Jahre";weiblich;1
2025;1. Quartal;20251;" 53 Jahre";männlich;2
2021;3. Quartal;20213;" 89 Jahre";weiblich;31
2020;4. Quartal;20204;" 33 Jahre";männlich;1
2023;2. Quartal;20232;" 71 Jahre";weiblich;12
2022;2. Quartal;20222;" 34 Jahre";männlich;1
2024;4. Quartal;20244;" 92 Jahre";männlich;15
2021;1. Quartal;20211;" 81 Jahre";weiblich;22
2023;4. Quartal;20234;" 66 Jahre";männlich;9
2018;1. Quartal;20181;" 28 Jahre";männlich;3
2017;1. Quartal;20171;105 Jahre;männlich;1
2019;3. Quartal;20193;" 83 Jahre";männlich;37
2024;1. Quartal;20241;" 95 Jahre";weiblich;22
2024;3. Quartal;20243;" 58 Jahre";weiblich;5
2020;1. Quartal;20201;" 96 Jahre";männlich;9
2021;1. Quartal;20211;" 40 Jahre";männlich;3
2020;1. Quartal;20201;" 24 Jahre";weiblich;1
2024;1. Quartal;20241;" 74 Jahre";männlich;19
2017;2. Quartal;20172;" 44 Jahre";männlich;2
2023;1. Quartal;20231;" 43 Jahre";männlich;3
2021;2. Quartal;20212;" 61 Jahre";weiblich;6
2022;2. Quartal;20222;"  0 Jahre";weiblich;1
2026;1. Quartal;20261;" 62 Jahre";männlich;8
2016;2. Quartal;20162;" 69 Jahre";männlich;7
2025;1. Quartal;20251;" 36 Jahre";männlich;2
2021;2. Quartal;20212;" 65 Jahre";männlich;13
2018;3. Quartal;20183;" 67 Jahre";weiblich;6
2024;1. Quartal;20241;" 38 Jahre";männlich;1
2026;2. Quartal;20262;" 77 Jahre";weiblich;9
2019;2. Quartal;20192;" 55 Jahre";männlich;8
2020;4. Quartal;20204;102 Jahre;männlich;1
2022;1. Quartal;20221;" 69 Jahre";weiblich;6
2025;3. Quartal;20253;" 49 Jahre";männlich;1
2017;4. Quartal;20174;" 37 Jahre";männlich;1
2022;1. Quartal;20221;" 61 Jahre";männlich;11
2016;2. Quartal;20162;" 89 Jahre";weiblich;40
2016;3. Quartal;20163;" 86 Jahre";weiblich;17
2016;4. Quartal;20164;" 58 Jahre";männlich;8
2021;1. Quartal;20211;" 43 Jahre";weiblich;1
2021;4. Quartal;20214;" 62 Jahre";männlich;7
2018;1. Quartal;20181;" 67 Jahre";weiblich;11
2022;2. Quartal;20222;107 Jahre;weiblich;1
2022;3. Quartal;20223;" 70 Jahre";weiblich;5
2023;3. Quartal;20233;" 87 Jahre";weiblich;40
2021;4. Quartal;20214;" 58 Jahre";weiblich;2
2016;1. Quartal;20161;" 71 Jahre";weiblich;7
2026;2. Quartal;20262;" 94 Jahre";weiblich;27
2022;1. Quartal;20221;" 43 Jahre";weiblich;1
2021;3. Quartal;20213;" 88 Jahre";männlich;18
2019;1. Quartal;20191;" 92 Jahre";weiblich;37
2026;1. Quartal;20261;" 44 Jahre";männlich;4
2018;1. Quartal;20181;" 80 Jahre";männlich;29
2026;1. Quartal;20261;" 80 Jahre";männlich;18
2020;2. Quartal;20202;" 83 Jahre";weiblich;26
2024;2. Quartal;20242;" 76 Jahre";männlich;12
2024;4. Quartal;20244;" 95 Jahre";weiblich;20
2020;4. Quartal;20204;" 73 Jahre";weiblich;9
2020;2. Quartal;20202;" 53 Jahre";männlich;2
2023;2. Quartal;20232;" 84 Jahre";männlich;27
2017;1. Quartal;20171;" 75 Jahre";weiblich;16
2018;4. Quartal;20184;" 88 Jahre";männlich;23
2019;3. Quartal;20193;" 61 Jahre";weiblich;2
2016;1. Quartal;20161;" 75 Jahre";männlich;30
2019;1. Quartal;20191;" 63 Jahre";männlich;6
2021;3. Quartal;20213;" 62 Jahre";männlich;12
2019;2. Quartal;20192;" 58 Jahre";männlich;8
2020;3. Quartal;20203;" 63 Jahre";männlich;7
2022;3. Quartal;20223;" 64 Jahre";männlich;8
2019;3. Quartal;20193;" 54 Jahre";männlich;5
2021;3. Quartal;20213;" 84 Jahre";weiblich;23
2023;3. Quartal;20233;" 19 Jahre";weiblich;1
2017;3. Quartal;20173;" 88 Jahre";männlich;19
2026;1. Quartal;20261;" 87 Jahre";weiblich;53
2017;2. Quartal;20172;" 81 Jahre";männlich;26
2021;1. Quartal;20211;" 66 Jahre";weiblich;3
2021;4. Quartal;20214;" 80 Jahre";männlich;40
2026;1. Quartal;20261;" 47 Jahre";männlich;2
2024;1. Quartal;20241;" 75 Jahre";männlich;13
2024;4. Quartal;20244;" 99 Jahre";männlich;2
2016;4. Quartal;20164;" 15 Jahre";weiblich;1
2023;3. Quartal;20233;" 80 Jahre";männlich;34
2024;3. Quartal;20243;" 33 Jahre";weiblich;1
2016;4. Quartal;20164;" 41 Jahre";männlich;1
2018;1. Quartal;20181;" 57 Jahre";männlich;8
2025;4. Quartal;20254;" 82 Jahre";männlich;23
2016;2. Quartal;20162;" 13 Jahre";weiblich;1
2020;4. Quartal;20204;" 76 Jahre";weiblich;9
2020;4. Quartal;20204;" 38 Jahre";männlich;2
2020;1. Quartal;20201;" 50 Jahre";männlich;1
2019;1. Quartal;20191;" 96 Jahre";männlich;5
2024;2. Quartal;20242;" 61 Jahre";weiblich;8
2025;4. Quartal;20254;" 74 Jahre";weiblich;11
2025;1. Quartal;20251;" 26 Jahre";weiblich;2
2026;1. Quartal;20261;" 97 Jahre";männlich;5
2017;3. Quartal;20173;"  0 Jahre";männlich;3
2021;3. Quartal;20213;" 81 Jahre";männlich;36
2022;3. Quartal;20223;" 35 Jahre";weiblich;1
2023;1. Quartal;20231;" 63 Jahre";weiblich;7
2020;2. Quartal;20202;" 98 Jahre";männlich;3
2020;3. Quartal;20203;" 82 Jahre";männlich;25
2023;2. Quartal;20232;" 55 Jahre";weiblich;1
2024;3. Quartal;20243;" 22 Jahre";männlich;1
2024;4. Quartal;20244;" 67 Jahre";weiblich;7
2021;4. Quartal;20214;" 99 Jahre";weiblich;13
2019;4. Quartal;20194;" 95 Jahre";weiblich;14
2016;4. Quartal;20164;" 69 Jahre";männlich;8
2018;4. Quartal;20184;" 18 Jahre";männlich;1
2023;4. Quartal;20234;" 94 Jahre";männlich;14
2020;3. Quartal;20203;" 68 Jahre";weiblich;11
2024;2. Quartal;20242;" 52 Jahre";weiblich;4
2023;4. Quartal;20234;" 55 Jahre";männlich;2
2021;1. Quartal;20211;" 99 Jahre";weiblich;13
2022;3. Quartal;20223;" 61 Jahre";weiblich;2
2025;4. Quartal;20254;" 40 Jahre";männlich;2
2024;4. Quartal;20244;" 77 Jahre";männlich;11
2020;2. Quartal;20202;100 Jahre;männlich;2
2022;4. Quartal;20224;" 91 Jahre";männlich;15
2018;2. Quartal;20182;" 73 Jahre";weiblich;9
2018;3. Quartal;20183;" 73 Jahre";weiblich;10
2020;1. Quartal;20201;" 56 Jahre";männlich;11
2023;1. Quartal;20231;" 66 Jahre";weiblich;8
2025;2. Quartal;20252;" 74 Jahre";weiblich;7
2022;3. Quartal;20223;" 49 Jahre";männlich;2
2019;2. Quartal;20192;" 25 Jahre";männlich;2
2017;4. Quartal;20174;" 70 Jahre";weiblich;6
2023;4. Quartal;20234;" 62 Jahre";weiblich;3
2021;1. Quartal;20211;" 79 Jahre";männlich;46
2024;4. Quartal;20244;" 89 Jahre";weiblich;34
2020;3. Quartal;20203;" 83 Jahre";weiblich;25
2020;3. Quartal;20203;" 25 Jahre";männlich;1
2016;2. Quartal;20162;" 71 Jahre";weiblich;5
2025;2. Quartal;20252;" 33 Jahre";männlich;1
2020;1. Quartal;20201;" 71 Jahre";männlich;13
2023;1. Quartal;20231;" 82 Jahre";männlich;38
2016;1. Quartal;20161;" 47 Jahre";männlich;3
2016;4. Quartal;20164;" 44 Jahre";männlich;3
2019;4. Quartal;20194;" 58 Jahre";männlich;11
2022;3. Quartal;20223;" 93 Jahre";männlich;15
2021;2. Quartal;20212;" 57 Jahre";männlich;4
2023;3. Quartal;20233;101 Jahre;weiblich;5
2020;4. Quartal;20204;" 67 Jahre";weiblich;6
2024;3. Quartal;20243;" 63 Jahre";männlich;8
2017;3. Quartal;20173;" 59 Jahre";männlich;4
2021;3. Quartal;20213;" 92 Jahre";männlich;12
2021;1. Quartal;20211;" 59 Jahre";männlich;12
2023;4. Quartal;20234;" 97 Jahre";weiblich;16
2022;3. Quartal;20223;105 Jahre;weiblich;2
2026;2. Quartal;20262;" 12 Jahre";weiblich;1
2016;1. Quartal;20161;" 50 Jahre";weiblich;2
2026;2. Quartal;20262;" 57 Jahre";männlich;4
2024;4. Quartal;20244;" 84 Jahre";weiblich;28
2016;1. Quartal;20161;" 81 Jahre";männlich;28
2018;3. Quartal;20183;" 76 Jahre";weiblich;12
2021;2. Quartal;20212;" 84 Jahre";männlich;22
2018;3. Quartal;20183;" 51 Jahre";männlich;3
2020;2. Quartal;20202;" 29 Jahre";männlich;1
2023;2. Quartal;20232;" 41 Jahre";weiblich;1
2017;2. Quartal;20172;" 37 Jahre";weiblich;2
2016;3. Quartal;20163;" 80 Jahre";weiblich;17
2026;2. Quartal;20262;" 49 Jahre";weiblich;1
2020;2. Quartal;20202;" 73 Jahre";männlich;11
2016;1. Quartal;20161;" 95 Jahre";weiblich;25
2019;3. Quartal;20193;" 96 Jahre";männlich;6
2019;3. Quartal;20193;" 58 Jahre";weiblich;3
2016;3. Quartal;20163;" 26 Jahre";männlich;2
2017;1. Quartal;20171;" 70 Jahre";männlich;3
2024;2. Quartal;20242;" 97 Jahre";männlich;4
2025;3. Quartal;20253;" 63 Jahre";weiblich;6
2019;1. Quartal;20191;" 30 Jahre";männlich;1
2020;1. Quartal;20201;" 81 Jahre";weiblich;31
2024;1. Quartal;20241;" 47 Jahre";weiblich;1
2021;3. Quartal;20213;" 99 Jahre";männlich;2
2025;1. Quartal;20251;" 94 Jahre";männlich;15
2018;1. Quartal;20181;" 98 Jahre";weiblich;11
2021;1. Quartal;20211;" 90 Jahre";männlich;35
2024;2. Quartal;20242;" 51 Jahre";männlich;2
2019;4. Quartal;20194;" 99 Jahre";männlich;1
2018;2. Quartal;20182;" 11 Jahre";weiblich;1
2023;2. Quartal;20232;" 89 Jahre";männlich;18
2025;4. Quartal;20254;" 67 Jahre";männlich;8
2024;3. Quartal;20243;" 38 Jahre";weiblich;2
2017;4. Quartal;20174;" 54 Jahre";männlich;2
2026;1. Quartal;20261;" 82 Jahre";weiblich;31
2017;2. Quartal;20172;" 49 Jahre";männlich;4
2024;2. Quartal;20242;" 79 Jahre";weiblich;16
2017;1. Quartal;20171;" 69 Jahre";weiblich;10
2022;4. Quartal;20224;"  0 Jahre";weiblich;1
2024;1. Quartal;20241;" 80 Jahre";weiblich;22
2025;4. Quartal;20254;" 43 Jahre";weiblich;1
2026;2. Quartal;20262;" 68 Jahre";weiblich;4
2017;1. Quartal;20171;" 58 Jahre";weiblich;2
2024;4. Quartal;20244;" 52 Jahre";männlich;2
2022;1. Quartal;20221;" 85 Jahre";männlich;31
2025;4. Quartal;20254;" 83 Jahre";weiblich;22
2026;2. Quartal;20262;" 98 Jahre";männlich;1
2024;1. Quartal;20241;" 94 Jahre";männlich;20
2016;2. Quartal;20162;104 Jahre;weiblich;2
2016;4. Quartal;20164;" 47 Jahre";männlich;3
2017;3. Quartal;20173;" 95 Jahre";weiblich;13
2016;1. Quartal;20161;" 44 Jahre";männlich;2
2018;2. Quartal;20182;" 80 Jahre";männlich;34
2019;4. Quartal;20194;" 53 Jahre";weiblich;4
2021;4. Quartal;20214;" 82 Jahre";weiblich;47
2018;1. Quartal;20181;" 86 Jahre";männlich;36
2026;2. Quartal;20262;" 54 Jahre";männlich;10
2016;2. Quartal;20162;" 81 Jahre";männlich;30
2019;4. Quartal;20194;" 74 Jahre";weiblich;11
2026;1. Quartal;20261;" 48 Jahre";weiblich;3
2018;4. Quartal;20184;" 49 Jahre";männlich;4
2016;3. Quartal;20163;" 62 Jahre";weiblich;5
2017;1. Quartal;20171;" 68 Jahre";weiblich;5
2023;2. Quartal;20232;" 75 Jahre";männlich;17
2020;4. Quartal;20204;" 77 Jahre";männlich;20
2022;1. Quartal;20221;" 51 Jahre";männlich;1
2020;2. Quartal;20202;" 63 Jahre";weiblich;5
2026;2. Quartal;20262;" 80 Jahre";männlich;10
2018;3. Quartal;20183;" 57 Jahre";männlich;5
2019;3. Quartal;20193;" 10 Jahre";weiblich;1
2021;4. Quartal;20214;" 38 Jahre";weiblich;1
2025;2. Quartal;20252;" 82 Jahre";männlich;22
2021;2. Quartal;20212;" 89 Jahre";männlich;26
2023;2. Quartal;20232;" 52 Jahre";männlich;4
2016;3. Quartal;20163;" 97 Jahre";weiblich;10
2020;1. Quartal;20201;" 61 Jahre";weiblich;2
2019;2. Quartal;20192;" 85 Jahre";männlich;22
2023;3. Quartal;20233;" 64 Jahre";männlich;11
2026;1. Quartal;20261;" 60 Jahre";männlich;5
2025;3. Quartal;20253;" 73 Jahre";männlich;14
2016;2. Quartal;20162;" 45 Jahre";weiblich;1
2019;3. Quartal;20193;" 88 Jahre";weiblich;24
2024;4. Quartal;20244;" 35 Jahre";männlich;2
2019;2. Quartal;20192;" 63 Jahre";männlich;11
2025;2. Quartal;20252;" 38 Jahre";männlich;1
2020;4. Quartal;20204;" 94 Jahre";männlich;7
2023;4. Quartal;20234;" 80 Jahre";weiblich;17
2026;2. Quartal;20262;" 87 Jahre";weiblich;42
2019;2. Quartal;20192;102 Jahre;weiblich;1
2023;1. Quartal;20231;" 58 Jahre";weiblich;4
2017;4. Quartal;20174;" 64 Jahre";männlich;6
2022;4. Quartal;20224;" 34 Jahre";männlich;1
2019;1. Quartal;20191;" 83 Jahre";männlich;30
2026;2. Quartal;20262;" 74 Jahre";männlich;13
2018;4. Quartal;20184;" 68 Jahre";männlich;7
2022;2. Quartal;20222;" 58 Jahre";weiblich;3
2024;3. Quartal;20243;" 94 Jahre";männlich;11
2017;2. Quartal;20172;" 67 Jahre";männlich;13
2025;1. Quartal;20251;" 64 Jahre";weiblich;6
2026;1. Quartal;20261;" 67 Jahre";weiblich;7
2021;2. Quartal;20212;" 78 Jahre";weiblich;18
2024;1. Quartal;20241;" 54 Jahre";männlich;6
2020;4. Quartal;20204;" 86 Jahre";weiblich;42
2021;4. Quartal;20214;" 60 Jahre";männlich;4
2016;3. Quartal;20163;" 75 Jahre";männlich;18
2022;4. Quartal;20224;" 78 Jahre";männlich;25
2024;1. Quartal;20241;" 99 Jahre";männlich;2
2018;2. Quartal;20182;" 58 Jahre";weiblich;1
2020;1. Quartal;20201;" 27 Jahre";männlich;1
2022;1. Quartal;20221;101 Jahre;männlich;2
2019;3. Quartal;20193;101 Jahre;weiblich;2
2023;4. Quartal;20234;" 74 Jahre";männlich;18
2026;1. Quartal;20261;" 77 Jahre";männlich;16
2019;2. Quartal;20192;" 82 Jahre";männlich;31
2024;2. Quartal;20242;" 40 Jahre";weiblich;1
2026;2. Quartal;20262;" 91 Jahre";männlich;29
2021;4. Quartal;20214;" 43 Jahre";männlich;1
2022;1. Quartal;20221;" 70 Jahre";männlich;14
2023;3. Quartal;20233;" 59 Jahre";männlich;4
2016;4. Quartal;20164;" 97 Jahre";männlich;4
2017;1. Quartal;20171;" 99 Jahre";weiblich;4
2023;1. Quartal;20231;106 Jahre;weiblich;1
2023;3. Quartal;20233;" 38 Jahre";weiblich;2
2021;2. Quartal;20212;" 79 Jahre";weiblich;25
2023;2. Quartal;20232;" 39 Jahre";männlich;1
2023;1. Quartal;20231;" 99 Jahre";weiblich;8
2023;4. Quartal;20234;102 Jahre;weiblich;3
2016;2. Quartal;20162;" 75 Jahre";männlich;20
2016;4. Quartal;20164;" 77 Jahre";weiblich;16
2017;3. Quartal;20173;" 65 Jahre";weiblich;4
2021;1. Quartal;20211;100 Jahre;weiblich;16
2025;3. Quartal;20253;" 78 Jahre";männlich;14
2024;1. Quartal;20241;" 86 Jahre";weiblich;28
2017;2. Quartal;20172;" 38 Jahre";männlich;1
2022;2. Quartal;20222;" 43 Jahre";männlich;1
2023;2. Quartal;20232;" 91 Jahre";weiblich;21
2025;1. Quartal;20251;" 88 Jahre";weiblich;51
2016;3. Quartal;20163;" 51 Jahre";weiblich;1
2019;2. Quartal;20192;" 74 Jahre";männlich;13
2020;1. Quartal;20201;" 41 Jahre";männlich;2
2024;1. Quartal;20241;" 60 Jahre";männlich;9
2021;2. Quartal;20212;" 50 Jahre";männlich;2
2021;2. Quartal;20212;108 Jahre;weiblich;1
2025;2. Quartal;20252;" 94 Jahre";weiblich;20
2016;4. Quartal;20164;102 Jahre;weiblich;2
2022;1. Quartal;20221;100 Jahre;weiblich;11
2019;4. Quartal;20194;" 66 Jahre";weiblich;11
2024;2. Quartal;20242;" 84 Jahre";männlich;32
2022;3. Quartal;20223;" 52 Jahre";männlich;5
2024;4. Quartal;20244;"  2 Jahre";männlich;1
2017;4. Quartal;20174;" 58 Jahre";weiblich;4
2022;2. Quartal;20222;" 86 Jahre";weiblich;27
2016;2. Quartal;20162;" 95 Jahre";weiblich;16
2018;1. Quartal;20181;" 73 Jahre";weiblich;12
2019;3. Quartal;20193;" 72 Jahre";männlich;6
2023;1. Quartal;20231;" 90 Jahre";männlich;37
2025;2. Quartal;20252;" 78 Jahre";männlich;15
2025;1. Quartal;20251;" 65 Jahre";weiblich;7
2019;2. Quartal;20192;" 29 Jahre";weiblich;1
2026;1. Quartal;20261;" 58 Jahre";männlich;6
2023;1. Quartal;20231;" 55 Jahre";weiblich;2
2019;2. Quartal;20192;" 91 Jahre";männlich;8
2019;3. Quartal;20193;" 92 Jahre";weiblich;26
2024;4. Quartal;20244;" 47 Jahre";männlich;1
2021;1. Quartal;20211;" 39 Jahre";männlich;1
2023;3. Quartal;20233;" 76 Jahre";männlich;16
2023;4. Quartal;20234;" 77 Jahre";weiblich;7
2022;3. Quartal;20223;" 73 Jahre";männlich;10
2020;4. Quartal;20204;" 54 Jahre";weiblich;2
2026;2. Quartal;20262;" 63 Jahre";männlich;11
2017;1. Quartal;20171;" 44 Jahre";weiblich;2
2017;2. Quartal;20172;" 53 Jahre";weiblich;3
2016;3. Quartal;20163;" 60 Jahre";weiblich;5
2024;2. Quartal;20242;" 89 Jahre";männlich;34
2025;4. Quartal;20254;" 98 Jahre";männlich;5
2016;3. Quartal;20163;" 32 Jahre";weiblich;1
2024;1. Quartal;20241;102 Jahre;männlich;1
