Jahr;Stadtraum;Befindlichkeitsart;"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht"""
1995;13 Südvorstadt, Zschertnitz;Wohlbefinden;55,3;40,9;3,8
1995;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;64,5;33,8;1,6
1995;14 Mockritz, Coschütz, Plauen;Wohlbefinden;58;39;3,1
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;50,5;42,5;7
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;47,2;47,9;4,8
1995;16 Gorbitz;Gesundheitszustand;54,8;39,6;5,6
1995;16 Gorbitz;Wohlbefinden;52;44,6;3,4
1995;17 Briesnitz und westliche OS;Gesundheitszustand;50,7;43,2;6,1
1995;17 Briesnitz und westliche OS;Wohlbefinden;39,5;56;4,5
1995;18 Dresden gesamt;Gesundheitszustand;54,2;40,5;5,3
1995;18 Dresden gesamt;Wohlbefinden;49,4;46,7;4
1996;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;49,4;42,7;7,9
1996;01 StB Altstadt ohne Johannstadt;Wohlbefinden;48,3;47,4;4,3
1996;02 Johannstadt;Gesundheitszustand;55;40,4;4,7
1996;02 Johannstadt;Wohlbefinden;52;44,9;3,1
1996;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;62;34;4
1996;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;47,8;45,2;7
1996;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;58,9;33,8;7,3
1996;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;51,6;41,9;6,5
1996;05 Mickten, Kaditz, Trachau;Gesundheitszustand;58,3;36,5;5,2
1996;05 Mickten, Kaditz, Trachau;Wohlbefinden;54,1;43,2;2,7
1996;06 StB Klotzsche und nördliche OS;Gesundheitszustand;62,8;33,2;4
1996;06 StB Klotzsche und nördliche OS;Wohlbefinden;61,2;36;2,9
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;57,9;36,3;5,9
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;58,1;35,4;6,5
1996;08 Blasewitz, Striesen;Gesundheitszustand;60,1;37,8;2,1
1996;08 Blasewitz, Striesen;Wohlbefinden;53,4;45,1;1,5
1996;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;51;43,9;5,1
1996;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;47,1;47,2;5,8
1996;10 StB Leuben;Gesundheitszustand;62,9;34;3,1
1996;10 StB Leuben;Wohlbefinden;54,3;45,3;0,4
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;51,7;42,8;5,5
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;45,1;47,7;7,2
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;56,5;38,7;4,8
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;57,6;38,2;4,2
1996;13 Südvorstadt, Zschertnitz;Gesundheitszustand;56,3;41,9;1,8
1996;13 Südvorstadt, Zschertnitz;Wohlbefinden;47,9;46,7;5,4
1996;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;65,6;32,9;1,5
1996;14 Mockritz, Coschütz, Plauen;Wohlbefinden;57,9;40,6;1,5
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;57,5;36,8;5,8
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;49,6;43,7;6,7
1996;16 Gorbitz;Gesundheitszustand;64,2;32;3,8
1996;16 Gorbitz;Wohlbefinden;53,1;42,6;4,3
1996;17 Briesnitz und westliche OS;Gesundheitszustand;67,9;30,8;1,3
1996;17 Briesnitz und westliche OS;Wohlbefinden;57,8;40,2;2
1996;18 Dresden gesamt;Gesundheitszustand;57,9;37,6;4,4
1996;18 Dresden gesamt;Wohlbefinden;51,9;43,8;4,3
2002;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;42,3;47,4;10,3
2002;01 StB Altstadt ohne Johannstadt;Wohlbefinden;48,4;45,1;6,4
2002;02 Johannstadt;Gesundheitszustand;44,2;45,1;10,7
2002;02 Johannstadt;Wohlbefinden;46,4;47,1;6,6
2002;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;67,9;30,3;1,8
2002;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;60,1;36,2;3,6
2002;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;64;31,5;4,5
2002;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;62,8;33,5;3,8
2002;05 Mickten, Kaditz, Trachau;Gesundheitszustand;62,7;29,1;8,2
2002;05 Mickten, Kaditz, Trachau;Wohlbefinden;60,2;36;3,8
2002;06 StB Klotzsche und nördliche OS;Gesundheitszustand;59,6;38,6;1,8
2002;06 StB Klotzsche und nördliche OS;Wohlbefinden;61,2;36;2,7
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;62,8;31,5;5,7
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;65,2;32,6;2,2
2002;08 Blasewitz, Striesen;Gesundheitszustand;57,6;37,6;4,8
2002;08 Blasewitz, Striesen;Wohlbefinden;58,7;37,8;3,5
2002;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;46,7;42,5;10,8
2002;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;47;46,6;6,4
2002;10 StB Leuben;Gesundheitszustand;46,6;46,3;7,1
2002;10 StB Leuben;Wohlbefinden;49,9;46,7;3,3
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;41,2;48,2;10,6
