Jahr;Stadtraum;Befindlichkeitsart;"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht"""
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;49,9;48,3;1,8
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;64,1;31,6;4,3
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;65,6;33,9;0,5
2016;13 Südvorstadt, Zschertnitz;Gesundheitszustand;64,8;33,2;2,1
2016;13 Südvorstadt, Zschertnitz;Wohlbefinden;63,8;35,4;0,8
2016;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;66,8;27,3;5,9
2016;14 Mockritz, Coschütz, Plauen;Wohlbefinden;70;28,6;1,4
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;80,1;18;1,9
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;72,2;24,3;3,5
2016;16 Gorbitz;Gesundheitszustand;45,9;47,6;6,4
2016;16 Gorbitz;Wohlbefinden;47,8;46,4;5,8
2016;17 Briesnitz und westliche OS;Gesundheitszustand;69,1;26,5;4,4
2016;17 Briesnitz und westliche OS;Wohlbefinden;70,2;29;0,9
2016;18 Dresden gesamt;Gesundheitszustand;67,1;28,6;4,3
2016;18 Dresden gesamt;Wohlbefinden;66,2;31,4;2,4
2018;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;55,2;38,8;6,1
2018;01 StB Altstadt ohne Johannstadt;Wohlbefinden;54,6;40;5,5
2018;02 Johannstadt;Gesundheitszustand;55;42;3
2018;02 Johannstadt;Wohlbefinden;51;42,9;6,1
2018;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;81;16,9;2,2
2018;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;78,1;21,3;0,7
2018;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;77,5;18,9;3,6
2018;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;70,9;27,6;1,5
2018;05 Mickten, Kaditz, Trachau;Gesundheitszustand;59,4;34;6,5
2018;05 Mickten, Kaditz, Trachau;Wohlbefinden;70,5;29,5;0
2018;06 StB Klotzsche und nördliche OS;Gesundheitszustand;69,2;25,4;5,4
2018;06 StB Klotzsche und nördliche OS;Wohlbefinden;70,6;25,4;4
2018;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;74,6;24;1,4
2018;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;80,7;19,3;0
2018;08 Blasewitz, Striesen;Gesundheitszustand;65,4;30,6;4
2018;08 Blasewitz, Striesen;Wohlbefinden;69,9;28,6;1,5
2018;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;55;33,9;11,1
2018;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;59,6;37,2;3,2
2018;10 StB Leuben;Gesundheitszustand;58,8;34,2;7
2018;10 StB Leuben;Wohlbefinden;61,1;37,6;1,2
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;49,9;42,4;7,7
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;51;42,7;6,2
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;68,6;28,3;3,1
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;68,9;29,5;1,6
2018;13 Südvorstadt, Zschertnitz;Gesundheitszustand;61;34,7;4,3
2018;13 Südvorstadt, Zschertnitz;Wohlbefinden;61,4;35,8;2,8
2018;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;65,5;30,4;4,1
2018;14 Mockritz, Coschütz, Plauen;Wohlbefinden;74,8;23,4;1,9
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;69,3;27,9;2,8
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;69,5;26,9;3,6
2018;16 Gorbitz;Gesundheitszustand;57,6;35,3;7,1
2018;16 Gorbitz;Wohlbefinden;53,4;43,9;2,8
2018;17 Briesnitz und westliche OS;Gesundheitszustand;69,3;24,8;5,8
2018;17 Briesnitz und westliche OS;Wohlbefinden;74,5;23;2,5
2018;18 Dresden gesamt;Gesundheitszustand;65,1;30;4,9
2018;18 Dresden gesamt;Wohlbefinden;66,7;30,8;2,5
2020;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;67;27;6
2020;01 StB Altstadt ohne Johannstadt;Wohlbefinden;64;32;4
2020;02 Johannstadt;Gesundheitszustand;68;31;1
2020;02 Johannstadt;Wohlbefinden;65;33;1
2020;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;75;23;3
2020;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;71;29;0
2020;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;73;25;2
2020;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;69;30;1
2020;05 Mickten, Kaditz, Trachau;Gesundheitszustand;63;32;5
2020;05 Mickten, Kaditz, Trachau;Wohlbefinden;62;35;3
2020;06 StB Klotzsche und nördliche OS;Gesundheitszustand;72;26;2
2020;06 StB Klotzsche und nördliche OS;Wohlbefinden;73;27;0
2020;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;69;27;4
2020;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;74;22;4
2020;08 Blasewitz, Striesen;Gesundheitszustand;75;21;4
2020;08 Blasewitz, Striesen;Wohlbefinden;71;26;2
2020;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;67;28;5
2020;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;69;29;2
2020;10 StB Leuben;Gesundheitszustand;60;30;10
2020;10 StB Leuben;Wohlbefinden;64;30;5
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;41;50;9
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;52;44;4
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;71;27;2
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;71;27;1
2020;13 Südvorstadt, Zschertnitz;Gesundheitszustand;71;27;2
2020;13 Südvorstadt, Zschertnitz;Wohlbefinden;64;33;3
2020;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;70;28;2
2020;14 Mockritz, Coschütz, Plauen;Wohlbefinden;72;28;0
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;72;24;4
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;68;30;2
2020;16 Gorbitz;Gesundheitszustand;60;27;13
2020;16 Gorbitz;Wohlbefinden;58;39;2
2020;17 Briesnitz und westliche OS;Gesundheitszustand;74;23;3
2020;17 Briesnitz und westliche OS;Wohlbefinden;78;20;1
2020;18 Dresden gesamt;Gesundheitszustand;68;27;4
2020;18 Dresden gesamt;Wohlbefinden;68;30;2
2022;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;56,7;36;7,4
2022;01 StB Altstadt ohne Johannstadt;Wohlbefinden;52,8;41,6;5,6
2022;02 Johannstadt;Gesundheitszustand;53,8;39,9;6,3
2022;02 Johannstadt;Wohlbefinden;59,8;35,4;4,8
2022;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;69,9;24,3;5,8
2022;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;67,3;28,9;3,8
2022;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;71,2;26;2,9
2022;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;63,8;34,9;1,3
2022;05 Mickten, Kaditz, Trachau;Gesundheitszustand;58,2;33,4;8,4
2022;05 Mickten, Kaditz, Trachau;Wohlbefinden;58,6;36,7;4,6
2022;06 StB Klotzsche und nördliche OS;Gesundheitszustand;65,1;30,4;4,6
2022;06 StB Klotzsche und nördliche OS;Wohlbefinden;65,9;31,3;2,8
2022;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;66,1;32,1;1,8
2022;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;67,2;30,4;2,4
2022;08 Blasewitz, Striesen;Gesundheitszustand;67,6;27,5;4,8
2022;08 Blasewitz, Striesen;Wohlbefinden;62,1;35,3;2,7
2022;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;43,9;49,2;6,9
2022;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;50,9;46,9;2,3
2022;10 StB Leuben;Gesundheitszustand;59,7;36,9;3,4
2022;10 StB Leuben;Wohlbefinden;62;34,1;3,9
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;56,6;33;10,4
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;60,6;30,7;8,7
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;54,4;38,7;6,9
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;60,4;37,5;2,2
2022;13 Südvorstadt, Zschertnitz;Gesundheitszustand;54,2;38,8;7
2022;13 Südvorstadt, Zschertnitz;Wohlbefinden;54,6;43,4;2
2022;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;69,3;29,7;1
2022;14 Mockritz, Coschütz, Plauen;Wohlbefinden;61,7;38,3;0
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;72,1;24,1;3,8
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;71,5;26;2,5
2022;16 Gorbitz;Gesundheitszustand;49,6;47,2;3,3
2022;16 Gorbitz;Wohlbefinden;49;48,1;2,8
2022;17 Briesnitz und westliche OS;Gesundheitszustand;55,8;39,1;5,1
2022;17 Briesnitz und westliche OS;Wohlbefinden;52,9;42,6;4,5
2022;18 Dresden gesamt;Gesundheitszustand;61;33,7;5,3
2022;18 Dresden gesamt;Wohlbefinden;60,8;36;3,3
2024;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;63,3;26,7;10,1
2024;01 StB Altstadt ohne Johannstadt;Wohlbefinden;56;41,5;2,5
2024;02 Johannstadt;Gesundheitszustand;49,4;39,6;10,9
2024;02 Johannstadt;Wohlbefinden;50,4;44,7;4,8
2024;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;73,1;23,9;3
2024;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;71,2;25,6;3,2
2024;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;61,7;33,3;5,1
2024;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;63,2;32,6;4,2
2024;05 Mickten, Kaditz, Trachau;Gesundheitszustand;40,5;53,3;6,1
2024;05 Mickten, Kaditz, Trachau;Wohlbefinden;54;42,7;3,3
2024;06 StB Klotzsche und nördliche OS;Gesundheitszustand;65,5;27,4;7,1
2024;06 StB Klotzsche und nördliche OS;Wohlbefinden;75,8;23,6;0,6
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;61,5;31,8;6,6
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;64;33,4;2,6
2024;08 Blasewitz, Striesen;Gesundheitszustand;66,6;28,1;5,3
2024;08 Blasewitz, Striesen;Wohlbefinden;58,6;38,3;3,1
2024;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;61,5;32,7;5,8
2024;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;56,4;40;3,5
2024;10 StB Leuben;Gesundheitszustand;56,8;37,3;5,9
2024;10 StB Leuben;Wohlbefinden;58,6;36,9;4,5
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;48,6;36,6;14,8
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;46,5;44,4;9,2
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;54,7;36,7;8,6
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;53,9;42;4
2024;13 Südvorstadt, Zschertnitz;Gesundheitszustand;59,7;36,8;3,5
2024;13 Südvorstadt, Zschertnitz;Wohlbefinden;63,4;31,7;4,9
2024;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;56;38,4;5,6
2024;14 Mockritz, Coschütz, Plauen;Wohlbefinden;63;33,5;3,5
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;59,5;33,2;7,3
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;63;33,4;3,7
2024;16 Gorbitz;Gesundheitszustand;44,9;50,2;4,9
2024;16 Gorbitz;Wohlbefinden;45,4;51,8;2,8
2024;17 Briesnitz und westliche OS;Gesundheitszustand;63,5;34,9;1,6
2024;17 Briesnitz und westliche OS;Wohlbefinden;71,2;28,8;0
2024;18 Dresden gesamt;Gesundheitszustand;59,1;34,3;6,5
2024;18 Dresden gesamt;Wohlbefinden;59,9;36,5;3,6
