Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2024;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;20719;3825
2024;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;144856;6303
2024;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;207470;4466
2024;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;489332;5735
2024;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;721993;4257
2024;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;2100253;4533
2024;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;15743;3136
2024;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;93019;4152
2024;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;72014;1574
2024;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;115302;1426
2024;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;72756;433
2024;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;33404;121
2024;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;9882;1883
2024;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;73455;3305
2024;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;124419;2639
2024;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;324670;3723
2024;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;734775;4195
2024;02 Johannstadt;Deutsche;20 Jahre und mehr;2322173;5244
2024;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;7210;1321
2024;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;37689;1653
2024;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;43009;910
2024;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;72827;882
2024;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;65065;379
2024;02 Johannstadt;Ausländer;20 Jahre und mehr;25790;81
2024;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;00 bis unter 1 Jahr;22633;3913
2024;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;01 bis unter 3 Jahre;138121;6310
2024;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;03 bis unter 5 Jahre;217012;4662
2024;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;05 bis unter 10 Jahre;641861;7396
2024;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;10 bis unter 20 Jahre;1341741;7854
2024;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;20 Jahre und mehr;1479987;4228
2024;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;00 bis unter 1 Jahr;9465;2127
2024;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;01 bis unter 3 Jahre;48427;2175
2024;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;03 bis unter 5 Jahre;31950;699
2024;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;05 bis unter 10 Jahre;67964;812
2024;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;10 bis unter 20 Jahre;69914;414
2024;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;20 Jahre und mehr;33197;116
2024;04 Leipziger Vorstadt, Pieschen;Deutsche;00 bis unter 1 Jahr;18970;3403
2024;04 Leipziger Vorstadt, Pieschen;Deutsche;01 bis unter 3 Jahre;146722;6462
2024;04 Leipziger Vorstadt, Pieschen;Deutsche;03 bis unter 5 Jahre;237488;5055
2024;04 Leipziger Vorstadt, Pieschen;Deutsche;05 bis unter 10 Jahre;670411;7721
2024;04 Leipziger Vorstadt, Pieschen;Deutsche;10 bis unter 20 Jahre;1358616;7897
2024;04 Leipziger Vorstadt, Pieschen;Deutsche;20 Jahre und mehr;1685684;4602
2024;04 Leipziger Vorstadt, Pieschen;Ausländer;00 bis unter 1 Jahr;3951;781
2024;04 Leipziger Vorstadt, Pieschen;Ausländer;01 bis unter 3 Jahre;27998;1233
2024;04 Leipziger Vorstadt, Pieschen;Ausländer;03 bis unter 5 Jahre;19415;419
2024;04 Leipziger Vorstadt, Pieschen;Ausländer;05 bis unter 10 Jahre;40011;476
2024;04 Leipziger Vorstadt, Pieschen;Ausländer;10 bis unter 20 Jahre;52196;307
2024;04 Leipziger Vorstadt, Pieschen;Ausländer;20 Jahre und mehr;28749;103
2024;05 Mickten, Kaditz, Trachau;Deutsche;00 bis unter 1 Jahr;10840;1951
2024;05 Mickten, Kaditz, Trachau;Deutsche;01 bis unter 3 Jahre;93309;4113
2024;05 Mickten, Kaditz, Trachau;Deutsche;03 bis unter 5 Jahre;162187;3422
2024;05 Mickten, Kaditz, Trachau;Deutsche;05 bis unter 10 Jahre;458700;5268
2024;05 Mickten, Kaditz, Trachau;Deutsche;10 bis unter 20 Jahre;1155347;6700
2024;05 Mickten, Kaditz, Trachau;Deutsche;20 Jahre und mehr;2491300;6270
2024;05 Mickten, Kaditz, Trachau;Ausländer;00 bis unter 1 Jahr;2092;407
2024;05 Mickten, Kaditz, Trachau;Ausländer;01 bis unter 3 Jahre;15611;683
2024;05 Mickten, Kaditz, Trachau;Ausländer;03 bis unter 5 Jahre;10179;217
2024;05 Mickten, Kaditz, Trachau;Ausländer;05 bis unter 10 Jahre;21971;263
2024;05 Mickten, Kaditz, Trachau;Ausländer;10 bis unter 20 Jahre;24555;146
2024;05 Mickten, Kaditz, Trachau;Ausländer;20 Jahre und mehr;15026;50
2024;06 StB Klotzsche und nördliche OS;Deutsche;00 bis unter 1 Jahr;8450;1534
2024;06 StB Klotzsche und nördliche OS;Deutsche;01 bis unter 3 Jahre;75712;3307
2024;06 StB Klotzsche und nördliche OS;Deutsche;03 bis unter 5 Jahre;121690;2588
2024;06 StB Klotzsche und nördliche OS;Deutsche;05 bis unter 10 Jahre;504351;5644
2024;06 StB Klotzsche und nördliche OS;Deutsche;10 bis unter 20 Jahre;1227579;7122
2024;06 StB Klotzsche und nördliche OS;Deutsche;20 Jahre und mehr;4232520;10023
2024;06 StB Klotzsche und nördliche OS;Ausländer;00 bis unter 1 Jahr;1580;284
2024;06 StB Klotzsche und nördliche OS;Ausländer;01 bis unter 3 Jahre;12635;537
2024;06 StB Klotzsche und nördliche OS;Ausländer;03 bis unter 5 Jahre;5884;130
2024;06 StB Klotzsche und nördliche OS;Ausländer;05 bis unter 10 Jahre;14581;175
2024;06 StB Klotzsche und nördliche OS;Ausländer;10 bis unter 20 Jahre;26598;154
2024;06 StB Klotzsche und nördliche OS;Ausländer;20 Jahre und mehr;14550;44
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;00 bis unter 1 Jahr;9737;1756
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;01 bis unter 3 Jahre;74813;3291
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;03 bis unter 5 Jahre;148082;3113
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;05 bis unter 10 Jahre;526911;5982
