Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;22447;0;17124
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3119;1183;1183
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;2049;1066;533
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;772;486;146
2015;StB 0 Altstadt;02 Johannstadt;0 Kinder;16878;0;12024
2015;StB 0 Altstadt;02 Johannstadt;1 Kind;2689;982;982
2015;StB 0 Altstadt;02 Johannstadt;2 Kinder;2442;1264;632
2015;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;882;559;174
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;22234;0;17594
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;6008;2198;2198
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;5767;2996;1498
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;2094;1308;412
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;7632;0;6142
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;2056;766;766
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;1990;1036;518
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;558;349;111
2015;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;14422;0;11097
2015;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;4834;1782;1782
2015;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;3573;1866;933
2015;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;1285;827;253
2015;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;17681;0;12477
2015;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5388;1967;1967
2015;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;4327;2246;1123
2015;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;1385;876;275
2015;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;18297;0;11126
2015;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;4689;1596;1596
2015;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;5577;2812;1406
2015;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1851;1143;358
2015;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;19472;0;11796
2015;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5430;1840;1840
2015;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;6080;3060;1530
2015;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;2125;1303;409
2015;StB 5 Blasewitz;08 Blasewitz, Striesen;0 Kinder;29250;0;20734
2015;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;8371;2999;2999
2015;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;8114;4154;2077
2015;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;2604;1610;505
