Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;BedarfsGem. -insgesamt;BedarfsGem. -1 Person-;BedarfsGem. -2 Personen-;BedarfsGem. -3 u.mehr Personen-;Single-BG;Alleinerziehenden-BG;Partner-BG ohne Kinder;Partner-BG mit Kindern;BG mit Zahlungsanspruch Gesamtregelleistung;BG mit Zahlungsanspruch KdU;Personen in BG - insgesamt;Kinder in BG - insgesamt;Leistungsberechtigte (LB) - insgesamt;Nicht Leistungsberechtigte (NLB) - insgesamt;Regelleistungsberechtigte (RLB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - Männer;Erwerbsfähige Leistungsberechtigte (ELB) - Frauen;Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche;Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer;Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend;Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig;"Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt ";Sonstige Leistungsberechtigte (SLB) - insgesamt
2014;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;729;452;153;124;451;140;61;70;725;683;1209;337;1164;45;1141;860;444;416;810;49;82;251;183;185;159;126;326;281;23
2014;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;660;407;147;106;407;110;74;64;654;618;1088;280;1042;46;1026;794;409;385;748;45;66;193;180;191;164;105;337;232;16
2014;4. Quartal;StB 5 Blasewitz;3127;1788;737;602;1784;622;312;360;3104;3000;5382;1483;5131;251;5055;3812;1748;2064;3438;372;382;1083;819;836;692;601;1517;1243;76
2014;4. Quartal;StB 6 Leuben;1795;1057;429;309;1057;386;157;175;1784;1733;3020;847;2880;140;2851;2151;1029;1122;2064;86;264;588;428;491;380;375;767;700;29
2014;4. Quartal;StB 7 Prohlis;4294;2605;831;858;2604;803;361;460;4260;4141;7405;2104;7122;283;7035;5224;2700;2524;4750;470;728;1357;1073;1120;946;777;1645;1811;87
2014;4. Quartal;StB 8 Plauen;2106;1272;396;438;1271;324;198;282;2085;2017;3682;1008;3517;165;3468;2609;1337;1272;2227;381;340;771;512;514;472;310;931;859;49
2014;4. Quartal;StB 9 Cotta/westliche Ortschaften;5738;3406;1223;1109;3405;1081;540;648;5695;5514;9857;2776;9462;395;9348;6969;3437;3532;6452;515;894;2095;1354;1356;1270;1040;2404;2379;114
2014;4. Quartal;unbekannt;225;217;5;3;217;5;1;1;223;18;237;9;235;2;235;229;167;62;221;8;54;105;39;25;6;5;14;6;0
2015;4. Quartal;StB 0 Altstadt;3277;2021;613;643;2018;457;337;411;3245;3105;5655;1476;5440;215;5357;4096;2104;1992;2974;1114;532;1093;812;884;775;437;1347;1261;83
2015;4. Quartal;StB 1 Neustadt;2909;1941;475;493;1941;533;141;274;2882;2767;4633;1244;4462;171;4361;3314;1766;1548;2866;447;357;1121;872;587;377;497;1305;1047;101
2015;4. Quartal;StB 2 Pieschen;3350;1886;734;730;1879;808;237;380;3312;3196;5969;1920;5776;193;5640;4052;1949;2103;3683;368;467;1304;920;750;611;769;1556;1588;136
2015;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;668;428;123;117;427;125;44;65;664;629;1103;313;1070;33;1051;796;413;383;739;57;79;225;173;174;145;119;281;255;19
2015;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;628;405;124;99;404;102;60;57;620;583;1027;269;989;38;970;750;394;356;706;44;58;193;196;164;139;97;271;220;19
2015;4. Quartal;StB 5 Blasewitz;2935;1720;654;561;1712;609;242;323;2901;2800;4984;1397;4776;208;4661;3533;1627;1906;3135;397;363;951;755;793;671;582;1348;1128;115
2015;4. Quartal;StB 6 Leuben;1702;990;427;285;989;386;158;148;1689;1635;2846;800;2730;116;2695;2021;966;1055;1926;95;236;557;396;449;383;375;701;674;35
2015;4. Quartal;StB 7 Prohlis;4212;2600;756;856;2596;738;315;490;4183;4043;7310;2132;7065;245;6968;5145;2731;2414;4517;628;685;1369;1121;1039;931;712;1523;1823;97
2015;4. Quartal;StB 8 Plauen;2071;1265;372;434;1262;331;177;278;2042;1945;3649;1033;3517;132;3449;2582;1352;1230;2111;467;351;759;531;499;442;317;871;867;68
2015;4. Quartal;StB 9 Cotta/westliche Ortschaften;5520;3329;1148;1043;3323;1054;465;600;5465;5215;9435;2694;9109;326;8961;6655;3331;3324;6014;638;840;1985;1379;1280;1171;1019;2214;2306;148
2015;4. Quartal;unbekannt;344;334;4;6;334;7;1;2;343;24;366;18;363;3;361;349;259;90;329;20;74;164;64;33;14;7;30;12;2
2016;4. Quartal;StB 0 Altstadt;3414;2130;612;672;2126;441;336;458;3403;3281;5902;1550;5703;199;5656;4331;2312;2019;2814;1508;706;1183;826;832;784;431;1290;1325;47
2016;4. Quartal;StB 1 Neustadt;2756;1863;443;450;1859;484;125;245;2734;2632;4354;1169;4211;143;4123;3164;1743;1421;2587;575;399;1069;787;545;364;462;1138;959;88
2016;4. Quartal;StB 2 Pieschen;3156;1809;661;686;1804;744;208;359;3141;3055;5611;1807;5429;182;5348;3877;1858;2019;3420;456;510;1221;875;692;579;731;1415;1471;81
2016;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;620;396;112;112;396;120;38;57;619;584;1022;289;994;28;980;750;386;364;694;56;81;205;164;147;153;120;266;230;14
2016;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;603;407;108;88;405;92;48;51;597;564;946;232;912;34;900;716;397;319;616;99;88;180;157;159;132;89;242;184;12
2016;4. Quartal;StB 5 Blasewitz;2720;1635;590;495;1628;534;221;286;2709;2619;4542;1236;4388;154;4330;3327;1598;1729;2848;476;419;888;691;710;619;527;1206;1003;58
2016;4. Quartal;StB 6 Leuben;1586;932;363;291;931;355;125;155;1581;1524;2682;782;2572;110;2540;1909;891;1018;1782;127;258;513;389;393;356;355;597;631;32
2016;4. Quartal;StB 7 Prohlis;4194;2668;680;846;2661;715;274;476;4176;4013;7236;2149;7015;221;6953;5203;2855;2348;4089;1110;902;1368;1081;987;865;711;1378;1750;62
