Statistischer Bezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Stadtbezirk/Ortschaft;Bundestagswahlkreis;Kommunalwahlkreis;Landtagswahlkreis
913  Cotta(Weidentalstr-West);91 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;47
914  Cotta(Weidentalstr-Ost);91 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;47
915  Cotta(Sachsdorfer Str);91 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;47
916  Friedrichst.-SW(Fröbelstr);91 Cotta;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;47
921  Löbtau-Nord(Ebertplatz);92 Löbtau-Nord;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
922  Löbtau-Nord(Altlöbtau);92 Löbtau-Nord;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
923  Löbtau-Nord(Grumbacher Str);92 Löbtau-Nord;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
924  Löbtau-Nord(Conertplatz);92 Löbtau-Nord;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
925  Löbtau-Nord(Malterstr-Nord);92 Löbtau-Nord;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
931  Löbtau-Süd(Schillingstr);93 Löbtau-Süd;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
932  Löbtau-Süd(Frankenbergstr);93 Löbtau-Süd;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
933  Löbtau-Süd(Altfrankener Str);93 Löbtau-Süd;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
934  Löbtau-Süd(Zauckeroder Str);93 Löbtau-Süd;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
935  Löbtau-Süd(Deubener Str);93 Löbtau-Süd;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
936  Löbtau-Süd(Rabenauer Str);93 Löbtau-Süd;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
941  Naußlitz-Nord;94 Naußlitz;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
942  Wölfnitz;94 Naußlitz;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
943  Naußlitz-West;94 Naußlitz;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
944  Naußlitz-Süd;94 Naußlitz;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
945  Dölzschen;94 Naußlitz;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
946  Niedergorbitz/Roßthal;94 Naußlitz;15 Cotta, Löbtau, Naußlitz, Dölzschen;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;10;46
951  Gorbitz-Süd(Amal.-Dietrich-Pl);95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
952  Gorbitz-Süd(Wölfn. Ring-Ost);95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
953  Gorbitz-Süd(Wölfn. Ring-West);95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
954  Gorbitz-Süd(Altgorb. Ring-Ost);95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
955  Gorbitz-Süd(Altgorb.Ring-Mitt);95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
956  Gorbitz-Süd(Wilsdr. Ring-Ost);95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
957  Gorbitz-Süd(Wilsdr. Ring-West);95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
958  Gorbitz-Süd(Schreberstr);95 Gorbitz-Süd;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
961  Gorbitz-Ost(Am Gorbitzbach);96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
962  Gorbitz-Ost(Dahlienweg-Süd);96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
963  Gorbitz-Ost(Asternweg);96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
964  Gorbitz-Ost(Höhenpromenade);96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
965  Gorbitz-Ost(Leutew. Ring-Ost);96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
966  Gorbitz-Ost(Leutew. Ring-Mitt);96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
967  Gorbitz-Ost(Leutew. Ring-West);96 Gorbitz-Ost;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
971  Gorbitz-Nord(Omsew. Ring-SO);97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
972  Gorbitz-Nord(Omsew. Ring-NW);97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
973  Neu-Omsewitz(Melisseweg);97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
974  Neu-Omsew.(Kresseweg);97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
975  Neu-Omsewitz(Harthaer-Ost);97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
976  Neu-Omsewitz(Harthaer-Mitte);97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
977  Neu-Omsewitz(Harthaer-West);97 Gorbitz-Nord/Neu-Omsewitz;16 Gorbitz;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
981  Stetzsch;98 Briesnitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
982  Kemnitz;98 Briesnitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
983  Briesnitz-Nord;98 Briesnitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
984  Briesnitz-Süd;98 Briesnitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
985  Alt-Omsewitz;98 Briesnitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
986  Leutewitz;98 Briesnitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;StB 9 Cotta;160;11;46
991  Gompitz;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;OS Gompitz;160;11;46
992  Ockerwitz;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;OS Gompitz;160;11;46
993  Pennrich;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;OS Gompitz;160;11;46
994  Zöllmen;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;OS Gompitz;160;11;46
995  Steinbach;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;OS Gompitz;160;11;46
996  Roitzsch;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;OS Gompitz;160;11;46
997  Unkersdorf;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;OS Gompitz;160;11;46
998  Altfranken;99 Altfranken/Gompitz;17 Briesnitz und westliche OS;StB 9 Cotta/westliche Ortschaften;OS Altfranken;160;11;46
