Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2017;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;20652;4104
2017;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;130405;5930
2017;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;154202;3345
2017;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;388977;4519
2017;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;743291;4294
2017;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;2587630;5089
2017;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;11220;2647
2017;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;37870;1831
2017;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;22519;496
2017;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;46769;558
2017;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;55923;346
2017;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;4459;15
2017;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;11855;2196
2017;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;83181;3621
2017;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;103177;2239
2017;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;332972;3836
2017;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;813834;4657
2017;02 Johannstadt;Deutsche;20 Jahre und mehr;2432780;5191
2017;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;5289;1023
2017;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;19666;940
2017;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;15463;330
2017;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;39806;473
2017;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;39213;253
2017;02 Johannstadt;Ausländer;20 Jahre und mehr;9243;25
2017;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;00 bis unter 1 Jahr;26222;4919
2017;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;01 bis unter 3 Jahre;174400;7786
2017;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;03 bis unter 5 Jahre;224385;4815
2017;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;05 bis unter 10 Jahre;667832;7801
2017;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;10 bis unter 20 Jahre;1105853;6423
2017;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;20 Jahre und mehr;957274;2485
2017;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;00 bis unter 1 Jahr;6861;1318
2017;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;01 bis unter 3 Jahre;25796;1232
2017;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;03 bis unter 5 Jahre;19713;433
2017;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;05 bis unter 10 Jahre;42044;486
2017;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;10 bis unter 20 Jahre;51467;313
2017;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;20 Jahre und mehr;5435;16
2017;04 Leipziger Vorstadt, Pieschen;Deutsche;00 bis unter 1 Jahr;26197;5074
2017;04 Leipziger Vorstadt, Pieschen;Deutsche;01 bis unter 3 Jahre;172544;7743
2017;04 Leipziger Vorstadt, Pieschen;Deutsche;03 bis unter 5 Jahre;228045;4890
2017;04 Leipziger Vorstadt, Pieschen;Deutsche;05 bis unter 10 Jahre;679933;7897
2017;04 Leipziger Vorstadt, Pieschen;Deutsche;10 bis unter 20 Jahre;1189567;6921
2017;04 Leipziger Vorstadt, Pieschen;Deutsche;20 Jahre und mehr;1132442;2742
2017;04 Leipziger Vorstadt, Pieschen;Ausländer;00 bis unter 1 Jahr;3963;845
2017;04 Leipziger Vorstadt, Pieschen;Ausländer;01 bis unter 3 Jahre;16208;771
2017;04 Leipziger Vorstadt, Pieschen;Ausländer;03 bis unter 5 Jahre;12918;282
2017;04 Leipziger Vorstadt, Pieschen;Ausländer;05 bis unter 10 Jahre;29044;350
2017;04 Leipziger Vorstadt, Pieschen;Ausländer;10 bis unter 20 Jahre;43110;261
2017;04 Leipziger Vorstadt, Pieschen;Ausländer;20 Jahre und mehr;2976;11
2017;05 Mickten, Kaditz, Trachau;Deutsche;00 bis unter 1 Jahr;13903;2544
2017;05 Mickten, Kaditz, Trachau;Deutsche;01 bis unter 3 Jahre;96801;4214
2017;05 Mickten, Kaditz, Trachau;Deutsche;03 bis unter 5 Jahre;151937;3255
2017;05 Mickten, Kaditz, Trachau;Deutsche;05 bis unter 10 Jahre;515575;5988
2017;05 Mickten, Kaditz, Trachau;Deutsche;10 bis unter 20 Jahre;1253465;7003
2017;05 Mickten, Kaditz, Trachau;Deutsche;20 Jahre und mehr;2041511;4615
2017;05 Mickten, Kaditz, Trachau;Ausländer;00 bis unter 1 Jahr;1373;285
2017;05 Mickten, Kaditz, Trachau;Ausländer;01 bis unter 3 Jahre;5739;265
2017;05 Mickten, Kaditz, Trachau;Ausländer;03 bis unter 5 Jahre;5478;119
2017;05 Mickten, Kaditz, Trachau;Ausländer;05 bis unter 10 Jahre;13502;165
2017;05 Mickten, Kaditz, Trachau;Ausländer;10 bis unter 20 Jahre;19668;121
2017;05 Mickten, Kaditz, Trachau;Ausländer;20 Jahre und mehr;5469;15
2017;06 StB Klotzsche und nördliche OS;Deutsche;00 bis unter 1 Jahr;13674;2404
2017;06 StB Klotzsche und nördliche OS;Deutsche;01 bis unter 3 Jahre;85917;3755
2017;06 StB Klotzsche und nördliche OS;Deutsche;03 bis unter 5 Jahre;132835;2857
2017;06 StB Klotzsche und nördliche OS;Deutsche;05 bis unter 10 Jahre;465260;5302
2017;06 StB Klotzsche und nördliche OS;Deutsche;10 bis unter 20 Jahre;1419757;7884
2017;06 StB Klotzsche und nördliche OS;Deutsche;20 Jahre und mehr;3635471;8210
2017;06 StB Klotzsche und nördliche OS;Ausländer;00 bis unter 1 Jahr;1006;218
2017;06 StB Klotzsche und nördliche OS;Ausländer;01 bis unter 3 Jahre;3913;185
2017;06 StB Klotzsche und nördliche OS;Ausländer;03 bis unter 5 Jahre;5691;127
2017;06 StB Klotzsche und nördliche OS;Ausländer;05 bis unter 10 Jahre;11583;129
2017;06 StB Klotzsche und nördliche OS;Ausländer;10 bis unter 20 Jahre;14658;94
2017;06 StB Klotzsche und nördliche OS;Ausländer;20 Jahre und mehr;7593;21
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;00 bis unter 1 Jahr;12085;2236
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;01 bis unter 3 Jahre;98091;4236
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;03 bis unter 5 Jahre;154387;3272
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;05 bis unter 10 Jahre;556113;6377
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;10 bis unter 20 Jahre;1524488;8613
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;20 Jahre und mehr;3337925;7928
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;00 bis unter 1 Jahr;1113;256
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;01 bis unter 3 Jahre;6589;298
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;03 bis unter 5 Jahre;5208;112
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;05 bis unter 10 Jahre;11639;138
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;10 bis unter 20 Jahre;15075;91
2017;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;20 Jahre und mehr;9679;29
2017;08 Blasewitz, Striesen;Deutsche;00 bis unter 1 Jahr;27416;5301
2017;08 Blasewitz, Striesen;Deutsche;01 bis unter 3 Jahre;201985;8995
2017;08 Blasewitz, Striesen;Deutsche;03 bis unter 5 Jahre;271382;5769
2017;08 Blasewitz, Striesen;Deutsche;05 bis unter 10 Jahre;865325;9994
2017;08 Blasewitz, Striesen;Deutsche;10 bis unter 20 Jahre;2111144;11884
2017;08 Blasewitz, Striesen;Deutsche;20 Jahre und mehr;2697436;5938
2017;08 Blasewitz, Striesen;Ausländer;00 bis unter 1 Jahr;4536;946
2017;08 Blasewitz, Striesen;Ausländer;01 bis unter 3 Jahre;18632;852
2017;08 Blasewitz, Striesen;Ausländer;03 bis unter 5 Jahre;16618;366
2017;08 Blasewitz, Striesen;Ausländer;05 bis unter 10 Jahre;34211;404
2017;08 Blasewitz, Striesen;Ausländer;10 bis unter 20 Jahre;44224;278
2017;08 Blasewitz, Striesen;Ausländer;20 Jahre und mehr;7050;22
2017;09 Tolkewitz, Seidnitz, Gruna;Deutsche;00 bis unter 1 Jahr;17497;3240
2017;09 Tolkewitz, Seidnitz, Gruna;Deutsche;01 bis unter 3 Jahre;121381;5394
2017;09 Tolkewitz, Seidnitz, Gruna;Deutsche;03 bis unter 5 Jahre;190400;4073
2017;09 Tolkewitz, Seidnitz, Gruna;Deutsche;05 bis unter 10 Jahre;631641;7235
2017;09 Tolkewitz, Seidnitz, Gruna;Deutsche;10 bis unter 20 Jahre;1658681;9429
2017;09 Tolkewitz, Seidnitz, Gruna;Deutsche;20 Jahre und mehr;3314050;7355
2017;09 Tolkewitz, Seidnitz, Gruna;Ausländer;00 bis unter 1 Jahr;2127;386
2017;09 Tolkewitz, Seidnitz, Gruna;Ausländer;01 bis unter 3 Jahre;9895;464
2017;09 Tolkewitz, Seidnitz, Gruna;Ausländer;03 bis unter 5 Jahre;8412;182
2017;09 Tolkewitz, Seidnitz, Gruna;Ausländer;05 bis unter 10 Jahre;19771;236
2017;09 Tolkewitz, Seidnitz, Gruna;Ausländer;10 bis unter 20 Jahre;25854;151
2017;09 Tolkewitz, Seidnitz, Gruna;Ausländer;20 Jahre und mehr;8335;23
2017;10 StB Leuben;Deutsche;00 bis unter 1 Jahr;17741;3301
2017;10 StB Leuben;Deutsche;01 bis unter 3 Jahre;121381;5280
2017;10 StB Leuben;Deutsche;03 bis unter 5 Jahre;182472;3885
2017;10 StB Leuben;Deutsche;05 bis unter 10 Jahre;650378;7377
2017;10 StB Leuben;Deutsche;10 bis unter 20 Jahre;1746838;9935
2017;10 StB Leuben;Deutsche;20 Jahre und mehr;3648711;8457
2017;10 StB Leuben;Ausländer;00 bis unter 1 Jahr;1806;356
2017;10 StB Leuben;Ausländer;01 bis unter 3 Jahre;6622;312
2017;10 StB Leuben;Ausländer;03 bis unter 5 Jahre;4851;105
2017;10 StB Leuben;Ausländer;05 bis unter 10 Jahre;10935;129
2017;10 StB Leuben;Ausländer;10 bis unter 20 Jahre;15520;94
2017;10 StB Leuben;Ausländer;20 Jahre und mehr;13994;39
2017;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;00 bis unter 1 Jahr;8531;1656
2017;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;01 bis unter 3 Jahre;67404;2928
2017;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;03 bis unter 5 Jahre;113970;2429
