Jahr-Prognose;Stadtbezirk mit zugeordneten Ortschaften;Anzahl
2038;StB 4 Loschwitz/OS Schönfeld-Weißig;31220
2038;StB 5 Blasewitz;89890
2038;StB 6 Leuben;37820
2038;StB 7 Prohlis;62370
2038;StB 8 Plauen;56650
2038;StB 9 Cotta/westliche Ortschaften;88050
2039;StB 0 Altstadt;73610
2039;StB 1 Neustadt;57110
2039;StB 2 Pieschen;58940
2039;StB 3 Klotzsche/nördliche Ortschaften;30640
2039;StB 4 Loschwitz/OS Schönfeld-Weißig;31150
2039;StB 5 Blasewitz;90100
2039;StB 6 Leuben;37830
2039;StB 7 Prohlis;62540
2039;StB 8 Plauen;56720
2039;StB 9 Cotta/westliche Ortschaften;88160
2040;StB 0 Altstadt;73850
2040;StB 1 Neustadt;57320
2040;StB 2 Pieschen;59140
2040;StB 3 Klotzsche/nördliche Ortschaften;30630
2040;StB 4 Loschwitz/OS Schönfeld-Weißig;31090
2040;StB 5 Blasewitz;90290
2040;StB 6 Leuben;37840
2040;StB 7 Prohlis;62680
2040;StB 8 Plauen;56770
2040;StB 9 Cotta/westliche Ortschaften;88260
