Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Anzahl Einwohner;Anzahl Haushalte
2015;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;33;13
2015;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;187;83
2015;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;208;86
2015;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;292;130
2015;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;407;170
2015;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;614;245
2015;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;427;184
2015;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1248;523
2015;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;717;291
2015;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;365;154
2015;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;860;363
2015;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;107;47
2015;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1085;439
2015;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1002;415
2015;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;405;175
2015;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;665;275
2015;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;874;370
2015;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;689;293
2015;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;275;117
2015;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;178;72
2015;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;149;56
