Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2014;05 Mickten, Kaditz, Trachau;Ausländer;10 bis unter 20 Jahre;12706;82
2014;05 Mickten, Kaditz, Trachau;Ausländer;20 Jahre und mehr;4526;12
2014;06 StB Klotzsche und nördliche OS;Deutsche;00 bis unter 1 Jahr;12469;2315
2014;06 StB Klotzsche und nördliche OS;Deutsche;01 bis unter 3 Jahre;80142;3424
2014;06 StB Klotzsche und nördliche OS;Deutsche;03 bis unter 5 Jahre;138698;2948
2014;06 StB Klotzsche und nördliche OS;Deutsche;05 bis unter 10 Jahre;448563;5182
2014;06 StB Klotzsche und nördliche OS;Deutsche;10 bis unter 20 Jahre;1476363;8415
2014;06 StB Klotzsche und nördliche OS;Deutsche;20 Jahre und mehr;3408225;7486
2014;06 StB Klotzsche und nördliche OS;Ausländer;00 bis unter 1 Jahr;805;192
2014;06 StB Klotzsche und nördliche OS;Ausländer;01 bis unter 3 Jahre;3459;160
2014;06 StB Klotzsche und nördliche OS;Ausländer;03 bis unter 5 Jahre;4285;94
2014;06 StB Klotzsche und nördliche OS;Ausländer;05 bis unter 10 Jahre;12286;147
2014;06 StB Klotzsche und nördliche OS;Ausländer;10 bis unter 20 Jahre;9896;60
2014;06 StB Klotzsche und nördliche OS;Ausländer;20 Jahre und mehr;5791;16
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;00 bis unter 1 Jahr;13035;2445
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;01 bis unter 3 Jahre;103739;4494
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;03 bis unter 5 Jahre;158315;3382
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;05 bis unter 10 Jahre;547349;6277
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;10 bis unter 20 Jahre;1625098;9170
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;20 Jahre und mehr;2944290;6526
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;00 bis unter 1 Jahr;1301;248
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;01 bis unter 3 Jahre;4862;221
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;03 bis unter 5 Jahre;4521;99
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;05 bis unter 10 Jahre;11569;136
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;10 bis unter 20 Jahre;14599;88
2014;07 StB Loschwitz und OS Schönfeld-Weißig;Ausländer;20 Jahre und mehr;5295;14
2014;08 Blasewitz, Striesen;Deutsche;00 bis unter 1 Jahr;26830;5077
2014;08 Blasewitz, Striesen;Deutsche;01 bis unter 3 Jahre;201870;8884
2014;08 Blasewitz, Striesen;Deutsche;03 bis unter 5 Jahre;285437;6096
2014;08 Blasewitz, Striesen;Deutsche;05 bis unter 10 Jahre;848929;9905
2014;08 Blasewitz, Striesen;Deutsche;10 bis unter 20 Jahre;1904570;11076
2014;08 Blasewitz, Striesen;Deutsche;20 Jahre und mehr;2516963;5160
2014;08 Blasewitz, Striesen;Ausländer;00 bis unter 1 Jahr;3195;667
2014;08 Blasewitz, Striesen;Ausländer;01 bis unter 3 Jahre;14517;662
2014;08 Blasewitz, Striesen;Ausländer;03 bis unter 5 Jahre;14690;319
2014;08 Blasewitz, Striesen;Ausländer;05 bis unter 10 Jahre;33618;394
2014;08 Blasewitz, Striesen;Ausländer;10 bis unter 20 Jahre;27376;177
2014;08 Blasewitz, Striesen;Ausländer;20 Jahre und mehr;4323;12
2014;09 Tolkewitz, Seidnitz, Gruna;Deutsche;00 bis unter 1 Jahr;19647;3545
2014;09 Tolkewitz, Seidnitz, Gruna;Deutsche;01 bis unter 3 Jahre;131835;5666
2014;09 Tolkewitz, Seidnitz, Gruna;Deutsche;03 bis unter 5 Jahre;194227;4185
2014;09 Tolkewitz, Seidnitz, Gruna;Deutsche;05 bis unter 10 Jahre;637107;7345
2014;09 Tolkewitz, Seidnitz, Gruna;Deutsche;10 bis unter 20 Jahre;1515349;8917
2014;09 Tolkewitz, Seidnitz, Gruna;Deutsche;20 Jahre und mehr;3197471;7010
2014;09 Tolkewitz, Seidnitz, Gruna;Ausländer;00 bis unter 1 Jahr;1614;327
2014;09 Tolkewitz, Seidnitz, Gruna;Ausländer;01 bis unter 3 Jahre;6526;290
2014;09 Tolkewitz, Seidnitz, Gruna;Ausländer;03 bis unter 5 Jahre;6865;152
