Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;208
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;186
2019;StB 0 Altstadt;02 Johannstadt;männlich;115
2019;StB 0 Altstadt;02 Johannstadt;weiblich;117
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;273
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;280
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;77
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;105
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;189
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;163
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;151
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;161
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;118
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;114
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;121
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;115
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;315
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;334
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;179
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;159
2019;StB 6 Leuben;10 StB Leuben;männlich;166
2019;StB 6 Leuben;10 StB Leuben;weiblich;155
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;110
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;93
2019;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;152
2019;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;137
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;159
2019;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;165
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;127
2019;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;116
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;331
2019;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;272
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;102
2019;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;104
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;110
2019;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;95
