Jahr;Stadtbezirk mit zugeordneten Ortschaften;Kraftstoff_Energiequelle;Anzahl
2016;StB 0 Altstadt;Benzin;13555
2016;StB 0 Altstadt;Diesel;9312
2016;StB 0 Altstadt;Elektro;112
2016;StB 0 Altstadt;Hybrid;97
2016;StB 0 Altstadt;Plug-In-Hybrid;36
2016;StB 0 Altstadt;sonstige;212
2016;StB 1 Neustadt;Benzin;9699
2016;StB 1 Neustadt;Diesel;7984
2016;StB 1 Neustadt;Elektro;12
2016;StB 1 Neustadt;Hybrid;78
2016;StB 1 Neustadt;Plug-In-Hybrid;19
2016;StB 1 Neustadt;sonstige;237
2016;StB 2 Pieschen;Benzin;14759
2016;StB 2 Pieschen;Diesel;8509
2016;StB 2 Pieschen;Elektro;25
2016;StB 2 Pieschen;Hybrid;140
2016;StB 2 Pieschen;Plug-In-Hybrid;8
2016;StB 2 Pieschen;sonstige;309
2016;StB 3 Klotzsche/nördliche Ortschaften;Benzin;10800
2016;StB 3 Klotzsche/nördliche Ortschaften;Diesel;7178
2016;StB 3 Klotzsche/nördliche Ortschaften;Elektro;25
2016;StB 3 Klotzsche/nördliche Ortschaften;Hybrid;69
2016;StB 3 Klotzsche/nördliche Ortschaften;Plug-In-Hybrid;4
2016;StB 3 Klotzsche/nördliche Ortschaften;sonstige;220
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;Benzin;11592
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;Diesel;6671
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;Elektro;15
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;Hybrid;99
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;Plug-In-Hybrid;5
2016;StB 4 Loschwitz/OS Schönfeld-Weißig;sonstige;190
2016;StB 5 Blasewitz;Benzin;26135
2016;StB 5 Blasewitz;Diesel;10310
2016;StB 5 Blasewitz;Elektro;13
2016;StB 5 Blasewitz;Hybrid;225
2016;StB 5 Blasewitz;Plug-In-Hybrid;10
2016;StB 5 Blasewitz;sonstige;254
2016;StB 6 Leuben;Benzin;13265
2016;StB 6 Leuben;Diesel;5223
2016;StB 6 Leuben;Elektro;4
2016;StB 6 Leuben;Hybrid;97
2016;StB 6 Leuben;Plug-In-Hybrid;3
2016;StB 6 Leuben;sonstige;116
2016;StB 7 Prohlis;Benzin;17506
2016;StB 7 Prohlis;Diesel;7682
