Jahr;Stadtraum;Zeitfenster;"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
2010;14 Mockritz, Coschütz, Plauen;heute;6,8;50,2;33,1;7,5;0,6;1,8
2010;14 Mockritz, Coschütz, Plauen;in einem Jahr;0,8;7;64,9;14,6;2,5;10,1
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;4,8;10,5;61,2;18,3;3,7;1,6
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;5,1;44,5;34,8;11,2;2,8;1,6
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;0,8;10,3;65,8;9,9;4,9;8,2
2010;16 Gorbitz;vor einem Jahr;3,1;15,5;55,6;11,2;12,3;2,3
2010;16 Gorbitz;heute;1,8;33,6;37,9;17;7,4;2,3
2010;16 Gorbitz;in einem Jahr;2,5;14;46,4;20,2;7,7;9,1
2010;17 Briesnitz und westliche OS;vor einem Jahr;5,7;12,6;74,3;7,4;0;0
2010;17 Briesnitz und westliche OS;heute;4,9;54;33,4;6,4;1,3;0
2010;17 Briesnitz und westliche OS;in einem Jahr;1,4;6,9;67,4;8,3;5,1;10,9
2010;18 Dresden gesamt;vor einem Jahr;2,9;15;65,2;11,9;3,4;1,7
2010;18 Dresden gesamt;heute;5;46,9;34,2;9;3,5;1,4
2010;18 Dresden gesamt;in einem Jahr;1,6;11,8;57,5;13,9;3,4;11,7
2012;01 StB Altstadt ohne Johannstadt;vor einem Jahr;3,4;19,5;63,9;6,6;2,1;4,5
2012;01 StB Altstadt ohne Johannstadt;heute;4,5;43,3;36,5;9,1;2,3;4,4
2012;01 StB Altstadt ohne Johannstadt;in einem Jahr;6,2;9,3;47,8;14,9;3,7;18,1
2012;02 Johannstadt;vor einem Jahr;4,4;13,9;65,8;14,5;1;0,4
2012;02 Johannstadt;heute;3,7;46;35,3;14,1;0,5;0,4
2012;02 Johannstadt;in einem Jahr;6,7;7,8;59,6;12,9;4,8;8,2
2012;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;4,3;11,5;69,2;11,7;2,9;0,4
2012;03 StB Neustadt ohne Leipziger Vorstadt;heute;12,9;46,9;29,1;7,4;2,9;0,7
2012;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;1,1;15,5;56,4;12,5;2,8;11,7
2012;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;6,9;20,7;59,4;11,7;1,2;0
2012;04 Leipziger Vorstadt, Pieschen;heute;5,7;48,1;38,8;6;0,7;0,7
2012;04 Leipziger Vorstadt, Pieschen;in einem Jahr;0,9;14;57,3;15,4;1,9;10,5
2012;05 Mickten, Kaditz, Trachau;vor einem Jahr;5,7;13,2;62,2;15,1;1,8;2
2012;05 Mickten, Kaditz, Trachau;heute;4,5;50,7;31,4;8,4;3,1;2
2012;05 Mickten, Kaditz, Trachau;in einem Jahr;0,5;13,4;58,9;14,9;2,6;9,7
2012;06 StB Klotzsche und nördliche OS;vor einem Jahr;3,4;12,2;68,4;12,4;2,6;1
2012;06 StB Klotzsche und nördliche OS;heute;6,7;55,3;29,1;8,2;0,4;0,4
2012;06 StB Klotzsche und nördliche OS;in einem Jahr;1,7;9,2;57,9;14,9;2,5;13,8
2012;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;0,6;15,1;76,7;6,8;0;0,8
2012;07 StB Loschwitz und OS Schönfeld-Weißig;heute;10,1;40,2;36,6;7,5;4,7;0,8
2012;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;1,6;9,5;56,7;17,5;2;12,8
2012;08 Blasewitz, Striesen;vor einem Jahr;3,9;14,5;66,1;11;4,5;0
2012;08 Blasewitz, Striesen;heute;5,9;52,9;31,4;7,3;2,6;0
2012;08 Blasewitz, Striesen;in einem Jahr;1,3;13,7;60,4;14,2;2,6;7,7
2012;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;2,5;13,8;68,6;13,8;1;0,3
2012;09 Tolkewitz, Seidnitz, Gruna;heute;3,3;46,9;43,5;4,4;1,8;0
2012;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;0;12,8;57,6;17,4;2,6;9,6
2012;10 StB Leuben;vor einem Jahr;2,9;12,8;67;12,4;1,5;3,3
2012;10 StB Leuben;heute;4,4;40,9;37,6;11,3;1,5;4,4
2012;10 StB Leuben;in einem Jahr;3,9;12,7;53,6;10,1;3,6;16,1
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;2,7;13,4;70,5;7,2;3,8;2,4
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;6,8;30,8;36,2;13,5;6,8;5,8
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;2,1;12,8;49,6;15,4;4,7;15,4
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;1,4;18,3;64,7;13,3;0,3;1,9
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;4,1;55,6;27,8;9,1;1,5;1,9
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;2,6;9,8;53,1;19,5;0,7;14,3
2012;13 Südvorstadt, Zschertnitz;vor einem Jahr;2,4;12,2;71,8;8,9;1,9;2,9
2012;13 Südvorstadt, Zschertnitz;heute;5,1;48,5;31,8;8,9;2,8;2,9
2012;13 Südvorstadt, Zschertnitz;in einem Jahr;4;8,6;64;8,8;3,7;11
2012;14 Mockritz, Coschütz, Plauen;vor einem Jahr;6;11,5;69,5;10,4;0;2,6
2012;14 Mockritz, Coschütz, Plauen;heute;7,7;54,6;24,8;9,7;0;3,2
2012;14 Mockritz, Coschütz, Plauen;in einem Jahr;1,6;11,4;64,4;10,4;0,6;11,5
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;3,8;17,1;63,5;8,8;4;2,8
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;2,8;43,9;31,8;16;3,4;2,1
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;4,4;18,9;51,8;12,8;1,3;10,7
2012;16 Gorbitz;vor einem Jahr;3,3;17,9;63,6;8,9;2,2;4,1
2012;16 Gorbitz;heute;0,7;30,6;42,4;14,2;9,8;2,3
2012;16 Gorbitz;in einem Jahr;1,3;9,9;51,2;19,5;6,2;11,9
2012;17 Briesnitz und westliche OS;vor einem Jahr;4,8;5,1;75,1;7;2,7;5,3
2012;17 Briesnitz und westliche OS;heute;7,9;52,5;20,7;11,3;2,3;5,3
2012;17 Briesnitz und westliche OS;in einem Jahr;0;11,2;52,7;16,5;1,1;18,6
2012;18 Dresden gesamt;vor einem Jahr;3,6;14,6;67,1;10,8;2,1;1,9
2012;18 Dresden gesamt;heute;5,7;46,7;33,4;9,6;2,6;2
2012;18 Dresden gesamt;in einem Jahr;2,4;12,2;56,1;14,4;2,7;12,2
2014;01 StB Altstadt ohne Johannstadt;vor einem Jahr;0,9;23,8;61,3;12,9;0,5;0,5
2014;01 StB Altstadt ohne Johannstadt;heute;6,8;45,3;33,2;11,1;3,6;0
2014;01 StB Altstadt ohne Johannstadt;in einem Jahr;2,7;18,9;56,7;9,9;1,2;10,6
2014;02 Johannstadt;vor einem Jahr;2;15,6;71,3;8,4;2,8;0
2014;02 Johannstadt;heute;7,6;49,8;30,5;10,8;0;1,3
2014;02 Johannstadt;in einem Jahr;4,1;10,4;65,6;11,6;1,9;6,4
2014;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;4,6;19,9;62,9;11,7;0,8;0
2014;03 StB Neustadt ohne Leipziger Vorstadt;heute;13;46,5;30,3;8,4;1,9;0
2014;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;3;16,3;58,7;11,7;1,2;9,1
2014;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;7,2;12,2;62,2;14,3;2,3;1,7
2014;04 Leipziger Vorstadt, Pieschen;heute;8,2;43,7;32,2;12,9;2,1;0,8
2014;04 Leipziger Vorstadt, Pieschen;in einem Jahr;3,7;22,4;50,5;10,6;0,5;12,4
2014;05 Mickten, Kaditz, Trachau;vor einem Jahr;1,7;11,1;71,2;12,4;3,6;0
2014;05 Mickten, Kaditz, Trachau;heute;4,5;50,7;27,7;16,2;0,9;0
2014;05 Mickten, Kaditz, Trachau;in einem Jahr;0,9;8,4;63,6;11;1;15,1
2014;06 StB Klotzsche und nördliche OS;vor einem Jahr;2,2;10,7;67,7;16,1;0,5;2,8
2014;06 StB Klotzsche und nördliche OS;heute;10,9;48,5;31,1;5,9;1,9;1,6
2014;06 StB Klotzsche und nördliche OS;in einem Jahr;2,6;15,1;60,4;9,6;0,5;11,8
2014;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;2,4;15,3;68,7;13;0,7;0
2014;07 StB Loschwitz und OS Schönfeld-Weißig;heute;9;54,3;30,2;6;0,5;0
2014;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;2,3;15,3;62,7;12,3;2,8;4,5
2014;08 Blasewitz, Striesen;vor einem Jahr;2,6;13,2;65,9;12,5;4,1;1,7
2014;08 Blasewitz, Striesen;heute;10,2;55,1;28,2;4,8;0,6;1
2014;08 Blasewitz, Striesen;in einem Jahr;2,7;14,4;67;6,3;1,1;8,5
2014;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;3,8;14,9;68,5;10,7;1,4;0,8
2014;09 Tolkewitz, Seidnitz, Gruna;heute;6,5;51,3;32,7;8,1;0,7;0,8
2014;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;3,3;11,3;61,1;11,7;1,4;11,2
2014;10 StB Leuben;vor einem Jahr;1,5;13,1;64,4;14,3;4;2,6
2014;10 StB Leuben;heute;5,6;51,9;26,9;9;4,7;1,9
2014;10 StB Leuben;in einem Jahr;1,7;11,6;58,9;14,8;2;11
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;2,2;17,4;70,3;5,4;1,3;3,4
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;3,2;35,6;37,9;13,2;8,8;1,3
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;1,5;9;55,8;18,7;3,8;11,2
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;5,4;11,8;72,4;7,1;0,6;2,8
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;10,2;53,8;23,2;8,5;2,1;2,1
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;3,7;9,6;59,7;17,8;2,6;6,7
2014;13 Südvorstadt, Zschertnitz;vor einem Jahr;4,1;17,5;61,2;13,3;1,9;2
2014;13 Südvorstadt, Zschertnitz;heute;7,1;51,8;24,9;12,8;1,9;1,6
2014;13 Südvorstadt, Zschertnitz;in einem Jahr;5,6;16,1;56,7;8,4;1,5;11,7
2014;14 Mockritz, Coschütz, Plauen;vor einem Jahr;1,7;17,4;68;8,7;2,5;1,8
2014;14 Mockritz, Coschütz, Plauen;heute;11,5;63,1;16,8;5;1,9;1,7
2014;14 Mockritz, Coschütz, Plauen;in einem Jahr;0;10,2;72;2,9;1,9;13
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;1,9;19,6;62,9;13;0;2,7
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;6,8;47,5;32,3;9,6;1,2;2,6
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;1,9;18,4;57,2;9,3;2;11,1
2014;16 Gorbitz;vor einem Jahr;1,4;23,1;53;15,4;5,3;1,8
2014;16 Gorbitz;heute;0;38,8;39,3;15,7;6,1;0
2014;16 Gorbitz;in einem Jahr;2,1;15,9;50,2;13,5;4,3;14
2014;17 Briesnitz und westliche OS;vor einem Jahr;1,8;22,1;61,5;9,3;0;5,3
2014;17 Briesnitz und westliche OS;heute;11,6;45,2;34,2;6;0;3,1
2014;17 Briesnitz und westliche OS;in einem Jahr;0;21,3;56,2;9,6;2,1;10,8
2014;18 Dresden gesamt;vor einem Jahr;3,1;16,1;65,3;12;1,9;1,7
2014;18 Dresden gesamt;heute;8,1;49,4;29,9;9,5;2,1;1,1
2014;18 Dresden gesamt;in einem Jahr;2,6;14,8;59,4;11;1,8;10,4
2016;01 StB Altstadt ohne Johannstadt;vor einem Jahr;3,7;14,9;64,6;9,4;2,9;4,5
2016;01 StB Altstadt ohne Johannstadt;heute;9,3;44,9;28,8;6,2;7,9;2,9
2016;01 StB Altstadt ohne Johannstadt;in einem Jahr;5,1;8,1;63,1;5,8;2;15,9
2016;02 Johannstadt;vor einem Jahr;4,6;14,4;65,2;13,4;0;2,3
2016;02 Johannstadt;heute;4,4;49,1;30,5;11,9;1,9;2,2
2016;02 Johannstadt;in einem Jahr;2,3;8,9;50,2;15,2;3,7;19,7
2016;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;6,7;17,9;61,6;8,7;3;2,1
2016;03 StB Neustadt ohne Leipziger Vorstadt;heute;14,6;56,8;18;5,4;2;3,2
2016;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;5,7;19;49,5;8,3;2,3;15,3
2016;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;4,3;18,3;61,3;12,9;0,8;2,5
2016;04 Leipziger Vorstadt, Pieschen;heute;12,7;52,5;25,5;6,1;2,4;0,8
2016;04 Leipziger Vorstadt, Pieschen;in einem Jahr;2,9;15,1;52,4;9,8;1;18,8
2016;05 Mickten, Kaditz, Trachau;vor einem Jahr;0;15;72,5;10,5;1,9;0
2016;05 Mickten, Kaditz, Trachau;heute;8,9;50,5;27,2;10,6;2,8;0
2016;05 Mickten, Kaditz, Trachau;in einem Jahr;2,4;6,8;65,7;9,7;3;12,3
2016;06 StB Klotzsche und nördliche OS;vor einem Jahr;2,3;8,8;78,8;5,9;1,8;2,5
2016;06 StB Klotzsche und nördliche OS;heute;11,8;57,9;23,8;1,1;2,8;2,6
2016;06 StB Klotzsche und nördliche OS;in einem Jahr;0,6;6,4;63,7;10,6;3,9;14,9
2016;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;1,2;9,8;79,6;6,1;1,1;2,1
2016;07 StB Loschwitz und OS Schönfeld-Weißig;heute;14,5;60,2;19,1;4,6;0;1,6
2016;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;3,9;7,7;69,3;5,8;1,3;11,9
2016;08 Blasewitz, Striesen;vor einem Jahr;3,8;11,2;73,4;9;1,1;1,6
2016;08 Blasewitz, Striesen;heute;13,2;53,4;26,8;4,7;0;1,9
2016;08 Blasewitz, Striesen;in einem Jahr;0,8;13;62,9;10,2;1,1;12
2016;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;5,1;14,4;71,6;6,5;0,7;1,6
2016;09 Tolkewitz, Seidnitz, Gruna;heute;4,8;53,1;34;4,8;1,5;1,7
2016;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;4,2;7,1;57,2;13,3;1,5;16,7
2016;10 StB Leuben;vor einem Jahr;1;11,1;76,7;6,6;3,1;1,6
2016;10 StB Leuben;heute;5,8;58,3;26,7;6,2;1,5;1,6
2016;10 StB Leuben;in einem Jahr;1,3;13,3;54,6;12,3;0;18,5
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;3,5;9,1;79,6;2,5;1,4;4
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;2,9;46;32,2;11,4;5,3;2,2
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;1,1;10,9;49;11,3;1,2;26,6
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;2,1;14,8;69;7,9;2,8;3,5
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;7,5;56,6;26,5;3,5;2,8;3,1
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;0,9;12;55,7;13,4;1,6;16,5
2016;13 Südvorstadt, Zschertnitz;vor einem Jahr;4,3;11,3;69,4;11,8;2,4;0,7
2016;13 Südvorstadt, Zschertnitz;heute;9,7;53,8;30,9;3,8;1;0,7
2016;13 Südvorstadt, Zschertnitz;in einem Jahr;2;13,8;61,5;9,2;2;11,6
2016;14 Mockritz, Coschütz, Plauen;vor einem Jahr;1;17,1;68,9;9,7;2,5;0,7
2016;14 Mockritz, Coschütz, Plauen;heute;10;62,7;24,8;1,5;1;0
2016;14 Mockritz, Coschütz, Plauen;in einem Jahr;1,8;8,8;57,3;7,6;1,8;22,7
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;3,7;13,7;64,8;14,5;1,5;1,8
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;12;57;20,8;6;2,2;2
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;2,7;17,6;56,6;9,9;0;13,2
2016;16 Gorbitz;vor einem Jahr;3,5;9,5;75,2;11,7;0;0
2016;16 Gorbitz;heute;4,7;33,7;39,2;14,5;6,3;1,6
2016;16 Gorbitz;in einem Jahr;3,8;6,1;47,8;9,3;7,1;26
2016;17 Briesnitz und westliche OS;vor einem Jahr;3,2;15;74,4;4,4;0;2,9
2016;17 Briesnitz und westliche OS;heute;9,1;58,6;24,4;2,8;1,8;3,3
2016;17 Briesnitz und westliche OS;in einem Jahr;0,9;13,3;54,1;12,7;0;19
2016;18 Dresden gesamt;vor einem Jahr;3,3;13,6;70,2;9,2;1,7;2,1
2016;18 Dresden gesamt;heute;9,7;53,8;26,5;5,8;2,3;1,9
2016;18 Dresden gesamt;in einem Jahr;2,5;11,6;57,3;10,2;1,8;16,5
2018;01 StB Altstadt ohne Johannstadt;vor einem Jahr;7;15;63;8;2;5
2018;01 StB Altstadt ohne Johannstadt;heute;7,5;50;31,4;5,9;2,1;3
2018;01 StB Altstadt ohne Johannstadt;in einem Jahr;8;3;52;7;3;27
2018;02 Johannstadt;vor einem Jahr;1;14;77;4;1;3
2018;02 Johannstadt;heute;7,6;53,1;28,6;8,2;0,9;1,6
2018;02 Johannstadt;in einem Jahr;1;15;61;5;0;18
2018;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;5;20;62;6;4;3
2018;03 StB Neustadt ohne Leipziger Vorstadt;heute;17,8;45,1;23,6;9,9;1,9;1,7
2018;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;5;14;55;10;1;16
2018;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;3;22;56;16;2;1
2018;04 Leipziger Vorstadt, Pieschen;heute;12;49,5;27,3;9,3;0,7;1,1
2018;04 Leipziger Vorstadt, Pieschen;in einem Jahr;3;23;45;10;4;14
2018;05 Mickten, Kaditz, Trachau;vor einem Jahr;5;15;73;5;2;0
2018;05 Mickten, Kaditz, Trachau;heute;10,4;57;27,5;4;1,1;0
2018;05 Mickten, Kaditz, Trachau;in einem Jahr;2;17;57;12;2;11
2018;06 StB Klotzsche und nördliche OS;vor einem Jahr;2;17;73;6;1;1
2018;06 StB Klotzsche und nördliche OS;heute;16,4;60,9;18,3;3,6;0;0,9
2018;06 StB Klotzsche und nördliche OS;in einem Jahr;3;7;66;8;2;15
2018;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;3;11;78;6;3;0
2018;07 StB Loschwitz und OS Schönfeld-Weißig;heute;18;54,7;19,3;6,5;1,6;0
2018;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;2;11;66;5;2;14
2018;08 Blasewitz, Striesen;vor einem Jahr;2;17;68;9;1;3
2018;08 Blasewitz, Striesen;heute;10,5;53,8;27,3;6,4;1,1;0,9
2018;08 Blasewitz, Striesen;in einem Jahr;3;13;58;10;1;16
2018;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;3;19;64;8;3;2
2018;09 Tolkewitz, Seidnitz, Gruna;heute;9,3;51,1;30,1;5,9;2;1,5
2018;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;4;11;56;8;3;18
2018;10 StB Leuben;vor einem Jahr;3;12;79;4;1;1
2018;10 StB Leuben;heute;13,1;51,9;22,2;10,3;0,5;2
2018;10 StB Leuben;in einem Jahr;0;11;67;5;1;16
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;3;6;81;4;4;2
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;4,9;39,7;40,8;10,7;2,8;1,1
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;1;16;57;4;5;17
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;5;18;66;6;2;3
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;9,5;54,6;28,7;5,5;0;1,6
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;1;10;58;8;1;22
2018;13 Südvorstadt, Zschertnitz;vor einem Jahr;3;27;55;6;3;5
2018;13 Südvorstadt, Zschertnitz;heute;7,5;51,1;29,4;6,5;1,2;4,3
2018;13 Südvorstadt, Zschertnitz;in einem Jahr;1;19;49;12;2;17
2018;14 Mockritz, Coschütz, Plauen;vor einem Jahr;3;24;58;11;0;3
2018;14 Mockritz, Coschütz, Plauen;heute;10,7;65,4;20,6;1,2;0;2
2018;14 Mockritz, Coschütz, Plauen;in einem Jahr;4;21;53;1;2;19
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;6;20;63;9;2;1
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;11,4;57,3;27,1;2,1;1,6;0,5
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;2;11;54;11;0;22
2018;16 Gorbitz;vor einem Jahr;6;22;67;5;0;0
2018;16 Gorbitz;heute;3,2;47,5;40,9;5,7;2,8;0
2018;16 Gorbitz;in einem Jahr;0;11;62;9;0;18
2018;17 Briesnitz und westliche OS;vor einem Jahr;1;16;68;9;1;5
2018;17 Briesnitz und westliche OS;heute;12,9;49,3;28,4;3,3;1,5;4,6
2018;17 Briesnitz und westliche OS;in einem Jahr;1;11;64;6;0;17
2018;18 Dresden gesamt;vor einem Jahr;4;18;67;8;2;2
2018;18 Dresden gesamt;heute;11,1;52,7;27,2;6,2;1,2;1,6
2018;18 Dresden gesamt;in einem Jahr;3;13;57;8;2;18
2020;01 StB Altstadt ohne Johannstadt;vor einem Jahr;1,2;13,3;70;13,9;0,9;0,7
2020;01 StB Altstadt ohne Johannstadt;heute;10,5;54,1;26,5;7,6;1,2;0
2020;01 StB Altstadt ohne Johannstadt;in einem Jahr;2,3;20,1;52,3;10,6;0;14,6
2020;02 Johannstadt;vor einem Jahr;6,9;17,7;61,4;11,1;0;2,9
2020;02 Johannstadt;heute;8,4;56,3;23,6;8,9;0;2,8
2020;02 Johannstadt;in einem Jahr;1,1;19,1;46,9;17,1;0,9;15
2020;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;2,8;20,2;58,8;15,2;0,9;2,1
2020;03 StB Neustadt ohne Leipziger Vorstadt;heute;13,8;60,6;20,5;2,6;0,4;2,1
2020;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;6,8;13,4;54,7;13;1,6;10,6
2020;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;3,5;19,3;57,8;13,5;3,6;2,4
2020;04 Leipziger Vorstadt, Pieschen;heute;11,7;53;27,8;6,9;0,6;0
2020;04 Leipziger Vorstadt, Pieschen;in einem Jahr;2,2;23,3;51,3;13,7;0;9,4
2020;05 Mickten, Kaditz, Trachau;vor einem Jahr;3,1;15,2;67,3;13;0;1,5
2020;05 Mickten, Kaditz, Trachau;heute;15,3;44,6;32,1;6,2;1,9;0
2020;05 Mickten, Kaditz, Trachau;in einem Jahr;2,6;4,4;58,5;10,7;1,7;22,2
2020;06 StB Klotzsche und nördliche OS;vor einem Jahr;0;16,6;73,2;9,1;0;1,1
2020;06 StB Klotzsche und nördliche OS;heute;18,3;61,2;19,4;0;0;1,1
2020;06 StB Klotzsche und nördliche OS;in einem Jahr;0,7;10,8;64,6;10,1;0,7;13,1
2020;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;4,5;17;67,6;6,1;1,9;3
2020;07 StB Loschwitz und OS Schönfeld-Weißig;heute;17,3;60,7;16,3;3,6;1,1;0,9
2020;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;1,8;8,5;59,1;12,8;2,5;15,3
2020;08 Blasewitz, Striesen;vor einem Jahr;3,1;15,8;68,1;10,4;1;1,6
2020;08 Blasewitz, Striesen;heute;22,2;56,7;16,2;3,6;0;1,3
2020;08 Blasewitz, Striesen;in einem Jahr;5,8;10,4;59,6;8,1;1,7;14,3
2020;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;3,4;14,8;65;16,1;0;0,6
2020;09 Tolkewitz, Seidnitz, Gruna;heute;11,5;54,6;25,6;5,8;0,9;1,6
2020;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;2;12,9;59,7;8,5;2,4;14,5
2020;10 StB Leuben;vor einem Jahr;1,4;11,5;78,4;6,1;0,5;2,2
2020;10 StB Leuben;heute;8,7;58;28,5;3,9;0;0,8
2020;10 StB Leuben;in einem Jahr;1,8;12;56,3;13,1;2,6;14,2
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;2,6;8,1;74,6;10,6;1,4;2,6
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;2,6;54;32,6;8,2;0;2,6
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;2,7;16,8;45,1;11,4;2,7;21,3
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;1,1;14,1;75,1;7,8;0;2
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;20,2;50;21,8;4,7;0;3,2
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;2,2;7,3;59,5;16,7;0,7;13,7
2020;13 Südvorstadt, Zschertnitz;vor einem Jahr;1,2;14,4;67,6;10,9;1,7;4,2
2020;13 Südvorstadt, Zschertnitz;heute;12,3;52,1;21,9;4,9;1,7;7,1
2020;13 Südvorstadt, Zschertnitz;in einem Jahr;4;15,7;46,1;14;3,4;16,9
2020;14 Mockritz, Coschütz, Plauen;vor einem Jahr;5,7;19,3;61,1;10,3;1,9;1,7
2020;14 Mockritz, Coschütz, Plauen;heute;24,4;44,4;28;1,4;0;1,7
2020;14 Mockritz, Coschütz, Plauen;in einem Jahr;2,5;13,4;55,1;14,8;1;13,2
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;2,7;18,5;57,6;19,8;0,6;0,8
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;10,7;54,7;28,5;3;1,8;1,3
